Molecule name,RowID,Original_SMILES,Error
Molecule_713,713,CCCCCCCCC=CCCCCCCCC(=O)OCC(COCC(COCC(COC(=O)CCCCCCCC=CCCCCCCCC)(COC(=O)CCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCC=CCCCCCCCC)(COC(=O)CCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCC=CCCCCCCCC)(COC(=O)CCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCC=CCCCCCCCC, Size
Molecule_1142,1142,CC12CC(C)CC(CCCCCCCC(O)C(O)C3OC(O)(CC(O)C(C)C=CC(O)CCC(O)C(O)C4CC(O)C(O)C(CC(O)C(O)CC5OC(CC(O)C=CC=CCC(O)C(O)C(O)CC=CC(=C)CCC(O)C(O)C(O)C(C)CC6OC(C=CC(O)C(O)CC7CC8CC(O7)C(CCC7OC(CN)CC7O)O8)C(O)C(O)C6O)C(O)C(O)C5O)O4)C(O)C(O)C3O)(O1)OC2CC(C)CCCCCC(O)C(O)C(O)C(O)C(O)C1OC(CC(O)C(O)C(C)=CC(O)CC(C)C(O)C(=O)N=CCC(=O)NCCCO)C(O)C(O)C1O, Size
Molecule_1568,1568,CCCCCCCCCCCCCC(=O)OCC(COCC(COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCC, Size
Molecule_1944,1944,CN(C(CC1=CC=C(O)C=C1)C(=O)NC(CC(N)=O)C(=O)NC(CC(C)C)C(=O)NC(CCCCNC(C)C)C(=O)N1CCCC1C(=O)NC(C)C(N)=O)C(=O)C(CO)NC(=O)C(CC1C=NC=CC=1)NC(=O)C(CC1C=CC(Cl)=CC=1)NC(=O)C(CC1C=C2C=CC=CC2=CC=1)NC(C)=O, Size
Molecule_2104,2104,CCCCCCCCCCCC(O)CC(=O)OC1C(NC(=O)CC(CCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC)C(O)OC(COC2OC(CO)C(OP(O)(O)=O)C(OC(=O)CC(CCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC)C2NC(=O)CC(CCCCCCCCCCC)OC(=O)CCCCCCCCCCC)C1O, Size
Molecule_3003,3003,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)CCOP(O)(O)=O, Size
Molecule_3233,3233,CCCCCCCCC(=O)OC1C(OC(=O)CCCCCCCC)C(OC2OC(COC(=O)CCCCCCCC)C(OC(=O)CCCCCCCC)C(OC(=O)CCCCCCCC)C2OC(=O)CCCCCCCC)C(COC(=O)CCCCCCCC)OC1OC(=O)CCCCCCCC, Size
Molecule_3507,3507,COC1=CC(C[n]2c3c4c5c6c7c8c9c5c5c%10c%11c9c9c%12c%13c%14c%15c%16c%17c%18c%19c%20c%16c%16c%14c%12c%12c(c89)c8c9c%12c%16c%20c%12c%14c%19c(c(c%16c%14c(c(c78)c6c%163)c%129)c2=O)c%18c2c3c%17c%15c(c%11%13)c%10c3c(c45)c2=O)=CC=C1OCCCCCCCCCCCCCCCCCCCCCC, Size
Molecule_4008,4008,[O-]P(=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.OCC[NH2+]CCO, Size
Molecule_4196,4196,C12C3=C4C5=C6C7C8C9C%10=C%11C%12C%13C%14C%15C%16=C%17C%18C%19C%20=C%21C%17=C(C%17C%22=C%21C%21C%20=C%20C%23C%24C%25C%26=C%20C=%19C%19C=%18C=%15C%15C=%14C%14=C(C=%13%10)C%10C=9C6=C3C=%10C3C=1C1=C(C=%15C=%19C%26=C1C=%25C2=C4C=%24C1=C5C=7C(C=%21C1=%23)=C%22C=8C%11=%17)C%14=3)C=%12%16, Size
Molecule_4446,4446,CC(NC(=O)C1CCCN1C(=O)C(CCCCNC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CC1C=CC(=CC=1)NC(N)=O)NC(=O)C(CC1C=CC(=CC=1)NC(=O)C1CC(=O)NC(=O)N1)NC(=O)C(CO)NC(=O)C(CC1C=NC=CC=1)NC(=O)C(CC1C=CC(Cl)=CC=1)NC(=O)C(CC1C=C2C=CC=CC2=CC=1)NC(C)=O)C(N)=O.CC(O)=O, Size
Molecule_4720,4720,Cc1c[n](C2CC(OP(O)(=S)OCC3OC(CC3OP(O)(=S)OCC3OC(CC3OP(O)(=S)OCC3OC(CC3OP(O)(=S)OCC3OC(CC3OP(O)(=S)OCC3OC(CC3OP(O)(=S)OCC3OC(CC3OP(O)(=S)OCC3OC(CC3OP(O)(=S)OCC3OC(CC3OP(O)(=S)OCC3OC(CC3OP(O)(=S)OCC3OC(CC3OP(O)(=S)OCC3OC(CC3O)N3C=NC4C3=NC=NC=4N)N3C=CC(N)NC3=O)[n]3cc(C)c(=O)[nH]c3=O)N3CN=C4C3=NC(N)NC4=O)N3CC=C(N)NC3=O)[n]3ccc(N)[n]c3=O)[n]3cc(C)c(=O)[nH]c3=O)N3C=NC4C(N)N=CNC3=4)N3C=CC(N)NC3=O)N3C=NC4C3=NC(N)=NC=4O)N3C=NC4C3=NC(N)NC4=O)C(COP(O)(=S)OC3CC(OC3COP(O)(=S)OC3CC(OC3COP(O)(=S)OC3CC(OC3COP(O)(=S)OC3CC(OC3COP(O)(=S)OC3CC(OC3COP(O)(=S)OC3CC(OC3COP(O)(=S)OC3CC(OC3COP(O)(=S)OC3CC(OC3CO)[n]3c[n]c4c3[nH]c(N)[n]c4=O)[n]3ccc(N)[n]c3=O)[n]3ccc(N)[n]c3=O)[n]3ccc(N)[n]c3=O)N3C=NC4C3=NC=NC=4N)N3C=NC4C3=NC=NC=4N)[n]3c[n]c4c3[nH]c(N)[n]c4=O)[n]3ccc(N)[n]c3=O)O2)c(=O)[nH]c1=O, Size
Molecule_5412,5412,[OH-].[OH-].[Na+].[Na+].[Na+].[Na+].[Na+].CC(=O)NC1=CC(=CC=C1N=NC1=CC(=C2C=CC=C(C2=C1)S([O-])(=O)=O)S([O-])(=O)=O)NC1=NC(NC2=CC(=CC=C2S([O-])(=O)=O)NC2=NC(NC3C=C(NC(C)=O)C(=CC=3)N=NC3=CC(=C4C=CC=C(C4=C3)S([O-])(=O)=O)S([O-])(=O)=O)=NC(=N2)[N+]2C=C(C=CC=2)C(O)=O)=NC(=N1)[N+]1C=C(C=CC=1)C(O)=O, Size
Molecule_5552,5552,CC(C)CC(NC(=O)C(CC1=CNC2=CC=CC=C12)NC(=O)C(CC1C=CC=CC=1)NC(=O)C(CC1=CNC2=CC=CC=C12)NC(=O)C(CC(N)=O)NC(=O)C(N)CC1C=C(Cl)C(Cl)=CC=1)C(=O)NC(CCCC)C(=O)N(C(=O)C1CCCN1C(=O)C(N)CC1C=NC=CC=1)C(=O)C1CCCN1C(=O)C(N)CCCCNC(=O)C1C=NC=CC=1, Size
Molecule_5814,5814,CC(C)C(NC(=O)C1CSSCC(N)C(=O)NC(CO)C(=O)NC(CC(N)=O)C(=O)NC(CC(C)C)C(=O)NC(CO)C(=O)NC(C(C)O)C(=O)N1)C(=O)NC(CC(C)C)C(=O)NCC(=O)NC(CCCCN)C(=O)NC(CC(C)C)C(=O)NC(CO)C(=O)NC(CCC(N)=O)C(=O)NC(CCC(O)=O)C(=O)NC(CC(C)C)C(=O)NC(CC1=CNC=N1)C(=O)NC(CCCCN)C(=O)NC(CC(C)C)C(=O)NC(CCC(N)=O)C(=O)NC(C(C)O)C(=O)NC(CC1=CC=C(O)C=C1)C(=O)N1CCCC1C(=O)NC(CCCNC(N)=N)C(=O)NC(C(C)O)C(=O)NC(CC(N)=O)C(=O)NC(C(C)O)C(=O)NCC(=O)NC(CO)C(=O)NCC(=O)NC(C(C)O)C(=O)N1CCCC1C(N)=O, Size
Molecule_7622,7622,CC(=O)NC1C(OC2C3NC(=O)C(NC(=O)C4NC(=O)C5NC(=O)C(CC6C=C(Cl)C(=CC=6)OC6C=C4C=C(OC4=CC=C2C=C4Cl)C=6OC2OC(CO)C(O)C(O)C2NC(=O)CCCCCCCCC)NC(=O)C(N)C2C=C(OC4C=C5C=C(O)C=4)C(O)=CC=2)C2C=C(C4C(=CC(O)=CC=4OC4OC(CO)C(O)C(O)C4O)C(NC3=O)C(O)=O)C(O)=CC=2)OC(CO)C(O)C1O, Size
Molecule_7725,7725,Cc1c(c(=O)[n](CC)c(O)c1N=NC1C=C(NC2=NC(Cl)=NC(NC3C=C(C(C=CC4=CC=C(C=C4S(O)(=O)=O)NC4N=C(NC5C=C(N=Nc6c(=O)[n](CC)c(O)c(C(N)=O)c6C)C(=CC=5S(O)(=O)=O)S(O)(=O)=O)N=C(Cl)N=4)=CC=3)S(O)(=O)=O)=N2)C(=CC=1S(O)(=O)=O)S(O)(=O)=O)C(N)=O, Size
Molecule_8342,8342,[OH-].[OH-].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].NC1=C(N=NC2=CC(=CC=C2S([O-])(=O)=O)NC2N=C(NC3C=C(C(Cl)=CC=3)S([O-])(=O)=O)N=C(N=2)[N+]2C=C(C=CC=2)C(O)=O)C(=CC2=CC(=C(N=NC3=CC(=CC=C3S([O-])(=O)=O)NC3N=C(NC4C=C(C(Cl)=CC=4)S([O-])(=O)=O)N=C(N=3)[N+]3C=C(C=CC=3)C(O)=O)C(O)=C21)S([O-])(=O)=O)S([O-])(=O)=O, Size
Molecule_8872,8872,CC(C)CC1NC(=O)C(CCCN=C(N)N)NC(=O)C(CO)NC(=O)C2CSSCC3NC(=O)C(CO)NC(=O)CNC(=O)C(NC(=O)C(CSSCC(N)C(=O)NC(CCCCN)C(=O)NCC(=O)NC(CCCCN)C(=O)NCC(=O)NC(C)C(=O)NC(CCCCN)C(=O)N2)NC(=O)C(CSSCC(NC(=O)C(CCCCN)NC(=O)CNC(=O)C(CO)NC(=O)C(CCCNC(N)=N)NC3=O)C(N)=O)NC(=O)C(CC(O)=O)NC(=O)C(CC2=CC=C(O)C=C2)NC(=O)C(CCSC)NC1=O)C(C)O, Size
Molecule_9598,9598,CCC(C)CCCCC(=O)NC(CCNCS(O)(=O)=O)C(=O)NC(C(C)O)C(=O)NC(CCNCS(O)(=O)=O)C(=O)NC1CCNC(=O)C(NC(=O)C(CCNCS(O)(=O)=O)NC(=O)C(CCNCS(O)(=O)=O)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CCNCS(O)(=O)=O)NC1=O)C(C)O, Size
Molecule_10424,10424,CC(C)C(NC(=O)C(CC(C)C)NC(=O)C(CC1=CN=CN1)NC(=O)C(CCCN=C(N)N)NC(=O)C(NC(=O)C(CC(N)=O)NC(=O)CNC(=O)C(CC(O)=O)NC(=O)C(CCC(O)=O)NC(=O)C(CC(C)C)NC(=O)CNC(=O)C(CC(N)=O)NC(=O)CNC(=O)C(CC(O)=O)NC(=O)C1CCCN1C(=O)C(CC(C)C)NC(=O)C1CCCN1C(=O)C(CCSC)NC(=O)C(CC(C)C)NC(=O)C(CO)NC(=O)CN)C(C)C)C(=O)NC(CCC(N)=O)C(=O)N1CCCC1C(=O)NC(CCCNC(N)=N)C(=O)NCC(=O)NC(CO)C(=O)NC(CCCNC(N)=N)C(=O)NC(CC(N)=O)C(=O)NCC(=O)N1CCCC1C(=O)NCC(=O)N1CCCC1C(=O)NC(CC1=CNC2=CC=CC=C12)C(=O)NC(CCC(N)=O)C(=O)NCC(=O)NCC(=O)NC(CCCNC(N)=N)C(=O)NC(CCCNC(N)=N)C(=O)NC(CCCCN)C(=O)NC(CC1C=CC=CC=1)C(=O)NC(CCCNC(N)=N)C(=O)NC(CCCNC(N)=N)C(=O)NC(CCC(N)=O)C(=O)NC(CCCNC(N)=N)C(=O)N1CCCC1C(=O)NC(CCCNC(N)=N)C(=O)NC(CC(C)C)C(=O)NC(CO)C(=O)NC(CC1=CN=CN1)C(=O)NC(CCCCN)C(=O)NCC(=O)N1CCCC1C(=O)NC(CCSC)C(=O)N1CCCC1C(=O)NC(CC1C=CC=CC=1)C(O)=O, Size
