MoleculeID,LogP_pred,LogP_predRange,AD_LogP,AD_index_LogP,Conf_index_LogP
Molecule_2,1.39,[1.34:1.39],1,0.998,0.912
Molecule_3,0.02,[-0.67:0.71],1,0.556,0.592
Molecule_4,1.3,[1.21:1.39],1,0.998,0.926
Molecule_5,-0.97,[-4.41:2.47],0,0.112,0.1
Molecule_6,5.23,[5.17:5.29],1,0.998,0.902
Molecule_7,1.99,[1.88:2],1,0.998,0.848
Molecule_10,1.47,[1.47:1.5],1,0.998,0.918
Molecule_15,0.36,[0.32:0.39],1,0.998,0.907
Molecule_17,3.94,[2.97:4.91],1,0.545,0.512
Molecule_18,4.72,[3.68:5.76],1,0.433,0.423
Molecule_19,0.21,[0.17:0.25],1,0.998,0.918
Molecule_20,0.21,[0.19:0.23],1,0.998,0.954
Molecule_23,-1.55,[-2.71:-0.39],0,0.166,0.348
Molecule_24,3.93,[3.91:3.95],1,0.998,0.973
Molecule_25,3.15,[3.14:3.16],1,0.998,0.95
Molecule_26,2.1,[2.07:2.13],1,0.998,0.89
Molecule_27,2.95,[2.92:2.98],1,0.998,0.985
Molecule_28,4.16,[4:4.32],1,0.998,0.833
Molecule_33,1.36,[1.34:1.38],1,0.998,0.971
Molecule_35,2.3,[2.3:2.35],1,0.998,0.876
Molecule_36,1.56,[1.54:1.58],1,0.998,0.983
Molecule_38,1.1,[1.1:1.13],1,0.998,0.924
Molecule_39,1.47,[1.41:1.53],1,0.998,0.957
Molecule_40,1.28,[-1.13:3.69],1,0.296,0.14
Molecule_41,0.36,[0.36:0.39],1,0.998,0.941
Molecule_42,-2.32,[-4.21:-0.43],1,0.412,0.257
Molecule_43,1.66,[1.66:1.69],1,0.998,0.908
Molecule_44,0.84,[0.7:0.98],1,0.998,0.794
Molecule_45,1.54,[1.52:1.56],1,0.998,0.953
Molecule_46,1.15,[1.09:1.21],1,0.998,0.916
Molecule_47,-0.02,[-0.02:0.06],1,0.998,0.757
Molecule_48,-0.6,[-0.65:-0.55],1,0.998,0.927
Molecule_49,7.9,[7.82:7.9],1,0.998,0.785
Molecule_50,6.34,[5.15:7.53],0,0.423,0.425
Molecule_51,-2.18,[-2.26:-2.1],1,0.998,0.769
Molecule_55,6.41,[4.98:7.84],0,0.38,0.341
Molecule_58,5.17,[4.59:5.78],1,0.548,0.613
Molecule_61,3.88,[3.8:3.88],1,0.998,0.773
Molecule_64,-1.56,[-2.62:-0.5],1,0.559,0.481
Molecule_65,2.55,[2.1:3],1,0.846,0.759
Molecule_67,3.91,[3.86:3.91],1,0.998,0.835
Molecule_69,0.05,[0.03:0.07],1,0.998,0.964
Molecule_70,1.78,[1.08:2.48],1,0.533,0.57
Molecule_71,4.34,[4.31:4.37],1,0.998,0.912
Molecule_72,4.67,[4.38:4.97],1,0.61,0.666
Molecule_73,3.51,[3.45:3.51],1,0.998,0.839
Molecule_79,3.41,[3.35:3.42],1,0.998,0.815
Molecule_80,2.84,[2.52:3.16],1,0.759,0.768
Molecule_82,1.84,[1.83:1.94],1,0.998,0.843
Molecule_83,0.98,[0.98:1],1,0.998,0.936
Molecule_84,3.13,[3.11:3.15],1,0.998,0.896
Molecule_85,6.16,[6.12:6.2],1,0.998,0.9
Molecule_86,-1.31,[-2.29:-0.33],1,0.445,0.515
Molecule_87,3.21,[2.88:3.54],1,0.457,0.657
Molecule_88,3.43,[2.96:3.9],1,0.455,0.609
Molecule_89,2.4,[2.36:2.44],1,0.998,0.877
Molecule_90,3.55,[3:4.23],1,0.531,0.628
Molecule_92,2.78,[2.38:3.18],1,0.705,0.716
Molecule_93,2.8,[2.77:2.83],1,0.998,0.894
Molecule_94,1.59,[1.56:1.62],1,0.998,0.973
Molecule_95,1.36,[1.36:1.44],1,0.998,0.8
Molecule_96,1.39,[0.4:2.38],1,0.473,0.501
Molecule_97,3.5,[3.46:3.54],1,0.998,0.885
Molecule_98,4.13,[4.12:4.14],1,0.998,0.946
Molecule_99,1.72,[1.41:2.03],1,0.663,0.761
Molecule_101,1.92,[1.82:2.02],1,0.998,0.787
Molecule_103,3.49,[3.01:3.97],1,0.564,0.651
Molecule_104,0.66,[0.28:1.04],1,0.614,0.718
Molecule_105,0.93,[0.9:0.96],1,0.998,0.932
Molecule_106,2.06,[2.06:2.1],1,0.998,0.984
Molecule_107,1.76,[1.76:1.85],1,0.998,0.766
Molecule_108,3.28,[3.25:3.31],1,0.998,0.947
Molecule_110,2.6,[2.15:3.05],1,0.516,0.691
Molecule_111,2.71,[2.26:3.11],1,0.497,0.673
Molecule_112,2.7,[2.25:3.11],1,0.496,0.668
Molecule_113,2.7,[2.25:3.11],0,0.468,0.663
Molecule_114,3.8,[3.76:3.84],1,0.998,0.937
Molecule_115,0.82,[0.79:0.85],1,0.998,0.935
Molecule_116,-0.93,[-0.93:-0.88],1,0.998,0.794
Molecule_117,5.7,[5.7:5.74],1,0.998,0.897
Molecule_118,2.31,[2.11:2.51],1,0.584,0.772
Molecule_119,-0.44,[-0.44:-0.37],1,0.998,0.845
Molecule_120,4.98,[4.98:5.02],1,0.998,0.867
Molecule_121,1.97,[1.58:2.36],1,0.449,0.678
