RowID,Molecule name,Original_SMILES,Number of connected components,Canonical_QSARr,InChI_Code_QSARr,InChI Key_QSARr,Salt_Solvent,Salt_Solvent_ID
2,Molecule_2,NC1=CC=C(C=C1)[N+]([O-])=O,1,NC1=CC=C(C=C1)[N+]([O-])=O,InChI=1S/C6H6N2O2/c7-5-1-3-6(4-2-5)8(9)10/h1-4H7H2,TYMLOMAKGOJONV-UHFFFAOYSA-N,,0
3,Molecule_3,Cc1cc(=O)[nH]o1,1,Cc1cc(=O)[nH]o1,InChI=1S/C4H5NO2/c1-3-2-4(6)5-7-3/h2H1H3(H56),KGVPNLBXJKTABS-UHFFFAOYSA-N,,0
4,Molecule_4,CCC(N)C(O)CCCC,1,CCC(N)C(O)CCCC,InChI=1S/C8H19NO/c1-3-5-6-8(10)7(9)4-2/h7-810H3-69H21-2H3,AHZILZSKKSPIKM-UHFFFAOYSA-N,,0
5,Molecule_5,OC1C2OC3OC(CO)C(OC4OC(CO)C(OC5OC(CO)C(OC6OC(CO)C(OC7OC(CO)C(OC(OC2CO)C1O)C(O)C7O)C(O)C6O)C(O)C5O)C(O)C4O)C(O)C3O,1,OC1C2OC3OC(CO)C(OC4OC(CO)C(OC5OC(CO)C(OC6OC(CO)C(OC7OC(CO)C(OC(OC2CO)C1O)C(O)C7O)C(O)C6O)C(O)C5O)C(O)C4O)C(O)C3O,InChI=1S/C36H60O30/c37-1-7-25-13(43)19(49)31(55-7)62-26-8(2-38)57-33(21(51)15(26)45)64-28-10(4-40)59-35(23(53)17(28)47)66-30-12(6-42)60-36(24(54)18(30)48)65-29-11(5-41)58-34(22(52)16(29)46)63-27-9(3-39)56-32(61-25)20(50)14(27)44/h7-54H1-6H2,HFHDHCJBZVLPGP-UHFFFAOYSA-N,,0
6,Molecule_6,CC(C)C1C=CC(=CC=1)C(C)C,1,CC(C)C1C=CC(=CC=1)C(C)C,InChI=1S/C12H18/c1-9(2)11-5-7-12(8-6-11)10(3)4/h5-10H1-4H3,SPPWGCYEYAMHDT-UHFFFAOYSA-N,,0
7,Molecule_7,OC(=O)C1C=CC(=CC=1)C(O)=O,1,OC(=O)C1C=CC(=CC=1)C(O)=O,InChI=1S/C8H6O4/c9-7(10)5-1-2-6(4-3-5)8(11)12/h1-4H(H910)(H1112),KKEYFWRCBNTPAC-UHFFFAOYSA-N,,0
10,Molecule_10,[O-][N+](=O)C1C=CC(=CC=1)[N+]([O-])=O,1,[O-][N+](=O)C1C=CC(=CC=1)[N+]([O-])=O,InChI=1S/C6H4N2O4/c9-7(10)5-1-2-6(4-3-5)8(11)12/h1-4H,FYFDQJRXFWGIBS-UHFFFAOYSA-N,,0
15,Molecule_15,COCCOCCOCC,1,COCCOCCOCC,InChI=1S/C7H16O3/c1-3-9-6-7-10-5-4-8-2/h3-7H21-2H3,CNJRPYFBORAQAU-UHFFFAOYSA-N,,0
17,Molecule_17,CC1CCCCC1NC(=O)C1C(F)=C(F)C(F)=C(F)C=1F,1,CC1CCCCC1NC(=O)C1C(F)=C(F)C(F)=C(F)C=1F,InChI=1S/C14H14F5NO/c1-6-4-2-3-5-7(6)20-14(21)8-9(15)11(17)13(19)12(18)10(8)16/h6-7H2-5H21H3(H2021),FJHJJVNLPPPLHC-UHFFFAOYSA-N,,0
18,Molecule_18,CC1=CC(=NN1CC(=O)N1CCC(CC1)C1=NC(=CS1)C1CC(ON=1)C1C(F)=CC=CC=1F)C(F)(F)F,1,CC1=CC(=NN1CC(=O)N1CCC(CC1)C1=NC(=CS1)C1CC(ON=1)C1C(F)=CC=CC=1F)C(F)(F)F,InChI=1S/C24H22F5N5O2S/c1-13-9-20(24(2728)29)31-34(13)11-21(35)33-7-5-14(6-8-33)23-30-18(12-37-23)17-10-19(36-32-17)22-15(25)3-2-4-16(22)26/h2-49121419H5-810-11H21H3,IAQLCKZJGNTRDO-UHFFFAOYSA-N,,0
19,Molecule_19,CCN(CCN)CC,1,CCN(CCN)CC,InChI=1S/C6H16N2/c1-3-8(4-2)6-5-7/h3-7H21-2H3,UDGSVBYJWHOHNN-UHFFFAOYSA-N,,0
20,Molecule_20,CCN(CCO)CC,1,CCN(CCO)CC,InChI=1S/C6H15NO/c1-3-7(4-2)5-6-8/h8H3-6H21-2H3,BFSVOASYOCHEOV-UHFFFAOYSA-N,,0
23,Molecule_23,OC(CO)CO.OC(CO)C(O)C(O)C(C=O)OC(C=O)C(O)C(O)C(O)CO,2,OC(CO)C(O)C(O)C(C=O)OC(C=O)C(O)C(O)C(O)CO,InChI=1S/C12H22O11/c13-1-5(17)9(19)11(21)7(3-15)23-8(4-16)12(22)10(20)6(18)2-14/h3-1417-22H1-2H2,SLXLBNNEMBRKON-UHFFFAOYSA-N,OC(CO)CO,2122
24,Molecule_24,C=CC1CC=CCC1,1,C=CC1CC=CCC1,InChI=1S/C8H12/c1-2-8-6-4-3-5-7-8/h2-48H15-7H2,BBDKZWKEPDTENS-UHFFFAOYSA-N,,0
25,Molecule_25,CCC1C=CC=CC=1,1,CCC1C=CC=CC=1,InChI=1S/C8H10/c1-2-8-6-4-3-5-7-8/h3-7H2H21H3,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,,0
26,Molecule_26,CC1C=C(C(=CC=1)NCCO)[N+]([O-])=O,1,CC1C=C(C(=CC=1)NCCO)[N+]([O-])=O,InChI=1S/C9H12N2O3/c1-7-2-3-8(10-4-5-12)9(6-7)11(13)14/h2-361012H4-5H21H3,SCZQUWZLEIYDBD-UHFFFAOYSA-N,,0
27,Molecule_27,C=CC1C=CC=CC=1,1,C=CC1C=CC=CC=1,InChI=1S/C8H8/c1-2-8-6-4-3-5-7-8/h2-7H1H2,PPBRXRYQALVLMV-UHFFFAOYSA-N,,0
28,Molecule_28,CCCC(CO)CCCCC,1,CCCC(CO)CCCCC,InChI=1S/C10H22O/c1-3-5-6-8-10(9-11)7-4-2/h10-11H3-9H21-2H3,YLQLIQIAXYRMDL-UHFFFAOYSA-N,,0
33,Molecule_33,C=CC1C=CN=CC=1,1,C=CC1C=CN=CC=1,InChI=1S/C7H7N/c1-2-7-3-5-8-6-4-7/h2-6H1H2,KFDVPJUYSDEJTH-UHFFFAOYSA-N,,0
35,Molecule_35,ClCC1C=CC=CC=1,1,ClCC1C=CC=CC=1,InChI=1S/C7H7Cl/c8-6-7-4-2-1-3-5-7/h1-5H6H2,KCXMKQUNVWSEMD-UHFFFAOYSA-N,,0
36,Molecule_36,N#CC1C=CC=CC=1,1,N#CC1C=CC=CC=1,InChI=1S/C7H5N/c8-6-7-4-2-1-3-5-7/h1-5H,JFDZBHWFFUWGJE-UHFFFAOYSA-N,,0
38,Molecule_38,OCC1C=CC=CC=1,1,OCC1C=CC=CC=1,InChI=1S/C7H8O/c8-6-7-4-2-1-3-5-7/h1-58H6H2,WVDDGKGOMKODPV-UHFFFAOYSA-N,,0
39,Molecule_39,O=CC1C=CC=CC=1,1,O=CC1C=CC=CC=1,InChI=1S/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H,HUMNYLRZRPPJDN-UHFFFAOYSA-N,,0
40,Molecule_40,CCCCCCC(O)CCCCCCCCCCC(O)=O.NCCN,2,CCCCCCC(O)CCCCCCCCCCC(O)=O,InChI=1S/C18H36O3/c1-2-3-4-11-14-17(19)15-12-9-7-5-6-8-10-13-16-18(20)21/h1719H2-16H21H3(H2021),ULQISTXYYBZJSJ-UHFFFAOYSA-N,NCCN,1767
41,Molecule_41,N#CC1C=NC=CC=1,1,N#CC1C=NC=CC=1,InChI=1S/C6H4N2/c7-4-6-2-1-3-8-5-6/h1-35H,GZPHSAQLYPIAIN-UHFFFAOYSA-N,,0
42,Molecule_42,O.[La].CC(O)=O.CC(O)=O.CC(O)=O,5,CC(O)=O,InChI=1S/C2H4O2/c1-2(3)4/h1H3(H34),QTBSBXVTEAMEQO-UHFFFAOYSA-N,O.[La],325
43,Molecule_43,CNC1C=CC=CC=1,1,CNC1C=CC=CC=1,InChI=1S/C7H9N/c1-8-7-5-3-2-4-6-7/h2-68H1H3,AFBPFSWMIHJQDM-UHFFFAOYSA-N,,0
44,Molecule_44,ON=C1CCCCC1,1,ON=C1CCCCC1,InChI=1S/C6H11NO/c8-7-6-4-2-1-3-5-6/h8H1-5H2,VEZUQRBDRNJBJY-UHFFFAOYSA-N,,0
45,Molecule_45,C=CC1=CC=CC=N1,1,C=CC1=CC=CC=N1,InChI=1S/C7H7N/c1-2-7-5-3-4-6-8-7/h2-6H1H2,KGIGUEBEKRSTEW-UHFFFAOYSA-N,,0
46,Molecule_46,CCNC1N=C(N)N=C(Cl)N=1,1,CCNC1N=C(N)N=C(Cl)N=1,InChI=1S/C5H8ClN5/c1-2-8-5-10-3(6)9-4(7)11-5/h2H21H3(H37891011),IVENSCMCQBJAKW-UHFFFAOYSA-N,,0
47,Molecule_47,COC1=CC(=NC(NC(=O)NS(=O)(=O)C2=C(C(Cl)=NN2C)C(=O)OC)=N1)OC,1,COC1=CC(=NC(NC(=O)NS(=O)(=O)C2=C(C(Cl)=NN2C)C(=O)OC)=N1)OC,InChI=1S/C13H15ClN6O7S/c1-20-10(8(9(14)18-20)11(21)27-4)28(2324)19-13(22)17-12-15-6(25-2)5-7(16-12)26-3/h5H1-4H3(H21516171922),FMGZEUWROYGLAY-UHFFFAOYSA-N,,0
48,Molecule_48,CC1(C)OCC(CO)O1,1,CC1(C)OCC(CO)O1,InChI=1S/C6H12O3/c1-6(2)8-4-5(3-7)9-6/h57H3-4H21-2H3,RNVYQYLELCKWAN-UHFFFAOYSA-N,,0
49,Molecule_49,CC(C)(C1C=CC(=CC=1)NC1C=CC(=CC=1)C(C)(C)C1C=CC=CC=1)C1C=CC=CC=1,1,CC(C)(C1C=CC(=CC=1)NC1C=CC(=CC=1)C(C)(C)C1C=CC=CC=1)C1C=CC=CC=1,InChI=1S/C30H31N/c1-29(223-11-7-5-8-12-23)25-15-19-27(20-16-25)31-28-21-17-26(18-22-28)30(34)24-13-9-6-10-14-24/h5-2231H1-4H3,UJAWGGOCYUPCPS-UHFFFAOYSA-N,,0
50,Molecule_50,CCCCCCCCCCCCCCCCCCNC(=O)CCCCCCCCCCCC=CCCCCCCCC,1,CCCCCCCCCCCCCCCCCCNC(=O)CCCCCCCCCCCC=CCCCCCCCC,InChI=1S/C40H79NO/c1-3-5-7-9-11-13-15-17-19-21-22-23-24-26-28-30-32-34-36-38-40(42)41-39-37-35-33-31-29-27-25-20-18-16-14-12-10-8-6-4-2/h1719H3-161820-39H21-2H3(H4142),FUSNPOOETKRESL-UHFFFAOYSA-N,,0
51,Molecule_51,C1N2CN3CN1CN(C2)C3,1,C1N2CN3CN1CN(C2)C3,InChI=1S/C6H12N4/c1-7-2-9-4-8(1)5-10(3-7)6-9/h1-6H2,VKYKSIONXSXAKP-UHFFFAOYSA-N,,0
55,Molecule_55,CCCCCCCCCCCCCNCCCCCCCCCCCCC,1,CCCCCCCCCCCCCNCCCCCCCCCCCCC,InChI=1S/C26H55N/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-26-24-22-20-18-16-14-12-10-8-6-4-2/h27H3-26H21-2H3,PZFYOFFTIYJCEW-UHFFFAOYSA-N,,0
58,Molecule_58,C1=CC=CC=C1OP(OC1C=CC=CC=1)OC1C=CC=CC=1,1,C1=CC=CC=C1OP(OC1C=CC=CC=1)OC1C=CC=CC=1,InChI=1S/C18H15O3P/c1-4-10-16(11-5-1)19-22(20-17-12-6-2-7-13-17)21-18-14-8-3-9-15-18/h1-15H,HVLLSGMXQDNUAL-UHFFFAOYSA-N,,0
61,Molecule_61,ClC1=CC=CC=C1NC1N=C(Cl)N=C(Cl)N=1,1,ClC1=CC=CC=C1NC1N=C(Cl)N=C(Cl)N=1,InChI=1S/C9H5Cl3N4/c10-5-3-1-2-4-6(5)13-9-15-7(11)14-8(12)16-9/h1-4H(H13141516),IMHBYKMAHXWHRP-UHFFFAOYSA-N,,0
64,Molecule_64,NC(CC1N=CNN=1)C(O)=O,1,NC(CC1N=CNN=1)C(O)=O,InChI=1S/C5H8N4O2/c6-3(5(10)11)1-4-7-2-8-9-4/h2-3H16H2(H1011)(H789),CAPORZWUTKSILW-UHFFFAOYSA-N,,0
65,Molecule_65,CC(OC1C=C(Cl)C=CC=1)C(O)=O,1,CC(OC1C=C(Cl)C=CC=1)C(O)=O,InChI=1S/C9H9ClO3/c1-6(9(11)12)13-8-4-2-3-7(10)5-8/h2-6H1H3(H1112),YNTJKQDWYXUTLZ-UHFFFAOYSA-N,,0
67,Molecule_67,NC1=CC=C(CC2C=C(Cl)C(N)=CC=2)C=C1Cl,1,NC1=CC=C(CC2C=C(Cl)C(N)=CC=2)C=C1Cl,InChI=1S/C13H12Cl2N2/c14-10-6-8(1-3-12(10)16)5-9-2-4-13(17)11(15)7-9/h1-46-7H516-17H2,IBOFVQJTBBUKMU-UHFFFAOYSA-N,,0
69,Molecule_69,CN(C)C1C2CC3CC4=C(C(=O)C3C(=O)C2(O)C(=O)C(C(N)=O)C1=O)C(O)=CC=C4N(C)C,1,CN(C)C1C2CC3CC4=C(C(=O)C3C(=O)C2(O)C(=O)C(C(N)=O)C1=O)C(O)=CC=C4N(C)C,InChI=1S/C23H27N3O7/c1-25(2)12-5-6-13(27)15-10(12)7-9-8-11-17(26(3)4)19(29)16(22(24)32)21(31)23(1133)20(30)14(9)18(15)28/h5-69111416-172733H7-8H21-4H3(H22432),ZZZRUAITSXLWBH-UHFFFAOYSA-N,,0
70,Molecule_70,CC1N=C(N=C(N=1)N(C)C(=O)NS(=O)(=O)C1=CC=CC=C1C(=O)OC)OC,1,CC1N=C(N=C(N=1)N(C)C(=O)NS(=O)(=O)C1=CC=CC=C1C(=O)OC)OC,InChI=1S/C15H17N5O6S/c1-9-16-13(18-14(17-9)26-4)20(2)15(22)19-27(2324)11-8-6-5-7-10(11)12(21)25-3/h5-8H1-4H3(H1922),VLCQZHSMCYCDJL-UHFFFAOYSA-N,,0
71,Molecule_71,O=C(NC1C=C(Cl)C(Cl)=CC=1)NC1C=CC(Cl)=CC=1,1,O=C(NC1C=C(Cl)C(Cl)=CC=1)NC1C=CC(Cl)=CC=1,InChI=1S/C13H9Cl3N2O/c14-8-1-3-9(4-2-8)17-13(19)18-10-5-6-11(15)12(16)7-10/h1-7H(H2171819),ICUTUKXCWQYESQ-UHFFFAOYSA-N,,0
72,Molecule_72,CCCC(=NOCC)C1C(=O)CC(CC1=O)C1CSCCC1,1,CCCC(=NOCC)C1C(=O)CC(CC1=O)C1CSCCC1,InChI=1S/C17H27NO3S/c1-3-6-14(18-21-4-2)17-15(19)9-13(10-16(17)20)12-7-5-8-22-11-12/h12-1317H3-11H21-2H3,GOJRHLKLWMSXMB-UHFFFAOYSA-N,,0
73,Molecule_73,CC(C)OC(=O)NC1C=C(Cl)C=CC=1,1,CC(C)OC(=O)NC1C=C(Cl)C=CC=1,InChI=1S/C10H12ClNO2/c1-7(2)14-10(13)12-9-5-3-4-8(11)6-9/h3-7H1-2H3(H1213),CWJSHJJYOPWUGX-UHFFFAOYSA-N,,0
79,Molecule_79,C=CCOC1N=C(N=C(N=1)OCC=C)OCC=C,1,C=CCOC1N=C(N=C(N=1)OCC=C)OCC=C,InChI=1S/C12H15N3O3/c1-4-7-16-10-13-11(17-8-5-2)15-12(14-10)18-9-6-3/h4-6H1-37-9H2,BJELTSYBAHKXRW-UHFFFAOYSA-N,,0
80,Molecule_80,CC(=C)C1CC(=O)C(C)C=C1,1,CC(=C)C1CC(=O)C(C)C=C1,InChI=1S/C10H14O/c1-7(2)9-5-4-8(3)10(11)6-9/h4-58-9H16H22-3H3,YAHNGTQFNICUIJ-UHFFFAOYSA-N,,0
82,Molecule_82,COC(=O)CC1C=CC=CC=1,1,COC(=O)CC1C=CC=CC=1,InChI=1S/C9H10O2/c1-11-9(10)7-8-5-3-2-4-6-8/h2-6H7H21H3,CRZQGDNQQAALAY-UHFFFAOYSA-N,,0
83,Molecule_83,CN(C)C(=O)NC1C=CC=CC=1,1,CN(C)C(=O)NC1C=CC=CC=1,InChI=1S/C9H12N2O/c1-11(2)9(12)10-8-6-4-3-5-7-8/h3-7H1-2H3(H1012),XXOYNJXVWVNOOJ-UHFFFAOYSA-N,,0
84,Molecule_84,CC(=C)C(=O)OC1CCCCC1,1,CC(=C)C(=O)OC1CCCCC1,InChI=1S/C10H16O2/c1-8(2)10(11)12-9-6-4-3-5-7-9/h9H13-7H22H3,OIWOHHBRDFKZNC-UHFFFAOYSA-N,,0
