MoleculeID,LogP_pred,LogP_predRange,AD_LogP,AD_index_LogP,Conf_index_LogP
Molecule_1,2.39,[2.39:2.41],1,0.998,0.933
Molecule_2,1.39,[1.34:1.39],1,0.998,0.912
Molecule_3,1.91,[1.91:1.94],1,0.998,0.972
Molecule_4,0.02,[-0.67:0.71],1,0.556,0.592
Molecule_5,1.75,[1.74:1.79],1,0.998,0.935
Molecule_6,2.33,[1.8:2.86],1,0.686,0.689
Molecule_7,-2.35,[-2.43:-2.27],1,0.998,0.762
Molecule_8,1.96,[1.93:1.99],1,0.998,0.976
Molecule_9,1.3,[1.21:1.39],1,0.998,0.926
Molecule_10,-0.97,[-4.41:2.47],0,0.112,0.1
Molecule_11,5.23,[5.17:5.29],1,0.998,0.902
Molecule_12,1.99,[1.88:2],1,0.998,0.848
Molecule_21,0.36,[0.32:0.39],1,0.998,0.907
Molecule_24,4.72,[3.68:5.76],1,0.433,0.423
Molecule_25,-0.09,[-0.29:0.11],1,0.629,0.762
Molecule_26,0.21,[0.17:0.25],1,0.998,0.918
Molecule_27,0.21,[0.19:0.23],1,0.998,0.954
Molecule_29,-1.55,[-2.71:-0.39],0,0.166,0.348
Molecule_30,3.93,[3.91:3.95],1,0.998,0.973
Molecule_31,3.15,[3.14:3.16],1,0.998,0.95
Molecule_32,2.1,[2.07:2.13],1,0.998,0.89
Molecule_33,2.95,[2.92:2.98],1,0.998,0.985
Molecule_34,4.16,[4:4.32],1,0.998,0.833
Molecule_39,1.36,[1.34:1.38],1,0.998,0.971
Molecule_41,1.09,[1.09:1.12],1,0.998,0.889
Molecule_42,1.56,[1.54:1.58],1,0.998,0.983
Molecule_43,0.46,[0.42:0.5],1,0.998,0.908
Molecule_45,1.19,[0.7:1.68],1,0.642,0.717
Molecule_46,1.1,[1.1:1.13],1,0.998,0.924
Molecule_47,1.47,[1.41:1.53],1,0.998,0.957
Molecule_48,2.3,[1.95:2.65],1,0.614,0.718
Molecule_49,1.28,[-1.13:3.69],1,0.296,0.14
Molecule_50,0.84,[0.7:0.98],1,0.998,0.794
Molecule_51,2.11,[2.11:2.14],1,0.998,0.896
Molecule_52,1.54,[1.52:1.56],1,0.998,0.953
Molecule_53,1.15,[1.09:1.21],1,0.998,0.916
Molecule_54,0.08,[0.04:0.12],1,0.998,0.978
Molecule_55,-0.02,[-0.02:0.06],1,0.998,0.757
Molecule_56,-0.6,[-0.65:-0.55],1,0.998,0.927
Molecule_57,1.87,[1.87:1.93],1,0.998,0.83
Molecule_58,6.34,[5.15:7.53],0,0.423,0.425
Molecule_59,-2.18,[-2.26:-2.1],1,0.998,0.769
Molecule_62,5.94,[5.2:6.68],1,0.529,0.582
Molecule_63,6.41,[4.98:7.84],0,0.38,0.341
Molecule_66,5.17,[4.59:5.78],1,0.548,0.613
Molecule_70,3.88,[3.8:3.88],1,0.998,0.773
Molecule_73,-1.56,[-2.62:-0.5],1,0.559,0.481
Molecule_74,2.55,[2.1:3],1,0.846,0.759
Molecule_75,3.91,[3.86:3.91],1,0.998,0.835
Molecule_77,1.78,[1.08:2.48],1,0.533,0.57
Molecule_78,4.34,[4.31:4.37],1,0.998,0.912
Molecule_79,4.67,[4.38:4.97],1,0.61,0.666
Molecule_80,3.51,[3.45:3.51],1,0.998,0.839
Molecule_81,6.5,[6.41:6.59],1,0.998,0.93
Molecule_87,3.41,[3.35:3.42],1,0.998,0.815
Molecule_88,2.84,[2.52:3.16],1,0.759,0.768
Molecule_89,1.84,[1.83:1.94],1,0.998,0.843
Molecule_90,3.13,[3.11:3.15],1,0.998,0.896
Molecule_91,6.16,[6.12:6.2],1,0.998,0.9
Molecule_92,2.23,[2.19:2.27],1,0.998,0.901
Molecule_93,-0.93,[-2.16:0.03],0,0.379,0.378
Molecule_94,2.4,[2.36:2.44],1,0.998,0.877
Molecule_96,2.8,[2.77:2.83],1,0.998,0.894
Molecule_97,1.36,[1.36:1.44],1,0.998,0.8
Molecule_98,3.5,[3.46:3.54],1,0.998,0.885
Molecule_99,4.13,[4.12:4.14],1,0.998,0.946
