Molecule name,RowID,Original_SMILES,Error
Molecule_895,895,CC(O)COCC1OC2OC3C(COCC(C)O)OC(OC4C(COCC(C)O)OC(OC5C(COCC(C)O)OC(OC6C(COCC(C)O)OC(OC7C(COCC(C)O)OC(OC8C(COCC(C)O)OC(OC1C(O)C2O)C(O)C8O)C(O)C7O)C(O)C6O)C(O)C5O)C(O)C4O)C(O)C3O, Size
Molecule_1175,1175,OC1C(=CC(=CC=1O)C(=O)OC1C(OC(=O)C2=CC(O)=C(O)C(=C2)OC(=O)C2=CC(O)=C(O)C(O)=C2)C(OC(COC(=O)C2=CC(O)=C(O)C(=C2)OC(=O)C2=CC(O)=C(O)C(O)=C2)C1OC(=O)C1=CC(O)=C(O)C(=C1)OC(=O)C1=CC(O)=C(O)C(O)=C1)OC(=O)C1=CC(O)=C(O)C(=C1)OC(=O)C1=CC(O)=C(O)C(O)=C1)OC(=O)C1=CC(O)=C(O)C(O)=C1, Size
Molecule_1530,1530,[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[O-]S(=O)(=O)C1=CC2=CC(=CC(NC3N=C(NC4C=C(C(C=CC5=CC=C(C=C5S([O-])(=O)=O)NC5N=C(NC6=CC(=CC7=CC(=C(N=NC8C=CC=CC=8)C(O)=C76)S([O-])(=O)=O)S([O-])(=O)=O)N=C(N=5)N5CCOCC5)=CC=4)S([O-])(=O)=O)N=C(N=3)N3CCOCC3)=C2C(O)=C1N=NC1C=CC=CC=1)S([O-])(=O)=O, Size
Molecule_3638,3638,CCCCCCCCCCCCCCCCCC(=O)OCC(COCC(COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCCCC, Size
Molecule_3642,3642,[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[O-]S(=O)(=O)C1C=C(N=NC2=CC=C3C(=CC=CC3=C2S([O-])(=O)=O)S([O-])(=O)=O)C2C(=CC(=C(NC3N=C(NC4C=CC(=CC=4)NC4N=C(NC5C(=CC6=CC(=CC(N=NC7=CC=C8C(=CC=CC8=C7S([O-])(=O)=O)S([O-])(=O)=O)=C6C=5O)S([O-])(=O)=O)S([O-])(=O)=O)N=C(Cl)N=4)N=C(Cl)N=3)C=2O)S([O-])(=O)=O)C=1, Size
Molecule_4084,4084,[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[O-]S(=O)(=O)C1C=C(NC2N=C(N=C(NCCNC3C=CC4N=c5c(OC=4C=3S([O-])(=O)=O)c(Cl)c3=NC4=CC=C(NCCNC6N=C(NC7=CC(=CC=C7S([O-])(=O)=O)S([O-])(=O)=O)N=C(N=6)[N+]6=CC(=CC=C6)C(O)=O)C(=C4Oc3c5Cl)S([O-])(=O)=O)N=2)[N+]2C=C(C=CC=2)C(O)=O)C(=CC=1)S([O-])(=O)=O, Size
Molecule_4125,4125,CC(COCC(C)OP(OC1C=CC=CC=1)OC(C)COCC(C)OP(OC1C=CC=CC=1)OC(C)COCC(C)OP(OC1C=CC=CC=1)OC(C)COCC(C)OP(OC1C=CC=CC=1)OC1C=CC=CC=1)OP(OC1C=CC=CC=1)OC(C)COCC(C)OP(OC1C=CC=CC=1)OC(C)COCC(C)OP(OC1C=CC=CC=1)OC(C)COCC(C)OP(OC1C=CC=CC=1)OC1C=CC=CC=1, Size
Molecule_4778,4778,[Na+].[Na+].CC1=NN(C2C=CC(=CC=2)S(=O)(=O)NS(=O)(=O)C2C=CC(=CC=2)[n]2[nH]c(C)c(N=NC3C=CC(=CC=3)S(=O)(=O)Nc3[nH]c(N)c(N=NC4C=CC(=CC=4)S(=O)(=O)NC4=NC(O)=C(N=NC5C=C(C=CC=5)S([O-])(=O)=O)C(N)=N4)c(=O)[n]3)c2=O)C(O)=C1N=NC1C=CC(=CC=1)S(=O)(=O)Nc1[nH]c(=O)c(N=NC2C=CC(=CC=2)S(=O)(=O)NC2=NC(O)=C(N=NC3C=C(C=CC=3)S([O-])(=O)=O)C(N)=N2)c(N)[n]1, Size
Molecule_69,69,OCCN(CCO)CCO[Zr](OCCN(CCO)CCO)(OCCN(CCO)CCO)OCCN(CCO)CCO, Organometallics
Molecule_174,174,C1=CC=C(O[Cu]OC2=CC=CC3=CC=CN=C32)C2=NC=CC=C21, Organometallics
Molecule_235,235,CCCCC(COC(=O)CS[Sn](CCCC)(CCCC)SCC(=O)OCC(CCCC)CC)CC, Organometallics
Molecule_274,274,CC(=O)O[Sn](CCCC)(CCCC)OC(C)=O, Organometallics
Molecule_276,276,CO[Sn](CCCC)(CCCC)OC, Organometallics
Molecule_472,472,CCCC[Sn](Cl)(Cl)Cl, Organometallics
Molecule_558,558,C[Hg]Cl, Organometallics
Molecule_638,638,[Cr]#C[Cr]C#[Cr], Organometallics
Molecule_676,676,O[Cu]OC(=O)O[Cu]O, Organometallics
Molecule_678,678,[C-]#[W+], Organometallics
Molecule_690,690,CC1C=[C-](C=C1)[Mn+]([C-]#[O+])([C-]#[O+])[C-]#[O+], Organometallics
Molecule_945,945,O[Sn](C1CCCCC1)(C1CCCCC1)C1CCCCC1, Organometallics
Molecule_1001,1001,ClC1=CC(Cl)=C2C3N=C4C5C(C6N=C7N=C(N=c8c9c(c(=NC(=N3)C2=C1Cl)[n]8[Cu]N46)c(Cl)c(Cl)c(Cl)c9Cl)C1C7=C(Cl)C(Cl)=C(Cl)C=1Cl)=C(Cl)C(Cl)=C(Cl)C=5Cl, Organometallics
Molecule_1021,1021,CCCC[Sn](O)(O)Cl, Organometallics
Molecule_1022,1022,CC(C)(C[Sn](CC(C)(C)C1C=CC=CC=1)(CC(C)(C)C1C=CC=CC=1)O[Sn](CC(C)(C)C1C=CC=CC=1)(CC(C)(C)C1C=CC=CC=1)CC(C)(C)C1C=CC=CC=1)C1C=CC=CC=1, Organometallics
Molecule_1035,1035,CCCCCCCCCCCCCCCCCC(=O)O[Al]=O, Organometallics
Molecule_1050,1050,C1=CC=CC2=[S][Zn+2]3([O-]N4C=CC=CC4=[S]3)[O-]N21, Organometallics
Molecule_1166,1166,CC(=O)[CH-]C(C)=[O+][Al]([O+]=C(C)[CH-]C(C)=O)[O+]=C(C)[CH-]C(C)=O, Organometallics
Molecule_1232,1232,ClC1=C2C(C3=NC2=NC2=C4C(=C5N=C6N=C(N=c7c8c(c(=N3)[n]7[Cu]N52)c(Br)c(Cl)c(Br)c8Cl)C2C6=C(Cl)C(Cl)=C(Cl)C=2Br)C(Cl)=C(Br)C(Cl)=C4Br)=C(Cl)C(Br)=C1Cl, Organometallics
Molecule_1270,1270,CCCC[Sn](Cl)(CCCC)CCCC, Organometallics
Molecule_1271,1271,CCCC[Sn](CCCC)(CCCC)CCCC, Organometallics
Molecule_1291,1291,O[Bi]1OC2=CC=CC=C2C(=O)O1, Organometallics
Molecule_1348,1348,CCCCCCCC[Sn]1(CCCCCCCC)OC(=O)CS1, Organometallics
Molecule_1350,1350,COC(=O)C=CC(=O)O[Sn](CCCC)(CCCC)OC(=O)C=CC(=O)OC, Organometallics
Molecule_1354,1354,CCCCCCCC[Sn](CCCCCCCC)(SCC(=O)OCC(CCCC)CC)SCC(=O)OCC(CCCC)CC, Organometallics
Molecule_1703,1703,CCN(CC)C(=S)S[Te](SC(=S)N(CC)CC)(SC(=S)N(CC)CC)SC(=S)N(CC)CC, Organometallics
Molecule_1766,1766,CCCCCCCC[Sn](CCCCCCCC)(SCCCCCCCCCCCC)SCCCCCCCCCCCC, Organometallics
Molecule_1792,1792,CCCC[Sn](O)=O, Organometallics
Molecule_1797,1797,[CH2-][Hg+2], Organometallics
Molecule_1879,1879,CCCCCCCC[Sn](CCCCCCCC)(OC(=O)C(CCCC)CC)OC(=O)C(CCCC)CC, Organometallics
Molecule_1965,1965,CCCCCCCC[Sn](Cl)(CCCCCCCC)CCCCCCCC, Organometallics
Molecule_1997,1997,CCCCCCCC[Sn](SCC(=O)OCCCCCC(C)C)(SCC(=O)OCCCCCC(C)C)SCC(=O)OCCCCCC(C)C, Organometallics
Molecule_1998,1998,CC(C)CCCCCOC(=O)CS[Sn](CCCCCCCC)(CCCCCCCC)SCC(=O)OCCCCCC(C)C, Organometallics
Molecule_2042,2042,CCCCCCCC[Sn](SCC(=O)OCC(CCCC)CC)(SCC(=O)OCC(CCCC)CC)SCC(=O)OCC(CCCC)CC, Organometallics
Molecule_2084,2084,CCCCC(CC)C(=O)O[Sn](CCCC)(CCCC)OC(=O)C(CCCC)CC, Organometallics
Molecule_2161,2161,C1CO[Sb]2OCCO[Sb](O1)OCCO2, Organometallics
Molecule_2177,2177,OC(CO)C(O)C(O)C(O)C(=O)O[Fe]OC(=O)C(O)C(O)C(O)C(O)CO, Organometallics
Molecule_2198,2198,CCCCCCCC[Sn]1(CCCCCCCC)OC(=O)CCS1, Organometallics
Molecule_2229,2229,CCCCO[Al](OCCCC)OCCCC, Organometallics
Molecule_2233,2233,CCCCCCCC[Sn](Cl)(Cl)Cl, Organometallics
Molecule_2323,2323,CCCCO[Sn](CCCC)(CCCC)OCCCC, Organometallics
Molecule_2384,2384,CCCCCCCC[Sn](Cl)(Cl)CCCCCCCC, Organometallics
Molecule_2407,2407,CCCCCCCC[Sn](CCCCCCCC)(CCCCCCCC)CCCCCCCC, Organometallics
Molecule_2418,2418,CCCCCCCC[Sn](CCCCCCCC)(OC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC, Organometallics
Molecule_2429,2429,CC(C)O[Ti](OC(C)C)(OCCN(CCO)CCO)OCCN(CCO)CCO, Organometallics
Molecule_2487,2487,C[Sn](C)(OC(=O)CCCCCCCC=CCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC, Organometallics
Molecule_2533,2533,C1CCCCC1[Sn](C1CCCCC1)(C1CCCCC1)N1C=NC=N1, Organometallics
Molecule_2952,2952,C[Sn](C)(C)O, Organometallics
Molecule_2960,2960,CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC, Organometallics
Molecule_2989,2989,O[Zr](=O)OC(=O)O[Zr](O)=O, Organometallics
Molecule_3000,3000,C[Sn](SCC(=O)OCC(CCCC)CC)(SCC(=O)OCC(CCCC)CC)SCC(=O)OCC(CCCC)CC, Organometallics
Molecule_3043,3043,O=C(O[Bi]=O)O[Bi]=O, Organometallics
Molecule_3110,3110,CCCCN(CCCC)C1[S-][Mo+3]2(=O)([S-2][Mo+3]3(=O)([S-2]2)[S-]C(=[S]3)N(CCCC)CCCC)[S]=1, Organometallics
Molecule_3234,3234,CC(=C)C(=O)O[Zn]O, Organometallics
Molecule_3255,3255,O=C1O[Mn]OC1=O, Organometallics
Molecule_3392,3392,CCCCO[Tl](OCCCC)OCCCC, Organometallics
Molecule_3430,3430,CCCCCCCC[Sn](CCCCCCCC)(OC(=O)C=CC(=O)OCC)OC(=O)C=CC(=O)OCC, Organometallics
Molecule_3464,3464,CC(C)(C)CCC(C)(C)C(=O)O[Sn](CCCCCCCC)(CCCCCCCC)OC(=O)C(C)(C)CCC(C)(C)C, Organometallics
Molecule_3468,3468,CCCC[Sn](Cl)(Cl)CCCC, Organometallics
Molecule_3488,3488,CC(C)O[Al]=O, Organometallics
Molecule_3577,3577,CCCCCCCC[Sn]1(CCCCCCCC)SCC(=O)OCCOC(=O)CS1, Organometallics
Molecule_3719,3719,Nc1[nH]c2NC3OC(COP(O)(O)=O)C4S[Mo](=O)(=O)SC=4C3Nc2c(=O)[n]1, Organometallics
Molecule_3810,3810,C[Sn](C)(Cl)Cl, Organometallics
Molecule_3822,3822,C[As](C)(O)=O, Organometallics
Molecule_3886,3886,O[Sn](C1C=CC=CC=1)(C1C=CC=CC=1)C1C=CC=CC=1, Organometallics
Molecule_3936,3936,CCCC[Sn](CCCC)(OC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC, Organometallics
Molecule_4019,4019,CC[Pb](CC)(CC)CC, Organometallics
Molecule_4022,4022,CCCC[Sn]1(CCCC)OC(=O)C=CC(=O)O1, Organometallics
Molecule_4154,4154,CCCC[Sn](=O)CCCC, Organometallics
Molecule_4158,4158,CCOC(=O)C(C(C)=O)[Ti]1(OCCCO1)C(C(C)=O)C(C)=O, Organometallics
Molecule_4245,4245,CC(C)CCCCCCCCCCOC(=O)CCS[Sn](CCCC)(CCCC)SCCC(=O)OCCCCCCCCCCC(C)C, Organometallics
Molecule_4309,4309,CCCCCCCC[Sn](=O)CCCCCCCC, Organometallics
Molecule_4387,4387,CC(=O)O[Sn](C1C=CC=CC=1)(C1C=CC=CC=1)C1C=CC=CC=1, Organometallics
Molecule_4486,4486,CC(C)CCCCCOP1(OC(C)CC)[S-][Zn+2]2([S-]P(OC(C)CC)(OCCCCCC(C)C)=[S]2)[S]=1, Organometallics
Molecule_4610,4610,CC[Al](CC)CC, Organometallics
Molecule_1084,1084,[Na+].[Na+].[Na+].[Na+].N#C[Fe-4](C#N)(C#N)(C#N)(C#N)C#N, Organometallics
Molecule_1167,1167,[K+].[K+].[K+].N#[C-][Co+3]([C-]#N)([C-]#N)([C-]#N)([C-]#N)[C-]#N, Organometallics
Molecule_1169,1169,[K+].N#C[Au-]C#N, Organometallics
Molecule_1738,1738,[Na+].C[As]([O-])(O)=O, Organometallics
Molecule_2091,2091,[Cl-].CCCCCC[Sn+](CCCCCC)CCCCCC, Organometallics
Molecule_2863,2863,O.CCCCCCCCCCCCCCCCCC(=O)O[AlH]OC(=O)C1C=CC=CC=1, Organometallics
Molecule_839,839,[K+].[K+].[Co+2].N#[C-][Fe-4]([C-]#N)([C-]#N)([C-]#N)([C-]#N)[C-]#N, Organometallics
Molecule_2942,2942,C[n]1[s]c(Cl)cc1=O.C[n]1[s]ccc1=O, Mixture
Molecule_253,253,[Na+].CC1C(N)=CC=CC=1N.C[O-].COC(=O)C1C(C#N)=C(Cl)C(Cl)=C(Cl)C=1Cl, Mixture
Molecule_265,265,COC(=O)CCCCCCCCC(=O)OC1CC(C)(C)N(C)C(C)(C)C1.CC1(C)CC(CC(C)(C)N1C)OC(=O)CCCCCCCCC(=O)OC1CC(C)(C)N(C)C(C)(C)C1, Mixture
Molecule_489,489,[Cl-].[Cl-].C[N+]1=CC2C(OC)=C(C=CC=2C2=CC=C3C=C4OCOC4=CC3=C12)OC.C[N+]1=CC2=C3OCOC3=CC=C2C2=CC=C3C=C4OCOC4=CC3=C12, Mixture
Molecule_619,619,CC(C)(C)C1C=C(C(O)=CC=1)C(C)(C)C.ClP(Cl)Cl.C1=CC=CC=C1C1C=CC=CC=1, Mixture
Molecule_766,766,[Ca+2].CC(=O)C(=NNC1=CC=C(C=C1[N+]([O-])=O)S([O-])(=O)=O)C(=O)NC1C=CC=CC=1.CC(=O)C(N=NC1=CC=C(C=C1[N+]([O-])=O)S([O-])(=O)=O)C(=O)NC1C=CC=CC=1.CC(=O)C(N=NC1=CC=C(C=C1[N+]([O-])=O)S([O-])(=O)=O)C(=O)NC1C=CC=CC=1.CC(=O)C(N=NC1=CC=C(C=C1[N+]([O-])=O)S([O-])(=O)=O)C(=O)NC1C=CC=CC=1, Mixture
Molecule_1283,1283,CCCCCCC1C2C(C(CCCCCCCC([O-])=O)C(CCCCCCCC([O-])=O)C1C=CCCCCCC)C(CCCCCCCC([O-])=O)C=CC2CCCCCC.CCCCCCCCC=CCCCCCCCC[NH3+].CCCCCCCCC=CCCCCCCCC[NH3+].CCCCCCCCC=CCCCCCCCC[NH3+], Mixture
Molecule_1466,1466,CC(O)CN.CC(O)CNC(O)=O, Mixture
Molecule_1581,1581,CC(O)CN(CC(C)O)CC(C)O.OC(=O)COC1=CC=C(Cl)C=C1Cl, Mixture
Molecule_1861,1861,CC(O)COC(C)CO.OCCO, Mixture
Molecule_1904,1904,CC(C)(C1C=CC(O)=CC=1)C1C=CC(O)=CC=1.ClCC1CO1, Mixture
Molecule_1918,1918,[Na+].[Na+].[Na+].[Na+].CC(=O)NC1=CC=C(C2=CC(=CC(O)=C21)S([O-])(=O)=O)S([O-])(=O)=O.[O-]S(=O)(=O)C1C=C2C=CC=C(N=NC3C=CC(=CC=3)S([O-])(=O)=O)C2=CC=1, Mixture
Molecule_2037,2037,CC1=CC=CC(N)=C1N.CC1C=C(N)C(N)=CC=1, Mixture
Molecule_2041,2041,Cl.NC(=N)[O-].OC[P+](CO)(CO)CO, Mixture
Molecule_2286,2286,CC.OC1C=CC(=CC=1)C1C=CC(O)=CC=1.OCCO, Mixture
Molecule_2442,2442,CCN1C=[N+](C)C=C1.N#C[N-]C#N, Mixture
Molecule_2461,2461,NC1N=C(N)N=C(N)N=1.O=c1[nH]c(=O)[nH]c(=O)[nH]1, Mixture
Molecule_2775,2775,CC(C)OP([S-])(=S)OC(C)C.CC(C)OP([S-])(=S)OC(C)C.C1CCCCC1N[Zn+2]NC1CCCCC1, Mixture
Molecule_2847,2847,[Sn+4].[CH2-]CCCCCCC.[CH2-]CCCCCCC.CC(=O)[CH-]C(C)=O.CC(=O)[CH-]C(C)=O, Mixture
Molecule_2972,2972,CC[N+](CC)(CC)CC.[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F, Mixture
Molecule_3178,3178,CC(O)C[N+](C)(C)C.CCCCC(CC)C([O-])=O, Mixture
Molecule_3304,3304,C[N+](C)=C1C=CC(C=C1)=C(C1C=CC(=CC=1)N(C)C)C1C=CC(=CC=1)N(C)C.[O-]S(=O)(=O)C1C=C(C=CC=1)N=NC1C=CC(=CC=1)NC1C=CC=CC=1, Mixture
