ID,casrn,dtxsid,name,canonical order SMILES,InChIKey,InChI,count,POD,POD_GSD2,RfD_reg,HDM10_reg,HDM10_GSD2_reg,RfD_prob,HDM10_prob,HDM10_GSD2_prob,TEQ,Error
422,106990-43-6,DTXSID9047122,"1,5,8,12-Tetrakis[4,6-bis(N-butyl-N-1,2,2,6,6-pentamethyl-4-piperidylamino)-1,3,5-triazin-2-yl]-1,5,8,12-tetraazadodecane",CCCCN(c1nc(NCCCN(CCN(CCCNc2nc(N(CCCC)C3CC(C)(C)N(C)C(C)(C)C3)nc(N(CCCC)C3CC(C)(C)N(C)C(C)(C)C3)n2)c2nc(N(CCCC)C3CC(C)(C)N(C)C(C)(C)C3)nc(N(CCCC)C3CC(C)(C)N(C)C(C)(C)C3)n2)c2nc(N(CCCC)C3CC(C)(C)N(C)C(C)(C)C3)nc(N(CCCC)C3CC(C)(C)N(C)C(C)(C)C3)n2)nc(N(CCCC)C2CC(C)(C)N(C)C(C)(C)C2)n1)C1CC(C)(C)N(C)C(C)(C)C1,OWXXKGVQBCBSFJ-UHFFFAOYSA-N,"InChI=1S/C132H250N32/c1-49-57-71-157(97-81-117(9,10)147(41)118(11,12)82-97)109-135-105(136-110(143-109)158(72-58-50-2)98-83-119(13,14)148(42)120(15,16)84-98)133-67-65-69-155(107-139-113(161(75-61-53-5)101-89-125(25,26)151(45)126(27,28)90-101)145-114(140-107)162(76-62-54-6)102-91-127(29,30)152(46)128(31,32)92-102)79-80-156(108-141-115(163(77-63-55-7)103-93-129(33,34)153(47)130(35,36)94-103)146-116(142-108)164(78-64-56-8)104-95-131(37,38)154(48)132(39,40)96-104)70-66-68-134-106-137-111(159(73-59-51-3)99-85-121(17,18)149(43)122(19,20)86-99)144-112(138-106)160(74-60-52-4)100-87-123(21,22)150(44)124(23,24)88-100/h97-104H,49-96H2,1-48H3,(H,133,135,136,143)(H,134,137,138,144)
",7,7.272536887,7.972600454,,,,0.026454337,2.083821458,9.933542485,, Size
1295,128446-35-5,DTXSID20894281,".beta.-Cyclodextrin, 2-hydroxypropyl ethers",CC(O)COCC1OC2OC3C(COCC(C)O)OC(OC4C(COCC(C)O)OC(OC5C(COCC(C)O)OC(OC6C(COCC(C)O)OC(OC7C(COCC(C)O)OC(OC8C(COCC(C)O)OC(OC1C(O)C2O)C(O)C8O)C(O)C7O)C(O)C6O)C(O)C5O)C(O)C4O)C(O)C3O,ODLHGICHYURWBS-UHFFFAOYSA-N,"InChI=1S/C63H112O42/c1-22(64)8-85-15-29-50-36(71)43(78)57(92-29)100-51-30(16-86-9-23(2)65)94-59(45(80)38(51)73)102-53-32(18-88-11-25(4)67)96-61(47(82)40(53)75)104-55-34(20-90-13-27(6)69)98-63(49(84)42(55)77)105-56-35(21-91-14-28(7)70)97-62(48(83)41(56)76)103-54-33(19-89-12-26(5)68)95-60(46(81)39(54)74)101-52-31(17-87-10-24(3)66)93-58(99-50)44(79)37(52)72/h22-84H,8-21H2,1-7H3",1,31.85860591,17.21957171,,,,0.020826542,9.128540376,20.29176944,, Size
1712,1401-55-4,DTXSID2026076,Tannic acid,O=C(OCC1OC(OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)C(OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)C(OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)C1OC(=O)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1,LRBQNJMCXXYXIU-UHFFFAOYSA-N,"InChI=1S/C76H52O46/c77-32-1-22(2-33(78)53(32)92)67(103)113-47-16-27(11-42(87)58(47)97)66(102)112-21-52-63(119-72(108)28-12-43(88)59(98)48(17-28)114-68(104)23-3-34(79)54(93)35(80)4-23)64(120-73(109)29-13-44(89)60(99)49(18-29)115-69(105)24-5-36(81)55(94)37(82)6-24)65(121-74(110)30-14-45(90)61(100)50(19-30)116-70(106)25-7-38(83)56(95)39(84)8-25)76(118-52)122-75(111)31-15-46(91)62(101)51(20-31)117-71(107)26-9-40(85)57(96)41(86)10-26/h1-20,52,63-65,76-101H,21H2",2,43.73927028,7.972600454,,,,0.047731352,12.5327422,9.933542485,, Size
272,10380-28-6,DTXSID7020346,Copper-8-hydroxyquinoline (1:2),c1cnc2c(O[Cu]Oc3cccc4cccnc34)cccc2c1,YXLXNENXOJSQEI-UHFFFAOYSA-L,"InChI=1S/2C9H7NO.Cu/c2*11-8-5-1-3-7-4-2-6-10-9(7)8;/h2*1-6,11H;/q;;+2/p-2
",14,15.6860218,7.972600454,,,,0.171176844,4.494562121,9.933542485,, Organometallics
410,1067-33-0,DTXSID3020419,Dibutyltin diacetate,CCCC[Sn](CCCC)(OC(C)=O)OC(C)=O,JJLKTTCRRLHVGL-UHFFFAOYSA-L,"InChI=1S/2C4H9.2C2H4O2.Sn/c2*1-3-4-2;2*1-2(3)4;/h2*1,3-4H2,2H3;2*1H3,(H,3,4);/q;;;;+2/p-2
",1,0.057345491,17.21957171,,,,3.75e-05,0.016431373,20.29176944,, Organometallics
693,1118-46-3,DTXSID0029210,Butyltin trichloride,CCCC[Sn](Cl)(Cl)Cl,YMLFYGFCXGNERH-UHFFFAOYSA-K,"InChI=1S/C4H9.3ClH.Sn/c1-3-4-2;;;;/h1,3-4H2,2H3;3*1H;/q;;;;+3/p-3
",3,63.47778858,7.972600454,,,,0.069271404,18.1884781,9.933542485,, Organometallics
799,115-09-3,DTXSID5020813,Methylmercuric(II) chloride,C[Hg]Cl,BABMCXWQNSQAOC-UHFFFAOYSA-M,"InChI=1S/CH3.ClH.Hg/h1H3;1H;/q;;+1/p-1
",2,0.130831033,7.972600454,,,,0.000142772,0.037487402,9.933542485,, Organometallics
978,12070-12-1,DTXSID4029305,Tungsten carbide,[C-]#[W+],UONOETXJSWQNOL-UHFFFAOYSA-N,InChI=1S/C.W/q-1;+1,3,14.65659482,7.972600454,,,,0.015994302,4.199597369,9.933542485,, Organometallics
1195,124-58-3,DTXSID4020903,Methylarsonic acid,C[As](=O)(O)O,QYPPRTNMGCREIM-UHFFFAOYSA-N,"InChI=1S/CH5AsO3/c1-2(3,4)5/h1H3,(H2,3,4,5)
",4,1.076504914,7.972600454,0.01,0.331197365,12.15456521,0.003915858,0.30845413,9.933542485,, Organometallics
1217,12578-12-0,DTXSID4029727,"Lead, bis(octadecanoato)dioxotri-",CCCCCCCCCCCCCCCCCC[Pb]O[Pb]O[Pb]CCCCCCCCCCCCCCCCCC,VDBIDHFJMXOQTB-UHFFFAOYSA-N,"InChI=1S/2C18H37.2O.3Pb/c2*1-3-5-7-9-11-13-15-17-18-16-14-12-10-8-6-4-2;;;;;/h2*1,3-18H2,2H3;;;;;
",1,0.000286727,17.21957171,,,,1.87e-07,8.22e-05,20.29176944,, Organometallics
1374,13121-70-5,DTXSID1032357,Cyhexatin,O[Sn](C1CCCCC1)(C1CCCCC1)C1CCCCC1,WCMMILVIRZAPLE-UHFFFAOYSA-M,"InChI=1S/3C6H11.H2O.Sn/c3*1-2-4-6-5-3-1;;/h3*1H,2-6H2;1H2;/q;;;;+1/p-1
",8,0.339557805,7.972600454,,,,0.001235164,0.0972945,9.933542485,, Organometallics
1452,1328-53-6,DTXSID8025911,C.I. Phthalocyanine green,Clc1cc(Cl)c2c(c1Cl)C1=NC2N=C2c3c(Cl)c(Cl)c(Cl)c(Cl)c3C3N=C4N=C(N=c5c6c(Cl)c(Cl)c(Cl)c(Cl)c6c(n5[Cu]N23)=N1)c1c(Cl)c(Cl)c(Cl)c(Cl)c14,BWWFBQOKGNVMQO-UHFFFAOYSA-N,"InChI=1/C32H3Cl15N8.Cu/c33-2-1-3(34)12(35)5-4(2)25-48-26(5)50-28-8-9(16(39)22(45)21(44)15(8)38)30(52-28)54-32-11-10(17(40)23(46)24(47)18(11)41)31(55-32)53-29-7-6(27(49-25)51-29)13(36)19(42)20(43)14(7)37;/h1,25,29H;/q-2;+2
",8,516.8072118,7.972600454,,,,1.879920615,148.0822957,9.933542485,, Organometallics
1486,13355-96-9,DTXSID4044797,Butyl(chloro)stannanediol,CCCC[Sn](O)(O)Cl,FQYHHEJETOLDHR-UHFFFAOYSA-K,"InChI=1S/C4H9.ClH.2H2O.Sn/c1-3-4-2;;;;/h1,3-4H2,2H3;1H;2*1H2;/q;;;;+3/p-3
",2,23.1352219,10.69500707,,,,0.020903505,6.62900341,12.99567447,, Organometallics
1487,13356-08-6,DTXSID7032391,Fenbutatin oxide,CC(C)(C[Sn](CC(C)(C)c1ccccc1)(CC(C)(C)c1ccccc1)O[Sn](CC(C)(C)c1ccccc1)(CC(C)(C)c1ccccc1)CC(C)(C)c1ccccc1)c1ccccc1,HOXINJBQVZWYGZ-UHFFFAOYSA-N,"InChI=1S/6C10H13.O.2Sn/c6*1-10(2,3)9-7-5-4-6-8-9;;;/h6*4-8H,1H2,2-3H3;;;
",7,2.362804292,7.972600454,,,,0.008594858,0.677021287,9.933542485,, Organometallics
1528,13463-41-7,DTXSID7026314,Zinc pyrithione,C1=CC2=[S][Zn+2]3([O-]N2C=C1)[O-]N1C=CC=CC1=[S]3,PICXIOQBANWBIZ-UHFFFAOYSA-N,"InChI=1S/2C5H4NOS.Zn/c2*7-6-4-2-1-3-5(6)8;/h2*1-4H;/q2*-1;+2
",21,0.273590504,7.972600454,0.0016,0.21662331,12.34290033,0.002985611,0.078392695,9.933542485,, Organometallics
1699,13963-57-0,DTXSID8051704,Aluminum trisacetoacetate,CC(=O)[CH-]C(C)=[O+][Al]([O+]=C(C)[CH-]C(C)=O)[O+]=C(C)[CH-]C(C)=O,QWKOJPUROFIHOB-UHFFFAOYSA-N,"InChI=1S/3C5H7O2.Al/c3*1-4(6)3-5(2)7;/h3*3H,1-2H3;/q3*-1;+3
",1,83.72441634,17.21957171,,,,0.054732153,23.98980411,20.29176944,, Organometallics
1810,14302-13-7,DTXSID3025912,C.I. Pigment green 36,Clc1c(Cl)c(Br)c2c(c1Cl)C1=Nc3c4c(Cl)c(Br)c(Cl)c(Br)c4c4n3[Cu]n3c(c5c(Cl)c(Br)c(Cl)c(Br)c5c3=NC3=NC(=N4)c4c(Cl)c(Cl)c(Br)c(Cl)c43)=NC2=N1,JRJLLXQDXANQEC-UHFFFAOYSA-N,"InChI=1S/C32Br6Cl10N8.Cu/c33-9-1-4(15(39)12(36)20(9)44)28-49-25(1)53-31-7-8(18(42)23(47)14(38)17(7)41)32(56-31)54-26-2-5(16(40)13(37)21(45)10(2)34)29(50-26)55-30-6-3(27(51-28)52-30)11(35)22(46)24(48)19(6)43;/q-2;+2
",20,409.8736021,7.972600454,,,,4.472827487,117.4422929,9.933542485,, Organometallics
1870,1461-25-2,DTXSID4022153,Tetrabutyltin,CCCC[Sn](CCCC)(CCCC)CCCC,AFCAKJKUYFLYFK-UHFFFAOYSA-N,"InChI=1S/4C4H9.Sn/c4*1-3-4-2;/h4*1,3-4H2,2H3;
",3,2.789816333,7.972600454,,,,0.003044443,0.799374308,9.933542485,, Organometallics
1916,14882-18-9,DTXSID6024622,Bismuth subsalicylate,O=C1O[Bi](O)Oc2ccccc21,ZREIPSZUJIFJNP-UHFFFAOYSA-K,"InChI=1S/C7H6O3.Bi.H2O/c8-6-4-2-1-3-5(6)7(9)10;;/h1-4,8H,(H,9,10);;1H2/q;+3;/p-3
",4,116.7494847,7.972600454,,,,0.424684018,33.45257441,9.933542485,, Organometallics
1995,15535-79-2,DTXSID7065910,"1,3,2-Oxathiastannolan-5-one, 2,2-dioctyl-",CCCCCCCC[Sn]1(CCCCCCCC)OC(=O)CS1,KEUUHXDTZRYITO-UHFFFAOYSA-L,"InChI=1S/2C8H17.C2H4O2S.Sn/c2*1-3-5-7-8-6-4-2;3-2(4)1-5;/h2*1,3-8H2,2H3;5H,1H2,(H,3,4);/q;;;+2/p-2
",1,0.955758177,17.21957171,,,,0.000624796,0.273856211,20.29176944,, Organometallics
2002,15571-58-1,DTXSID8029735,Dioctyltinbis(2-ethylhexyl mercaptoacetate),CCCCCCCC[Sn](CCCCCCCC)(SCC(=O)OCC(CC)CCCC)SCC(=O)OCC(CC)CCCC,VXGIVDFKZKMKQO-UHFFFAOYSA-L,"InChI=1/2C10H20O2S.2C8H17.Sn/c2*1-3-5-6-9(4-2)7-12-10(11)8-13;2*1-3-5-7-8-6-4-2;/h2*9,13H,3-8H2,1-2H3;2*1,3-8H2,2H3;/q;;;;+2/p-2
",1,0.121648156,17.21957171,,,,7.95e-05,0.034856205,20.29176944,, Organometallics
