ID,casrn,dtxsid,name,canonical order SMILES,InChIKey,InChI,count,POD,POD_GSD2,RfD_reg,HDM10_reg,HDM10_GSD2_reg,RfD_prob,HDM10_prob,HDM10_GSD2_prob,TEQ,Canonical_QSARr,INCHIKEY_QSARr,INCHI_QSARr,Salt_Solvent,Salt_Solvent_ID,y,y_std,count_duplicates
2,100-01-6,DTXSID8020961,4-Nitroaniline,Nc1ccc([N+](=O)[O-])cc1,TYMLOMAKGOJONV-UHFFFAOYSA-N,"InChI=1S/C6H6N2O2/c7-5-1-3-6(4-2-5)8(9)10/h1-4H,7H2
",19,0.586496926,7.972600454,0.004,0.134361339,8.549343552,0.006400265,0.168050695,9.933542485,,NC1=CC=C(C=C1)[N+]([O-])=O,TYMLOMAKGOJONV-UHFFFAOYSA-N,InChI=1S/C6H6N2O2/c7-5-1-3-6(4-2-5)8(9)10/h1-4H7H2,,0.0,-5.372009695036709,,
14,10016-20-3,DTXSID7030698,alpha-Cyclodextrin,OCC1OC2OC3C(CO)OC(OC4C(CO)OC(OC5C(CO)OC(OC6C(CO)OC(OC7C(CO)OC(OC1C(O)C2O)C(O)C7O)C(O)C6O)C(O)C5O)C(O)C4O)C(O)C3O,HFHDHCJBZVLPGP-RWMJIURBSA-N,"InChI=1S/C36H60O30/c37-1-7-25-13(43)19(49)31(55-7)62-26-8(2-38)57-33(21(51)15(26)45)64-28-10(4-40)59-35(23(53)17(28)47)66-30-12(6-42)60-36(24(54)18(30)48)65-29-11(5-41)58-34(22(52)16(29)46)63-27-9(3-39)56-32(61-25)20(50)14(27)44/h7-54H,1-6H2/t7-,8-,9-,10-,11-,12-,13-,14-,15-,16-,17-,18-,19-,20-,21-,22-,23-,24-,25-,26-,27-,28-,29-,30-,31-,32-,33-,34-,35-,36-/m1/s1
",4,2964.84892,7.972600454,,,,10.78483519,849.5269112,9.933542485,,OC1C2OC3OC(CO)C(OC4OC(CO)C(OC5OC(CO)C(OC6OC(CO)C(OC7OC(CO)C(OC(OC2CO)C1O)C(O)C7O)C(O)C6O)C(O)C5O)C(O)C4O)C(O)C3O,HFHDHCJBZVLPGP-UHFFFAOYSA-N,InChI=1S/C36H60O30/c37-1-7-25-13(43)19(49)31(55-7)62-26-8(2-38)57-33(21(51)15(26)45)64-28-10(4-40)59-35(23(53)17(28)47)66-30-12(6-42)60-36(24(54)18(30)48)65-29-11(5-41)58-34(22(52)16(29)46)63-27-9(3-39)56-32(61-25)20(50)14(27)44/h7-54H1-6H2,,0.0,-2.51604152968017,,
15,100-18-5,DTXSID2026652,"1,4-Diisopropylbenzene",CC(C)c1ccc(C(C)C)cc1,SPPWGCYEYAMHDT-UHFFFAOYSA-N,"InChI=1S/C12H18/c1-9(2)11-5-7-12(8-6-11)10(3)4/h5-10H,1-4H3
",4,11.03614482,7.972600454,,,,0.040144711,3.162219146,9.933542485,,CC(C)C1C=CC(=CC=1)C(C)C,SPPWGCYEYAMHDT-UHFFFAOYSA-N,InChI=1S/C12H18/c1-9(2)11-5-7-12(8-6-11)10(3)4/h5-10H1-4H3,,0.0,-4.167436903279334,,
18,100-21-0,DTXSID6026080,Terephthalic acid,O=C(O)c1ccc(C(=O)O)cc1,KKEYFWRCBNTPAC-UHFFFAOYSA-N,"InChI=1S/C8H6O4/c9-7(10)5-1-2-6(4-3-5)8(11)12/h1-4H,(H,9,10)(H,11,12)
",7,69.6011458,7.972600454,1.0,44.65720875,13.17955748,0.253178798,19.94302172,9.933542485,,OC(=O)C1C=CC(=CC=1)C(O)=O,KKEYFWRCBNTPAC-UHFFFAOYSA-N,InChI=1S/C8H6O4/c9-7(10)5-1-2-6(4-3-5)8(11)12/h1-4H(H910)(H1112),,0.0,-3.3778369042209597,,
21,100-25-4,DTXSID0021836,"1,4-Dinitrobenzene",O=[N+]([O-])c1ccc([N+](=O)[O-])cc1,FYFDQJRXFWGIBS-UHFFFAOYSA-N,"InChI=1S/C6H4N2O4/c9-7(10)5-1-2-6(4-3-5)8(11)12/h1-4H
",6,0.131711006,7.972600454,0.0001,0.083863303,12.45419475,0.000479108,0.037739543,9.933542485,,[O-][N+](=O)C1C=CC(=CC=1)[N+]([O-])=O,FYFDQJRXFWGIBS-UHFFFAOYSA-N,InChI=1S/C6H4N2O4/c9-7(10)5-1-2-6(4-3-5)8(11)12/h1-4H,,0.0,-6.10596631445675,,
40,100402-60-6,DTXSID10143255,"d-Glucose, ether with glycerol",O=CC(OC(C=O)C(O)C(O)C(O)CO)C(O)C(O)C(O)CO.OCC(O)CO,VDBLFKODSKYWQX-NWVPAHFOSA-N,"InChI=1S/C12H22O11.C3H8O3/c13-1-5(17)9(19)11(21)7(3-15)23-8(4-16)12(22)10(20)6(18)2-14;4-1-3(6)2-5/h3-14,17-22H,1-2H2;3-6H,1-2H2/t5-,6-,7+,8+,9-,10-,11-,12-;/m1./s1
",8,105.0703944,7.972600454,,,,0.38220055,30.1061302,9.933542485,,OC(CO)C(O)C(O)C(C=O)OC(C=O)C(O)C(O)C(O)CO,SLXLBNNEMBRKON-UHFFFAOYSA-N,InChI=1S/C12H22O11/c13-1-5(17)9(19)11(21)7(3-15)23-8(4-16)12(22)10(20)6(18)2-14/h3-1417-22H1-2H2,OC(CO)CO,2122.0,-3.616400456213268,,
41,100-40-3,DTXSID3021437,4-Vinylcyclohexene,C=CC1CC=CCC1,BBDKZWKEPDTENS-UHFFFAOYSA-N,"InChI=1/C8H12/c1-2-8-6-4-3-5-7-8/h2-4,8H,1,5-7H2
",22,46.11457264,7.972600454,,,,0.503234478,13.2133446,9.933542485,,C=CC1CC=CCC1,BBDKZWKEPDTENS-UHFFFAOYSA-N,InChI=1S/C8H12/c1-2-8-6-4-3-5-7-8/h2-48H15-7H2,,0.0,-3.370324846793898,,
42,100-41-4,DTXSID3020596,Ethylbenzene,CCc1ccccc1,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,"InChI=1S/C8H10/c1-2-8-6-4-3-5-7-8/h3-7H,2H2,1H3
",15,30.59098543,7.972600454,0.1,30.53672514,13.17955748,0.333830234,8.765325337,9.933542485,,CCC1C=CC=CC=1,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,InChI=1S/C8H10/c1-2-8-6-4-3-5-7-8/h3-7H2H21H3,,0.0,-3.540400168990391,,
44,100-42-5,DTXSID2021284,Styrene,C=Cc1ccccc1,PPBRXRYQALVLMV-UHFFFAOYSA-N,"InChI=1S/C8H8/c1-2-8-6-4-3-5-7-8/h2-7H,1H2
",41,64.38069461,7.972600454,0.2,155.9363,12.76293666,0.702567179,18.44719043,9.933542485,,C=CC1C=CC=CC=1,PPBRXRYQALVLMV-UHFFFAOYSA-N,InChI=1S/C8H8/c1-2-8-6-4-3-5-7-8/h2-7H1H2,,0.0,-3.208911955968971,,
45,10042-59-8,DTXSID9029302,2-Propyl-1-heptanol,CCCCCC(CO)CCC,YLQLIQIAXYRMDL-UHFFFAOYSA-N,"InChI=1/C10H22O/c1-3-5-6-8-10(9-11)7-4-2/h10-11H,3-9H2,1-2H3
",5,17.67009045,7.972600454,,,,0.06427613,5.063063168,9.933542485,,CCCC(CO)CCCCC,YLQLIQIAXYRMDL-UHFFFAOYSA-N,InChI=1S/C10H22O/c1-3-5-6-8-10(9-11)7-4-2/h10-11H3-9H21-2H3,,0.0,-3.9522009879736593,,
52,100-44-7,DTXSID0020153,Benzyl chloride,ClCc1ccccc1,KCXMKQUNVWSEMD-UHFFFAOYSA-N,"InChI=1S/C7H7Cl/c8-6-7-4-2-1-3-5-7/h1-5H,6H2
",8,0.829159721,7.972600454,0.002,0.670906423,18.24823993,0.003016124,0.237581582,9.933542485,,ClCC1C=CC=CC=1,KCXMKQUNVWSEMD-UHFFFAOYSA-N,InChI=1S/C7H7Cl/c8-6-7-4-2-1-3-5-7/h1-5H6H2,,0.0,-5.183747480044158,,
54,100-47-0,DTXSID7021491,Benzonitrile,N#Cc1ccccc1,JFDZBHWFFUWGJE-UHFFFAOYSA-N,"InChI=1S/C7H5N/c8-6-7-4-2-1-3-5-7/h1-5H
",7,8.027998896,7.972600454,,,,0.02920238,2.300286217,9.933542485,,N#CC1C=CC=CC=1,JFDZBHWFFUWGJE-UHFFFAOYSA-N,InChI=1S/C7H5N/c8-6-7-4-2-1-3-5-7/h1-5H,,0.0,-4.108752446105294,,
58,100-51-6,DTXSID5020152,Benzyl alcohol,OCc1ccccc1,WVDDGKGOMKODPV-UHFFFAOYSA-N,"InChI=1S/C7H8O/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2
",32,62.35919153,7.972600454,0.1,30.72425881,12.63749541,0.680507123,17.86796319,9.933542485,,OCC1C=CC=CC=1,WVDDGKGOMKODPV-UHFFFAOYSA-N,InChI=1S/C7H8O/c8-6-7-4-2-1-3-5-7/h1-58H6H2,,0.0,-3.239085889196436,,
59,100-52-7,DTXSID8039241,Benzaldehyde,O=Cc1ccccc1,HUMNYLRZRPPJDN-UHFFFAOYSA-N,"InChI=1S/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H
",36,72.48598173,7.972600454,0.1,41.30053727,13.27441327,0.791017743,20.76962227,9.933542485,,O=CC1C=CC=CC=1,HUMNYLRZRPPJDN-UHFFFAOYSA-N,InChI=1S/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H,,0.0,-3.165559585693414,,
62,100-54-9,DTXSID1026665,3-Pyridinecarbonitrile,N#Cc1cccnc1,GZPHSAQLYPIAIN-UHFFFAOYSA-N,"InChI=1S/C6H4N2/c7-4-6-2-1-3-8-5-6/h1-3,5H
",5,1.097877846,7.972600454,,,,0.003993604,0.314578179,9.933542485,,N#CC1C=NC=CC=1,GZPHSAQLYPIAIN-UHFFFAOYSA-N,InChI=1S/C6H4N2/c7-4-6-2-1-3-8-5-6/h1-35H,,0.0,-4.976946767817919,,
64,100-61-8,DTXSID9021841,N-Methylaniline,CNc1ccccc1,AFBPFSWMIHJQDM-UHFFFAOYSA-N,"InChI=1S/C7H9N/c1-8-7-5-3-2-4-6-7/h2-6,8H,1H3
",7,1.245995834,7.972600454,0.002,1.048291285,12.45419475,0.004532393,0.357018864,9.933542485,,CNC1C=CC=CC=1,AFBPFSWMIHJQDM-UHFFFAOYSA-N,InChI=1S/C7H9N/c1-8-7-5-3-2-4-6-7/h2-68H1H3,,0.0,-4.934499903309247,,
65,100-64-1,DTXSID4021842,Cyclohexanone oxime,ON=C1CCCCC1,VEZUQRBDRNJBJY-UHFFFAOYSA-N,"InChI=1S/C6H11NO/c8-7-6-4-2-1-3-5-6/h8H,1-5H2
",22,1.07467771,7.972600454,,,,0.011727635,0.307930576,9.933542485,,ON=C1CCCCC1,VEZUQRBDRNJBJY-UHFFFAOYSA-N,InChI=1S/C6H11NO/c8-7-6-4-2-1-3-5-6/h8H1-5H2,,0.0,-5.022414697560688,,
73,100-69-6,DTXSID1026667,2-Vinylpyridine,C=Cc1ccccn1,KGIGUEBEKRSTEW-UHFFFAOYSA-N,"InChI=1S/C7H7N/c1-2-7-5-3-4-6-8-7/h2-6H,1H2
",16,4.077919208,7.972600454,,,,0.044501107,1.168458226,9.933542485,,C=CC1=CC=CC=N1,KGIGUEBEKRSTEW-UHFFFAOYSA-N,InChI=1S/C7H7N/c1-2-7-5-3-4-6-8-7/h2-6H1H2,,0.0,-4.411329355425512,,
74,1007-28-9,DTXSID0037495,Deisopropylatrazine,CCNc1nc(N)nc(Cl)n1,IVENSCMCQBJAKW-UHFFFAOYSA-N,"InChI=1S/C5H8ClN5/c1-2-8-5-10-3(6)9-4(7)11-5/h2H2,1H3,(H3,7,8,9,10,11)
",4,5.14117269,7.972600454,,,,0.018701358,1.473115384,9.933542485,,CCNC1N=C(N)N=C(Cl)N=1,IVENSCMCQBJAKW-UHFFFAOYSA-N,InChI=1S/C5H8ClN5/c1-2-8-5-10-3(6)9-4(7)11-5/h2H21H3(H37891011),,0.0,-4.528505040466164,,
76,100784-20-1,DTXSID9034650,Halosulfuron-methyl,COC(=O)c1c(Cl)nn(C)c1S(=O)(=O)NC(=O)Nc1nc(OC)cc(OC)n1,FMGZEUWROYGLAY-UHFFFAOYSA-N,"InChI=1S/C13H15ClN6O7S/c1-20-10(8(9(14)18-20)11(21)27-4)28(23,24)19-13(22)17-12-15-6(25-2)5-7(16-12)26-3/h5H,1-4H3,(H2,15,16,17,19,22)
",14,21.5996309,7.972600454,0.1,7.161831889,12.28335288,0.235710283,6.189005987,9.933542485,,COC1=CC(=NC(NC(=O)NS(=O)(=O)C2=C(C(Cl)=NN2C)C(=O)OC)=N1)OC,FMGZEUWROYGLAY-UHFFFAOYSA-N,InChI=1S/C13H15ClN6O7S/c1-20-10(8(9(14)18-20)11(21)27-4)28(2324)19-13(22)17-12-15-6(25-2)5-7(16-12)26-3/h5H1-4H3(H21516171922),,0.0,-4.303861184235002,,
81,100-97-0,DTXSID6020692,Methenamine,C1N2CN3CN1CN(C2)C3,VKYKSIONXSXAKP-UHFFFAOYSA-N,"InChI=1S/C6H12N4/c1-7-2-9-4-8(1)5-10(3-7)6-9/h1-6H2
",9,126.3173735,7.972600454,,,,0.45948785,36.19408982,9.933542485,,C1N2CN3CN1CN(C2)C3,VKYKSIONXSXAKP-UHFFFAOYSA-N,InChI=1S/C6H12N4/c1-7-2-9-4-8(1)5-10(3-7)6-9/h1-6H2,,0.0,-3.045253948876065,,
94,101-05-3,DTXSID9020089,Anilazine,Clc1nc(Cl)nc(Nc2ccccc2Cl)n1,IMHBYKMAHXWHRP-UHFFFAOYSA-N,"InChI=1S/C9H5Cl3N4/c10-5-3-1-2-4-6(5)13-9-15-7(11)14-8(12)16-9/h1-4H,(H,13,14,15,16)
",8,15.25794319,7.972600454,,,,0.055501783,4.371903493,9.933542485,,ClC1=CC=CC=C1NC1N=C(Cl)N=C(Cl)N=1,IMHBYKMAHXWHRP-UHFFFAOYSA-N,InChI=1S/C9H5Cl3N4/c10-5-3-1-2-4-6(5)13-9-15-7(11)14-8(12)16-9/h1-4H(H13141516),,0.0,-4.2566665937521595,,
100,101-14-4,DTXSID5020865,"4,4'-Methylenebis(2-chloroaniline)",Nc1ccc(Cc2ccc(N)c(Cl)c2)cc1Cl,IBOFVQJTBBUKMU-UHFFFAOYSA-N,"InChI=1S/C13H12Cl2N2/c14-10-6-8(1-3-12(10)16)5-9-2-4-13(17)11(15)7-9/h1-4,6-7H,5,16-17H2
",7,2.486328443,7.972600454,0.0025,2.107576555,17.5880296,0.009044185,0.712415027,9.933542485,,NC1=CC=C(CC2C=C(Cl)C(N)=CC=2)C=C1Cl,IBOFVQJTBBUKMU-UHFFFAOYSA-N,InChI=1S/C13H12Cl2N2/c14-10-6-8(1-3-12(10)16)5-9-2-4-13(17)11(15)7-9/h1-46-7H516-17H2,,0.0,-5.031211310968855,,
103,101200-48-0,DTXSID8024101,Tribenuron-methyl,COC(=O)c1ccccc1S(=O)(=O)NC(=O)N(C)c1nc(C)nc(OC)n1,VLCQZHSMCYCDJL-UHFFFAOYSA-N,"InChI=1S/C15H17N5O6S/c1-9-16-13(18-14(17-9)26-4)20(2)15(22)19-27(23,24)11-8-6-5-7-10(11)12(21)25-3/h5-8H,1-4H3,(H,19,22)
",19,1.424165511,7.972600454,0.008,0.465469856,12.28335288,0.01554149,0.408070347,9.933542485,,CC1N=C(N=C(N=1)N(C)C(=O)NS(=O)(=O)C1=CC=CC=C1C(=O)OC)OC,VLCQZHSMCYCDJL-UHFFFAOYSA-N,InChI=1S/C15H17N5O6S/c1-9-16-13(18-14(17-9)26-4)20(2)15(22)19-27(2324)11-8-6-5-7-10(11)12(21)25-3/h5-8H1-4H3(H1922),,0.0,-5.44347290560627,,
