ID,MW,POD_logmol,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
1,157.55599999999998,-6.296111767834376,10.074697656840513,-0.46197530864197534,10.074697656840513,0.05962962962963014,0.46360210314198946,157.55599999999998,153.524,156.993056048,52,0,0.2690274269930105,-0.25830962693941417,0.2690274269930105,0.25830962693941417,1.3,1.8,2.2,35.49569083440166,10.315524311720976,2.008247122283903,-1.8818525938690913,2.140819530584129,-1.8488319833692888,6.30125464847925,-0.3844369741515199,3.003400684579818,244.4296583765568,7.560477932315068,4.951075726195415,5.70700467221387,4.698377302757663,2.599104610970622,2.9770690839798495,1.7335265650682026,2.169962345540187,1.0374447129740378,1.2894210283135228,0.5628070028158878,0.6887951604856302,-1.09,180.91251467537336,7.022233445566778,2.6626191750189108,1.4481065722834785,62.387645068878435,0.0,0.0,0.0,0.0,5.687386274683562,0.0,10.114318268765572,0.0,0.0,0.0,11.600939890232516,12.13273413692322,17.155367450664546,4.923311048817671,4.923311048817671,17.28832616491608,0.0,0.0,0.0,0.0,0.0,39.40241985635334,0.0,0.0,0.0,5.687386274683562,0.0,11.600939890232516,4.923311048817671,0.0,10.114318268765572,0.0,24.26546827384644,5.022633313741326,0.0,0.0,43.14,4.923311048817671,10.114318268765572,0.0,5.687386274683562,5.022633313741326,0.0,24.26546827384644,0.0,0.0,0.0,11.600939890232516,0.0,5.493752834467119,9.612722348198538,10.579882842025699,0.05962962962963014,0.0,5.698456790123457,0.0,0.0,0.0,0.0,10,0,3,0,0,0,1,0,1,2,0,4,1,0,0,0,1,2.2481999999999998,38.106400000000015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,158.35500000000002,-4.561043726609936,4.930555555555555,-1.6249999999999996,4.930555555555555,1.6249999999999996,0.5061494125123165,158.35500000000002,158.35500000000002,156.84706554,27,0,,,,,1.0,1.0,1.0,,,,,,,,,2.3237900077244498,8.0,3.5773502691896257,1.5421417094915446,5.084931080143392,1.7320508075688772,0.4629100498862757,5.725881092523167,0.1749635530559413,6.492538888947051,0.0,0.0,0.0,0.0,1.4024675324675324,3.2451124978365313,5.402467532467533,2.6296128759879904,9.984433117812854,41.65084248230029,0.0,0.0,0.0,0.0,0.0,41.53173657590909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.384364732305446,30.14737184360365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.14737184360365,0.0,11.384364732305446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.384364732305446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.14737184360365,0.0,-1.6249999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.791666666666666,0.0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2.066,17.558999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,214.42200000000003,-4.883504762191658,5.013888888888888,-3.1111111111111107,5.013888888888888,3.1111111111111107,0.5432163281820226,214.42200000000003,214.42200000000003,213.79658852,32,0,,,,,0.8,0.8,0.8,,,,,,,,,3.0237157840738176,19.11941547876375,4.5,2.011857892036909,7.133649887464042,2.0,0.7559289460184544,11.783766072743589,0.42857142857142844,20.042302201868438,0.0,0.0,0.0,0.0,1.7028571428571428,3.6096404744368114,6.702857142857144,2.1257509342967085,26.965593055653862,49.44072503897429,0.0,0.0,0.0,0.0,0.0,49.587298999245334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.587298999245334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.038437247300784,9.548861751944557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.548861751944557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.038437247300784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.944444444444443,0.0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2.3772,29.166000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,211.628,-3.866022132776191,8.25,-1.75,8.25,0.0,0.29087099455278187,211.628,211.628,211.88124782,48,0,2.0,-0.3562938630350668,2.0,0.3562938630350668,0.7777777777777778,0.7777777777777778,0.7777777777777778,,,,,,,,,-7.199999951999999e-08,69.05865002596163,7.154700538379252,4.0510237149696415,7.527217066453472,3.4641016151377544,1.0954451150103324,1.0954451150103324,0.447213595499958,0.447213595499958,0.0,0.0,0.0,0.0,-0.11948051948051952,19.96089998269225,15.948383825186031,10.788620546208895,19089.389026096756,85.57063180010196,30.643142587085727,0.0,0.0,0.0,0.0,45.48164642322629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.173238085865085,10.173238085865085,45.48164642322629,0.0,0.0,0.0,0.0,0.0,30.643142587085727,0.0,0.0,0.0,0.0,0.0,0.0,55.654884509091374,0.0,30.643142587085727,0.0,0.0,0.0,0.0,0.0,132.4,10.173238085865085,0.0,0.0,45.48164642322629,0.0,0.0,0.0,0.0,0.0,0.0,30.643142587085727,0.0,0.0,16.5,29.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,8,0,0,0,0,0,0,6,0,9,0,0,0,0,0,-0.8590000000000002,26.476800000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,342.153,-4.142265148030391,8.520833333333334,-5.166666666666666,8.520833333333334,0.0,0.2285631982883775,342.153,342.153,341.8182657,96,0,3.0,-0.7587686166726576,3.0,0.7587686166726576,0.4117647058823529,0.4117647058823529,0.4117647058823529,,,,,,,,,-3.9999999862500004e-08,340.6558969276571,13.5,7.278424895337198,12.037315714878877,6.0,2.0000000000000004,6.0,1.2247448713915896,3.6742346141747677,0.0,0.0,0.0,0.0,0.6749350649350645,175.62528553949153,30.59106829140436,11.747824537225076,7883.018476981211,118.02861811934876,27.316499242142182,0.0,0.0,0.0,0.0,34.72213023921508,25.253390952986813,0.0,0.0,0.0,0.0,0.0,31.197001744948818,0.0,52.56989019512899,65.9191319841639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.29202043434408,31.197001744948818,0.0,0.0,0.0,0.0,0.0,0.0,240.78,31.197001744948818,0.0,0.0,34.72213023921508,0.0,0.0,0.0,0.0,0.0,0.0,52.56989019512899,102.24999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.499999999999998,0.0,17,0,12,0,0,0,0,0,0,12,0,17,0,0,0,0,0,-4.775599999999999,42.931799999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,61.83300000000001,-3.6780266979631526,7.166666666666667,-2.166666666666667,7.166666666666667,2.166666666666667,0.2827937198183339,61.83300000000001,58.809000000000005,62.017524355999996,24,0,0.6306456328238041,-0.4018195480003625,0.6306456328238041,0.4018195480003625,1.0,1.0,1.0,16.526024042221827,10.286975957778173,1.9224727044657277,-1.6916466196422875,1.3986316102504237,-2.066731610250423,6.301841036939477,0.27795896306053164,2.3237900077244498,8.0,3.5773502691896257,1.9189910556894996,1.9189910556894996,1.7320508075688772,0.7745966692414834,0.7745966692414834,0.34641016151377546,0.34641016151377546,0.0,0.0,0.0,0.0,-0.05506493506493516,3.2451124978365313,3.944935064935065,1.2845011259687569,572.7416598780339,23.684517280895907,15.07206772519801,0.0,0.0,0.0,0.0,7.3212123586851945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.07206772519801,7.3212123586851945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.3932800838832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.69,7.3212123586851945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.07206772519801,0.0,0.0,0.0,21.5,0.0,0.0,0.0,0.0,0.0,-2.166666666666667,0.0,4,3,3,0,0,0,0,0,0,3,3,4,0,0,0,0,0,-2.0518,12.4104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,258.20599999999996,-4.001552554669258,8.520833333333334,-5.166666666666666,8.520833333333334,0.0,0.2353773136071944,258.20599999999996,258.20599999999996,257.84870427000004,64,0,3.0,-0.7587686166726576,3.0,0.7587686166726576,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,,,,,,,-4.5714285444897964e-08,213.432985745165,9.0,5.659833173828257,11.57063249968062,4.0,1.3333333333333337,4.0,0.8164965809277266,2.4494897427831783,0.0,0.0,0.0,0.0,1.9088311688311683,28.09640474436812,23.60584872128912,9.463328727727166,388.9471051026284,122.43996503090077,18.210999494761456,0.0,0.0,0.0,0.0,68.74560002589418,16.835593968657875,0.0,0.0,0.0,0.0,0.0,20.79800116329921,0.0,86.43112836970596,38.15906628290675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.38453490628663,0.0,0.0,0.0,52.40765858302687,20.79800116329921,0.0,0.0,0.0,0.0,0.0,0.0,160.52,20.79800116329921,0.0,0.0,68.74560002589418,0.0,0.0,0.0,0.0,0.0,0.0,35.04659346341933,68.16666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.333333333333332,0.0,12,0,8,0,0,0,0,0,0,8,0,12,0,0,0,0,0,-6.0527999999999995,26.703200000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,67.45100000000001,-5.42836069236414,8.23611111111111,-0.41666666666666696,8.23611111111111,0.41666666666666696,0.3469621050201223,67.45100000000001,67.45100000000001,66.95868192,19,1,0.3709512832535501,-0.5034070980584352,0.5034070980584352,0.3709512832535501,2.0,2.0,2.0,35.55527419874927,15.89772580125069,1.5581297998514798,-1.3983053193190793,1.1871895899544405,-1.9205218340006533,1.6480411697543103,-1.284811579549877,1.6329931618554523,2.7548875021634682,2.7071067811865475,1.1944610539369533,1.950389999955408,1.4142135623730951,0.3086066999241838,0.9258200997725516,0.06299407883487121,0.18898223650461368,0.0,0.0,0.0,0.0,0.20999999999999996,2.7548875021634682,3.21,2.2099999999999995,2.21,21.766736600821368,4.658994417457967,4.658994417457967,0.0,0.0,0.0,11.325086729566255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.64307556448219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.658994417457967,0.0,0.0,0.0,0.0,4.658994417457967,11.325086729566255,0.0,0.0,0.0,0.0,0.0,42.959999999999994,11.325086729566255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.317988834915933,16.47222222222222,-0.41666666666666696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,2,0,0,0,0,0,0,1,0,3,0,0,0,0,0,-1.3078,0.6865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,245.26500000000001,-6.267636940218394,5.027777777777777,-2.3055555555555554,5.027777777777777,2.3055555555555554,0.6126306887706819,245.26500000000001,245.26500000000001,243.81291134,24,1,,,,,1.0,1.0,1.0,,,,,,,,,2.3237900077244498,8.0,3.5773502691896257,1.7112436882173077,7.604853661389208,1.7320508075688772,0.6546536707079772,14.297851986524806,0.24743582965269675,16.212240273752343,0.0,0.0,0.0,0.0,2.064805194805195,3.2451124978365313,6.064805194805194,3.262246154829811,8.955448047350853,45.14174734649419,0.0,0.0,0.0,0.0,0.0,46.030243646663905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.65864777784853,20.37159586881537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.37159586881537,0.0,0.0,25.65864777784853,0.0,0.0,0.0,0.0,0.0,0.0,25.65864777784853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.37159586881537,0.0,-2.3055555555555554,0.0,0.0,0.0,0.0,0.0,0.0,15.08333333333333,0.0,0.0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2.0685000000000002,17.558999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,246.91800000000003,-3.428446614025484,9.324652777777779,-5.675347222222223,9.324652777777779,0.0,0.40002288523039065,246.91800000000003,242.88600000000002,246.88434482800002,68,0,3.0,-0.789599439952275,3.0,0.789599439952275,0.9090909090909091,1.0909090909090908,1.0909090909090908,,,,,,,,,-3.1999997430000204e-07,156.87959510731497,7.707106781186548,5.1301296972561845,8.09940705119475,3.7071067811865475,1.460593486680443,4.3817804600413295,0.9760768490926884,3.4181284958347025,0.2,1.8000000000000003,0.12247448713915894,1.1022703842524306,0.7394805194805194,27.435741083179973,17.727365186634383,5.396525527957578,18.059331382672653,72.49538113684142,39.164920700814186,0.0,0.0,0.0,0.0,17.068678152405656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.645394246264342,50.08305250290181,15.645394246264342,0.0,6.150546350318038,0.0,0.0,0.0,0.0,0.0,0.0,25.724192761327938,0.0,0.0,15.645394246264342,0.0,30.5094060918919,0.0,0.0,0.0,0.0,0.0,0.0,172.11,15.645394246264342,28.703742980872562,0.0,23.219224502723694,0.0,0.0,0.0,0.0,0.0,4.310631369623587,0.0,21.163194444444446,0.0,37.298611111111114,0.0,0.0,0.0,0.0,0.0,0.0,-11.350694444444446,0.0,11,4,8,0,0,0,0,0,0,7,1,11,2,0,0,0,0,-2.9659000000000004,22.282800000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
