ID,MW,POD_logmol,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
1,157.55599999999998,-6.296111767834376,10.074697656840513,-0.46197530864197534,10.074697656840513,0.05962962962963014,0.46360210314198946,157.55599999999998,153.524,156.993056048,52,0,0.2690274269930105,-0.25830962693941417,0.2690274269930105,0.25830962693941417,1.3,1.8,2.2,35.49569083440166,10.315524311720976,2.008247122283903,-1.8818525938690913,2.140819530584129,-1.8488319833692888,6.30125464847925,-0.3844369741515199,3.003400684579818,244.4296583765568,7.560477932315068,4.951075726195415,5.70700467221387,4.698377302757663,2.599104610970622,2.9770690839798495,1.7335265650682026,2.169962345540187,1.0374447129740378,1.2894210283135228,0.5628070028158878,0.6887951604856302,-1.09,180.91251467537336,7.022233445566778,2.6626191750189108,1.4481065722834785,62.387645068878435,0.0,0.0,0.0,0.0,5.687386274683562,0.0,10.114318268765572,0.0,0.0,0.0,11.600939890232516,12.13273413692322,17.155367450664546,4.923311048817671,4.923311048817671,17.28832616491608,0.0,0.0,0.0,0.0,0.0,39.40241985635334,0.0,0.0,0.0,5.687386274683562,0.0,11.600939890232516,4.923311048817671,0.0,10.114318268765572,0.0,24.26546827384644,5.022633313741326,0.0,0.0,43.14,4.923311048817671,10.114318268765572,0.0,5.687386274683562,5.022633313741326,0.0,24.26546827384644,0.0,0.0,0.0,11.600939890232516,0.0,5.493752834467119,9.612722348198538,10.579882842025699,0.05962962962963014,0.0,5.698456790123457,0.0,0.0,0.0,0.0,10,0,3,0,0,0,1,0,1,2,0,4,1,0,0,0,1,2.2481999999999998,38.106400000000015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,138.126,-5.372009695036709,10.07696523053666,-0.4588888888888887,10.07696523053666,0.0640740740740744,0.35954360900709126,138.126,132.07799999999997,138.042927432,52,0,0.26907480043028903,-0.3987220829005813,0.3987220829005813,0.26907480043028903,1.3,1.8,2.2,16.628204386554128,10.279066550352804,2.0041015299906,-1.8983342370548406,2.114665256275505,-1.8802511178881562,5.438024287474792,-0.3844283194796119,3.003400684579817,242.4296583765568,7.560477932315068,5.150461522375814,5.150461522375814,4.698377302757663,2.6987975090608214,2.6987975090608214,1.8486420081655432,1.8486420081655432,1.1039066450341706,1.1039066450341706,0.5960379688459543,0.5960379688459543,-1.58,180.91251467537336,6.538764845605701,2.344994095834573,1.2226169416633605,57.42426953900948,5.733667477162185,0.0,0.0,0.0,5.687386274683562,0.0,10.114318268765572,0.0,0.0,0.0,0.0,12.13273413692322,17.820120411606784,4.923311048817671,4.923311048817671,11.374772549367124,0.0,0.0,0.0,0.0,5.733667477162185,34.37978654261202,0.0,0.0,5.733667477162185,11.374772549367124,0.0,0.0,4.923311048817671,0.0,10.114318268765572,0.0,24.26546827384644,0.0,0.0,0.0,69.16,4.923311048817671,10.114318268765572,0.0,5.687386274683562,5.687386274683562,0.0,24.26546827384644,0.0,0.0,0.0,5.733667477162185,0.0,0.0,9.618076341647772,10.07696523053666,5.901254724111868,0.0,5.737037037037037,0.0,0.0,0.0,0.0,10,2,4,0,0,0,1,0,1,3,1,4,1,0,0,0,1,1.177,37.508800000000015,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,972.8460000000011,-2.51604152968017,11.216799185204962,-2.148030234508729,11.216799185204962,0.9988708684690506,0.11748936025538878,972.8460000000011,912.3660000000002,972.3169405200002,384,0,0.18673275214983254,-0.3935663177635201,0.3935663177635201,0.18673275214983254,0.18181818181818182,0.30303030303030304,0.4090909090909091,16.790960609321882,9.944937346060053,2.583123689405917,-2.503421965386016,2.376523115690531,-2.687345860931552,5.0054912565061205,-0.40363190625941897,1.1902543703171793,1233.4857443469036,48.048430137046594,34.51197296737365,34.51197296737365,31.418292631310674,21.102097265342508,21.102097265342508,16.844295392204543,16.844295392204543,12.671478720786514,12.671478720786514,8.927761457006977,8.927761457006977,-1.2000000000000004,182802553581384.47,52.6198793450158,22.059591241285467,10.009092001682587,372.1301572506171,148.7598485527333,146.49519330595925,37.740160376011275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.641291787077506,148.7598485527333,0.0,0.0,0.0,0.0,184.2353536819705,39.641291787077506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.7941385761807,56.84235544560059,0.0,0.0,0.0,0.0,0.0,0.0,474.9000000000001,223.87664546904801,91.91749310713271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.84235544560059,67.85940288344777,0.0,0.0,195.61305627129158,0.0,0.0,0.0,-58.47923394392509,-5.993225210814307,0.0,1.0,66,18,30,0,22,22,0,0,0,30,18,30,6,0,22,22,22,-13.054800000000023,195.80039999999966,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,162.27599999999998,-4.167436903279334,2.236111111111111,0.6446409674981102,2.236111111111111,0.6446409674981102,0.6177029195197432,162.27599999999998,144.13199999999998,162.140850576,66,0,-0.02188204747651175,-0.058682261490242645,0.058682261490242645,0.02188204747651175,0.6666666666666666,0.9166666666666666,1.0833333333333333,14.05676277101852,9.974259200014421,2.0015890605467397,-2.0811454055755667,2.184498669992676,-1.8983337926768848,5.258147395472483,0.8446379695486651,2.855624622160824,201.72015243201014,9.137828201504695,8.464101615137755,8.464101615137755,5.6090609052806215,4.7081185509940475,4.7081185509940475,3.97606774342517,3.97606774342517,2.269800358919502,2.269800358919502,1.2658116494903635,1.2658116494903635,-0.78,473.955341085275,9.309126559714795,3.7504504585397527,2.1009139360681814,75.62105580587661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.960417072608934,22.96271507571678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.53076089108528,0.0,35.392371257240434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.65766387447927,24.26546827384644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.835812092322787,0.0,11.126902983393991,0.0,0.0,51.960417072608934,0.0,0.0,0.0,0.0,0.0,2.8600000000000003,1.2892819349962203,8.944444444444445,0.0,8.906273620559334,0.0,0.5,12,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,1,3.9334000000000033,54.62000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,166.132,-3.3778369042209597,10.334653722600152,-1.063019652305367,10.334653722600152,0.0833333333333337,0.6889088084368351,166.132,160.08399999999997,166.026608672,62,0,0.3351790279638539,-0.477639246419649,0.477639246419649,0.3351790279638539,0.8333333333333334,1.0833333333333333,1.25,16.36879467491644,10.136347186392916,2.042724158935844,-1.942097043375559,2.0322507208862897,-1.9899559817280956,5.9105819115685,0.06809433674573348,3.006149833729547,279.3346746591642,9.137828201504695,6.020324848686146,6.020324848686146,5.6090609052806215,3.17682909100974,3.17682909100974,2.1876553980065925,2.1876553980065925,1.378801329602428,1.378801329602428,0.7553818294955936,0.7553818294955936,-1.8399999999999999,473.955341085275,8.258425196850395,3.0419304797471987,1.6018929516714049,68.07279905276974,10.213054789681411,0.0,0.0,0.0,0.0,11.938610575903699,0.0,9.589074368143644,0.0,0.0,0.0,24.26546827384644,0.0,11.126902983393991,19.802129157825057,11.938610575903699,0.0,0.0,0.0,0.0,0.0,35.392371257240434,0.0,0.0,0.0,0.0,0.0,0.0,22.15166536558511,0.0,0.0,20.715977351537635,24.26546827384644,0.0,0.0,0.0,74.6,11.938610575903699,9.589074368143644,0.0,11.126902983393991,0.0,0.0,24.26546827384644,0.0,0.0,0.0,10.213054789681411,0.0,0.0,20.669307445200303,16.933768896447468,0.1666666666666674,-2.1260393046107335,5.022962962962962,0.0,0.0,0.0,0.0,12,2,4,0,0,0,1,0,1,2,2,4,2,0,0,0,1,1.083,40.360600000000005,0,0,0,0,2,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,168.108,-6.10596631445675,10.117781557067271,-0.6074149659863943,10.117781557067271,0.15222222222222181,0.4941192629438992,168.108,164.076,168.017106608,62,0,0.269429190579248,-0.258309581839723,0.269429190579248,0.258309581839723,0.8333333333333334,1.0833333333333333,1.25,16.632160519979905,10.27531632087949,2.0831178018575534,-1.8958176210244504,2.159730686926147,-1.89560435064913,5.391943574783272,-0.38871649815996184,3.006149833729547,285.8248996548373,9.137828201504695,5.836821429613872,5.836821429613872,5.6090609052806215,2.9988775438860986,2.9988775438860986,2.0306173496644195,2.0306173496644195,1.2713462644821734,1.2713462644821734,0.6960646471210465,0.6960646471210465,-1.98,473.955341085275,8.119800399201598,2.9516118607817234,1.5400100997348818,66.73735456449656,0.0,0.0,0.0,0.0,11.374772549367124,0.0,20.228636537531145,0.0,0.0,0.0,0.0,0.0,24.26546827384644,9.846622097635342,9.846622097635342,11.374772549367124,0.0,0.0,0.0,0.0,0.0,44.49410481137758,0.0,0.0,0.0,11.374772549367124,0.0,0.0,9.846622097635342,0.0,20.228636537531145,0.0,24.26546827384644,0.0,0.0,0.0,86.28,9.846622097635342,20.228636537531145,0.0,11.374772549367124,0.0,24.26546827384644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.020733182161756,20.235563114134543,-0.30444444444444363,0.0,4.381481481481481,0.0,0.0,0.0,0.0,12,0,6,0,0,0,1,0,1,4,0,6,2,0,0,0,1,1.503,39.75080000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,158.35500000000002,-4.561043726609936,4.930555555555555,-1.6249999999999996,4.930555555555555,1.6249999999999996,0.5061494125123165,158.35500000000002,158.35500000000002,156.84706554,27,0,,,,,1.0,1.0,1.0,,,,,,,,,2.3237900077244498,8.0,3.5773502691896257,1.5421417094915446,5.084931080143392,1.7320508075688772,0.4629100498862757,5.725881092523167,0.1749635530559413,6.492538888947051,0.0,0.0,0.0,0.0,1.4024675324675324,3.2451124978365313,5.402467532467533,2.6296128759879904,9.984433117812854,41.65084248230029,0.0,0.0,0.0,0.0,0.0,41.53173657590909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.384364732305446,30.14737184360365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.14737184360365,0.0,11.384364732305446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.384364732305446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.14737184360365,0.0,-1.6249999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.791666666666666,0.0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2.066,17.558999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,214.42200000000003,-4.883504762191658,5.013888888888888,-3.1111111111111107,5.013888888888888,3.1111111111111107,0.5432163281820226,214.42200000000003,214.42200000000003,213.79658852,32,0,,,,,0.8,0.8,0.8,,,,,,,,,3.0237157840738176,19.11941547876375,4.5,2.011857892036909,7.133649887464042,2.0,0.7559289460184544,11.783766072743589,0.42857142857142844,20.042302201868438,0.0,0.0,0.0,0.0,1.7028571428571428,3.6096404744368114,6.702857142857144,2.1257509342967085,26.965593055653862,49.44072503897429,0.0,0.0,0.0,0.0,0.0,49.587298999245334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.587298999245334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.038437247300784,9.548861751944557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.548861751944557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.038437247300784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.944444444444443,0.0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2.3772,29.166000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,434.3910000000002,-3.616400456213268,10.90610717435122,-2.0516591343327457,10.90610717435122,0.031693042957923634,0.1134038960547257,434.3910000000002,404.1510000000002,434.16355563999986,174,0,0.15108262324404492,-0.3935933161206694,0.3935933161206694,0.15108262324404492,0.5517241379310345,0.8620689655172413,1.0344827586206897,16.53421391625068,10.015450404426943,2.373346237010073,-2.303755381193442,2.1297269890709343,-2.523958181948599,5.607211840472795,-0.18014920940783846,0.0,387.81761203747783,23.145899891012466,15.323374507723209,15.323374507723209,13.550078895157572,8.314772162401663,8.314772162401663,5.818665009861082,5.818665009861082,3.539608150276011,3.539608150276011,1.6852024650471342,1.6852024650471342,-1.1400000000000003,834277.6394721697,30.05633950195262,16.635196345624607,10.992656680393797,165.02743248666184,70.49773866519145,54.935697489734714,12.57232104625911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.427527858051672,70.49773866519145,12.57232104625911,0.0,0.0,0.0,54.935697489734714,26.427527858051672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.10734773729328,14.325937321943691,0.0,0.0,0.0,0.0,0.0,0.0,265.9,68.14946141876055,40.22823873718787,0.0,25.786084975284947,0.0,0.0,0.0,0.0,0.0,0.0,30.269499928003576,4.762496220710506,0.0,21.81221434870244,97.98806151079961,0.0,0.0,0.0,-16.482304634332053,-2.5804674458805046,0.0,0.8666666666666667,29,11,14,0,0,0,0,0,0,14,11,14,14,0,0,0,0,-7.38009999999999,91.1798,0,11,11,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,108.18399999999998,-3.370324846793898,3.7504629629629633,0.7638888888888888,3.7504629629629633,0.7638888888888888,0.45266171579956244,108.18399999999998,96.08799999999998,108.093900384,44,0,-0.01986527814080997,-0.10279210838857177,0.10279210838857177,0.01986527814080997,1.5,2.375,2.75,14.07807136254655,9.94897634623385,2.0231655753420688,-2.106643265694657,2.173134215706029,-1.9606783857332086,4.949173729791275,0.5848133079330564,2.3714157955008353,100.6059378176129,5.819990956308912,5.137828201504693,5.137828201504693,3.931851652578137,3.207908118985982,3.207908118985982,2.280238966157534,2.280238966157534,1.6429563388745072,1.6429563388745072,1.0310971652475587,1.0310971652475587,-0.52,91.36757727918736,5.613689839572192,2.706103595585618,1.2238266659545305,50.90880861070807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.578935683598497,18.228060320501644,25.18037091493942,0.0,0.0,0.0,0.0,0.0,0.0,5.917906046161393,19.26246486877803,0.0,24.80699600410014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.917906046161393,19.26246486877803,24.80699600410014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.917906046161393,19.26246486877803,0.0,0.0,24.80699600410014,0.0,0.0,0.0,0.0,0.0,0.0,0.7638888888888888,0.0,10.318981481481481,3.7504629629629633,0.0,0.5,8,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,2.5287000000000006,36.678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
