Superclass,my_class,total_count,measured_count,potent_frac,CASRN,PREFERRED_NAME,IUPAC_NAME,log POD (95% CI),uhat,dJ,training log POD,all reported log POD
Organometallic compounds,Organotin compounds,67,1,0.05970149253731343,['3542-36-7'],['Dichloro(dioctyl)stannane'],['Dichloro(dioctyl)stannane'],"-0.65 [-2.65, 2.17]",4.822979944914509,0.36,-1.24,-1.24
Organometallic compounds,Organotin compounds,67,1,0.05970149253731343,['2949-42-0'],"['Stannane, tetraisopropyl-']",['Tetra(propan-2-yl)stannane'],"-0.59 [-3.04, 2.07]",5.119243195123683,0.75,,
Organometallic compounds,Organotin compounds,67,1,0.05970149253731343,['2176-98-9'],"['Stannane, tetrapropyl-']",['Tetrapropylstannane'],"-0.51 [-3.01, 2.09]",5.099057465806165,0.69,,
Organometallic compounds,Organotin compounds,67,1,0.05970149253731343,['2767-41-1'],['Dihexyltin dichloride'],['Dichloro(dihexyl)stannane'],"-0.50 [-2.72, 2.20]",4.929020683313419,0.36,,
Organometallic compounds,Organotin compounds,67,1,0.05970149253731343,['38802-82-3'],['Diisopropyltin dichloride'],['Dichlorodi(propan-2-yl)stannane'],"-0.39 [-3.16, 1.89]",5.053018296830624,0.71,,
Organometallic compounds,Organotin compounds,67,1,0.05970149253731343,['1112-63-6'],"['Distannoxane, hexaethyl-']",['Hexaethyldistannoxane'],"-0.37 [-2.84, 2.37]",5.20579453283014,0.72,,
Organometallic compounds,Organotin compounds,67,1,0.05970149253731343,['7067-44-9'],"['Stannane, butyltricyclohexyl-']",['Butyl(tricyclohexyl)stannane'],"-0.36 [-2.88, 2.33]",5.2056232365049695,0.69,,
Organometallic compounds,Organotin compounds,67,1,0.05970149253731343,['19429-30-2'],['Di-tert-butyldichlorostannane'],['Di-tert-butyl(dichloro)stannane'],"-0.35 [-3.02, 2.00]",5.019948816094304,0.73,,
Organometallic compounds,Organotin compounds,67,1,0.05970149253731343,['1067-29-4'],['Bis(tripropyltin) oxide'],['Hexapropyldistannoxane'],"-0.35 [-2.67, 2.34]",5.005024527023332,0.67,,
Organometallic compounds,Organotin compounds,67,1,0.05970149253731343,['1449-55-4'],['Tetracyclohexylstannane'],['Tetracyclohexylstannane'],"-0.34 [-2.85, 2.38]",5.226840277387916,0.62,,
Organometallic compounds,Organotin compounds,67,1,0.05970149253731343,['1118-42-9'],['Dipentyltin dichloride'],['Dichloro(dipentyl)stannane'],"-0.31 [-2.72, 1.99]",4.707219520742996,0.42,,
Organometallic compounds,Organotin compounds,67,1,0.05970149253731343,['683-18-1'],['Dibutyltin dichloride'],['Dibutyl(dichloro)stannane'],"-0.31 [-2.86, 2.02]",4.870744904174813,0.5,,0.59
Organometallic compounds,Organotin compounds,67,1,0.05970149253731343,['867-36-7'],"['Stannane, dichlorodipropyl-']",['Dichloro(dipropyl)stannane'],"-0.29 [-2.84, 1.96]",4.797114577914292,0.63,,
Organometallic compounds,Organotin compounds,67,1,0.05970149253731343,['1461-25-2'],['Tetrabutyltin'],['Tetrabutylstannane'],"-0.27 [-2.94, 2.43]",5.370386912563019,0.54,,0.45
Organometallic compounds,Organotin compounds,67,1,0.05970149253731343,['4808-30-4'],['Bis(tributyltin) sulfide'],['Hexabutyldistannathiane'],"-0.27 [-2.66, 2.43]",5.093690424259158,0.62,,
Organometallic compounds,Organotin compounds,67,1,0.05970149253731343,['6208-26-0'],"['Distannoxane, hexakis(2-methylpropyl)-']",['Hexakis(2-methylpropyl)distannoxane'],"-0.22 [-2.61, 2.37]",4.983708091930655,0.73,,
Organometallic compounds,Organotin compounds,67,1,0.05970149253731343,['813-19-4'],['Hexabutyldistannane'],[nan],"-0.20 [-2.45, 2.66]",5.103238810942572,0.56,,
Organometallic compounds,Organotin compounds,67,1,0.05970149253731343,['25637-27-8'],"['Distannoxane, hexapentyl-']",['Hexapentyldistannoxane'],"-0.18 [-2.42, 2.65]",5.068286754819022,0.48,,
Organometallic compounds,Organotin compounds,67,1,0.05970149253731343,['19411-60-0'],"['Stannane, tributylethyl-']",['Tributyl(ethyl)stannane'],"-0.18 [-2.94, 2.21]",5.149613484380166,0.6,,
Organometallic compounds,Organotin compounds,67,1,0.05970149253731343,['22771-17-1'],"['Stannane, dicyclohexyloxo-']",['Dicyclohexylstannanone'],"-0.17 [-2.96, 2.05]",5.002807957892463,0.69,,
Organometallic compounds,Organotin compounds,67,1,0.05970149253731343,['7486-35-3'],['Ethynyltributylstannane'],['Tributyl(ethenyl)stannane'],"-0.14 [-2.95, 2.19]",5.140650689103236,0.56,,
Organometallic compounds,Organotin compounds,67,1,0.05970149253731343,['597-64-8'],['Tetraethyl tin'],['Tetraethylstannane'],"-0.14 [-3.10, 2.03]",5.135851842109661,0.75,,
Organometallic compounds,Organotin compounds,67,1,0.05970149253731343,['24850-33-7'],['Allyltributylstannane'],['Tributyl(prop-2-en-1-yl)stannane'],"-0.13 [-2.97, 2.26]",5.23210868386609,0.59,,
Organometallic compounds,Organotin compounds,67,1,0.05970149253731343,['3531-43-9'],"['Stannane, tetraisobutyl-']",['Tetrakis(2-methylpropyl)stannane'],"-0.13 [-2.97, 2.19]",5.1610431132666985,0.72,,
Organometallic compounds,Organotin compounds,67,1,0.05970149253731343,['40217-92-3'],['Hexahexyldistannane'],['Hexahexyldistannane'],"-0.12 [-2.39, 2.76]",5.148211039578063,0.43,,
