Superclass,my_class,total_count,measured_count,potent_frac,CASRN,PREFERRED_NAME,IUPAC_NAME,log POD (95% CI),uhat,dJ,training log POD,all reported log POD
Organometallic compounds,Organotin compounds,67,6,0.14925373134328357,['215186-99-5'],"['Tris(3,3,4,4,5,5,6,6,6-nonafluorohexyl)(prop-2-en-1-yl)stannane']","['Tris(3,3,4,4,5,5,6,6,6-nonafluorohexyl)(prop-2-en-1-yl)stannane']","-1.19 [-1.78, 1.50]",3.285221918519521,0.64,,
Organometallic compounds,Organotin compounds,67,6,0.14925373134328357,['192212-66-1'],"['Allyltris(3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl)stannane']","['(Prop-2-en-1-yl)tris(3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl)stannane']","-1.01 [-1.65, 1.68]",3.3215486162777723,0.61,,
Organometallic compounds,Organotin compounds,67,6,0.14925373134328357,['240497-26-1'],"['Tris(3,3,4,4,5,5,6,6,6-nonafluorohexyl)stannane']","['Tris(3,3,4,4,5,5,6,6,6-nonafluorohexyl)stannane']","-0.73 [-1.34, 2.00]",3.339445799687035,0.55,,
Organometallic compounds,Organotin compounds,67,6,0.14925373134328357,['3542-36-7'],['Dichloro(dioctyl)stannane'],['Dichloro(dioctyl)stannane'],"-0.61 [-1.47, 1.97]",3.4341505655656865,0.31,-0.71,-0.71
Organometallic compounds,Organotin compounds,67,6,0.14925373134328357,['1118-42-9'],['Dipentyltin dichloride'],['Dichloro(dipentyl)stannane'],"-0.52 [-1.46, 1.63]",3.0882917802781904,0.31,,
Organometallic compounds,Organotin compounds,67,6,0.14925373134328357,['175354-32-2'],['Tris((perfluorohexyl)ethyl)stannane'],"['Tris(3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl)stannane']","-0.48 [-1.16, 2.19]",3.355550845839179,0.51,,
Organometallic compounds,Organotin compounds,67,6,0.14925373134328357,['818-08-6'],"['Stannane, dibutyloxo-']",['Dibutylstannanone'],"-0.47 [-1.27, 1.95]",3.2112430618243017,0.45,-0.42,-0.42
Organometallic compounds,Organotin compounds,67,6,0.14925373134328357,['1449-55-4'],['Tetracyclohexylstannane'],['Tetracyclohexylstannane'],"-0.34 [-1.52, 1.97]",3.483474538050611,0.6,,
Organometallic compounds,Organotin compounds,67,6,0.14925373134328357,['5827-58-7'],"['Stannane, dichlorodidodecyl-']",['Dichloro(didodecyl)stannane'],"-0.31 [-1.24, 2.27]",3.5079551265239144,0.31,,
Organometallic compounds,Organotin compounds,67,6,0.14925373134328357,['1112-63-6'],"['Distannoxane, hexaethyl-']",['Hexaethyldistannoxane'],"-0.30 [-1.24, 1.95]",3.1880051644674623,0.72,,
