RMSE (train),RMSE (test),p,best_params
0.4899290582795078,0.8022435930807831,165,"OrderedDict([('batch_size', 32), ('dropout_rate', 0.5), ('hidden_layers', 1), ('nodes_per_layer', 416), ('optimizer__learning_rate', 0.0001), ('optimizer__weight_decay', 0.1)])"
0.5520831426474058,0.7854106038861621,165,"OrderedDict([('batch_size', 32), ('dropout_rate', 0.4994400028755053), ('hidden_layers', 1), ('nodes_per_layer', 416), ('optimizer__learning_rate', 0.008090365105946011), ('optimizer__weight_decay', 0.08270420648601805)])"
0.5023846690780704,0.8358270606237349,166,"OrderedDict([('batch_size', 32), ('dropout_rate', 0.49995561611679784), ('hidden_layers', 1), ('nodes_per_layer', 416), ('optimizer__learning_rate', 0.0026237956245177313), ('optimizer__weight_decay', 0.020486224479193817)])"
0.5330805398457189,0.8478969670463394,166,"OrderedDict([('batch_size', 64), ('dropout_rate', 0.5), ('hidden_layers', 1), ('nodes_per_layer', 416), ('optimizer__learning_rate', 0.0001), ('optimizer__weight_decay', 0.1)])"
0.521209803616085,0.7549337947637964,164,"OrderedDict([('batch_size', 32), ('dropout_rate', 0.45076693765338405), ('hidden_layers', 1), ('nodes_per_layer', 416), ('optimizer__learning_rate', 0.01), ('optimizer__weight_decay', 1e-05)])"
0.5869298079801883,0.8640159479545544,169,"OrderedDict([('batch_size', 32), ('dropout_rate', 0.4999052147555208), ('hidden_layers', 1), ('nodes_per_layer', 416), ('optimizer__learning_rate', 0.007970330286651263), ('optimizer__weight_decay', 2.2840708057940098e-05)])"
0.6430089266646032,0.8384454730833626,167,"OrderedDict([('batch_size', 32), ('dropout_rate', 0.4480863089293394), ('hidden_layers', 1), ('nodes_per_layer', 416), ('optimizer__learning_rate', 0.0007892182299890969), ('optimizer__weight_decay', 0.001481956299101327)])"
0.5245496704170978,0.7646832460277707,165,"OrderedDict([('batch_size', 64), ('dropout_rate', 0.4801772105914252), ('hidden_layers', 1), ('nodes_per_layer', 416), ('optimizer__learning_rate', 0.01), ('optimizer__weight_decay', 1e-05)])"
0.5919273911657854,0.7503956087103871,168,"OrderedDict([('batch_size', 64), ('dropout_rate', 0.4982769513128544), ('hidden_layers', 1), ('nodes_per_layer', 416), ('optimizer__learning_rate', 0.008089113026178932), ('optimizer__weight_decay', 0.09304957433028058)])"
0.5209781476040405,0.7887755395515742,168,"OrderedDict([('batch_size', 32), ('dropout_rate', 0.5), ('hidden_layers', 1), ('nodes_per_layer', 416), ('optimizer__learning_rate', 0.0001), ('optimizer__weight_decay', 0.04211196407656701)])"
