RMSE (train),RMSE (test),p,best_params
0.5441899529673135,0.823262025589988,165,"OrderedDict([('batch_size', 32), ('dropout_rate', 0.39936091367803866), ('hidden_layers', 3), ('nodes_per_layer', 104), ('optimizer__learning_rate', 0.0001), ('optimizer__weight_decay', 1e-05)])"
0.568960532142518,0.7334205211030019,165,"OrderedDict([('batch_size', 32), ('dropout_rate', 0.4289098978315708), ('hidden_layers', 3), ('nodes_per_layer', 104), ('optimizer__learning_rate', 0.0001), ('optimizer__weight_decay', 0.1)])"
0.5724066048036444,0.7888104375981737,166,"OrderedDict([('batch_size', 32), ('dropout_rate', 0.4000781578953262), ('hidden_layers', 3), ('nodes_per_layer', 104), ('optimizer__learning_rate', 0.0008893585082028544), ('optimizer__weight_decay', 0.1)])"
0.52185913848637,0.8414176437789009,166,"OrderedDict([('batch_size', 32), ('dropout_rate', 0.3362059254439841), ('hidden_layers', 3), ('nodes_per_layer', 104), ('optimizer__learning_rate', 0.0001), ('optimizer__weight_decay', 0.0009769384869665004)])"
0.49937662534267324,0.7465036845215457,164,"OrderedDict([('batch_size', 32), ('dropout_rate', 0.22381707688103503), ('hidden_layers', 3), ('nodes_per_layer', 104), ('optimizer__learning_rate', 0.0001), ('optimizer__weight_decay', 1e-05)])"
0.6122538156218796,0.8732455022833697,169,"OrderedDict([('batch_size', 32), ('dropout_rate', 0.3916331353364969), ('hidden_layers', 3), ('nodes_per_layer', 104), ('optimizer__learning_rate', 0.004323488525735528), ('optimizer__weight_decay', 0.005186666342877001)])"
0.6427854753962409,0.829318704325183,167,"OrderedDict([('batch_size', 32), ('dropout_rate', 0.3568889607774316), ('hidden_layers', 3), ('nodes_per_layer', 104), ('optimizer__learning_rate', 0.01), ('optimizer__weight_decay', 0.1)])"
0.5682590720707776,0.7520475181641505,165,"OrderedDict([('batch_size', 32), ('dropout_rate', 0.3916331353364969), ('hidden_layers', 3), ('nodes_per_layer', 104), ('optimizer__learning_rate', 0.004323488525735528), ('optimizer__weight_decay', 0.005186666342877001)])"
0.6006512426747634,0.7331118609550795,168,"OrderedDict([('batch_size', 32), ('dropout_rate', 0.4284426744246951), ('hidden_layers', 3), ('nodes_per_layer', 104), ('optimizer__learning_rate', 0.0001), ('optimizer__weight_decay', 0.1)])"
0.5443162224307995,0.8140255381668682,168,"OrderedDict([('batch_size', 32), ('dropout_rate', 0.38121413644668745), ('hidden_layers', 3), ('nodes_per_layer', 104), ('optimizer__learning_rate', 0.01), ('optimizer__weight_decay', 1e-05)])"
