RMSE (train),RMSE (test),p,best_params
0.506014521849837,0.8205502599834761,165,"OrderedDict([('batch_size', 32), ('dropout_rate', 0.39796758708426616), ('hidden_layers', 5), ('nodes_per_layer', 416), ('optimizer__learning_rate', 0.00011278852672406388), ('optimizer__weight_decay', 5.231155879393411e-05)])"
0.5137402677201252,0.7436438700237311,165,"OrderedDict([('batch_size', 32), ('dropout_rate', 0.49994833127338223), ('hidden_layers', 5), ('nodes_per_layer', 416), ('optimizer__learning_rate', 0.0003520166242268896), ('optimizer__weight_decay', 0.08775571552296585)])"
0.5618686872528863,0.80176208417004,166,"OrderedDict([('batch_size', 32), ('dropout_rate', 0.44595523081943955), ('hidden_layers', 5), ('nodes_per_layer', 416), ('optimizer__learning_rate', 0.004556960120619976), ('optimizer__weight_decay', 0.1)])"
0.5542834857266036,0.8537469280030039,166,"OrderedDict([('batch_size', 32), ('dropout_rate', 0.4894518292131808), ('hidden_layers', 5), ('nodes_per_layer', 416), ('optimizer__learning_rate', 0.00033500285795461457), ('optimizer__weight_decay', 4.478473220666506e-05)])"
0.5478997362279766,0.7820230851332399,164,"OrderedDict([('batch_size', 32), ('dropout_rate', 0.4894518292131808), ('hidden_layers', 5), ('nodes_per_layer', 416), ('optimizer__learning_rate', 0.00033500285795461457), ('optimizer__weight_decay', 4.478473220666506e-05)])"
0.5170136854859986,0.8346136398133684,169,"OrderedDict([('batch_size', 32), ('dropout_rate', 0.4994896931362943), ('hidden_layers', 5), ('nodes_per_layer', 416), ('optimizer__learning_rate', 0.008889761063404748), ('optimizer__weight_decay', 0.0006049218358416922)])"
0.5674112141367533,0.8548503300835609,167,"OrderedDict([('batch_size', 32), ('dropout_rate', 0.40671809944767273), ('hidden_layers', 5), ('nodes_per_layer', 416), ('optimizer__learning_rate', 0.01), ('optimizer__weight_decay', 0.1)])"
0.5896099314530329,0.8352317930448414,165,"OrderedDict([('batch_size', 32), ('dropout_rate', 0.32901460802877525), ('hidden_layers', 5), ('nodes_per_layer', 416), ('optimizer__learning_rate', 0.01), ('optimizer__weight_decay', 0.017012014350344617)])"
0.47930390207212303,0.6487367647825523,168,"OrderedDict([('batch_size', 32), ('dropout_rate', 0.3875139230839322), ('hidden_layers', 5), ('nodes_per_layer', 416), ('optimizer__learning_rate', 0.00010915738577989932), ('optimizer__weight_decay', 1.4351755584997636e-05)])"
0.5156336241629823,0.7834345696161705,168,"OrderedDict([('batch_size', 32), ('dropout_rate', 0.35683586426250535), ('hidden_layers', 5), ('nodes_per_layer', 416), ('optimizer__learning_rate', 0.0002503855520460184), ('optimizer__weight_decay', 0.005583557482439611)])"
