RMSE (train),RMSE (test),p,best_params
0.3313135013785544,0.6381091442564717,512,"OrderedDict([('C', 1.7914822263096812), ('epsilon', 0.10953741719340036), ('gamma', 0.011775544217433978)])"
0.34566723933403903,0.6768172610695459,512,"OrderedDict([('C', 1.8114762354860288), ('epsilon', 0.18107173360307935), ('gamma', 0.01183205365641652)])"
0.2963654498493609,0.6957087835949315,512,"OrderedDict([('C', 1.6820514118273924), ('epsilon', 0.1372921995572748), ('gamma', 0.015889337104938332)])"
0.18151823535346703,0.7362639803180295,512,"OrderedDict([('C', 3.7218234102827923), ('epsilon', 0.1557388647676294), ('gamma', 0.017580894375948668)])"
0.35462165325863865,0.6467015945527993,512,"OrderedDict([('C', 1.9330410119458221), ('epsilon', 0.2375187793633402), ('gamma', 0.01157513568566373)])"
0.30410228770064085,0.7426132193021112,512,"OrderedDict([('C', 1.9830302670435045), ('epsilon', 0.17150991600104973), ('gamma', 0.012990123986734901)])"
0.36345786389456464,0.7089503613277836,512,"OrderedDict([('C', 1.4549721105421967), ('epsilon', 0.2220334463772006), ('gamma', 0.013775698973149782)])"
0.32689034093007446,0.6903074910580291,512,"OrderedDict([('C', 1.863532745185925), ('epsilon', 0.16125011160259337), ('gamma', 0.012413041688317234)])"
0.3542584502215934,0.6835720801165516,512,"OrderedDict([('C', 2.3362665275696752), ('epsilon', 0.28408370250292236), ('gamma', 0.01103402241030763)])"
0.2941862552752715,0.7132855403313263,512,"OrderedDict([('C', 2.236092433528949), ('epsilon', 0.18438185710558178), ('gamma', 0.013087351334571165)])"
