RMSE (train),RMSE (test),p,best_params
0.22713325922762737,0.7291744275664749,512,"OrderedDict([('C', 3.8793063040819176), ('epsilon', 0.1532509160556554), ('gamma', 0.05105096776281447)])"
0.22266111579845554,0.7543357775531966,512,"OrderedDict([('C', 3.3583041334215555), ('epsilon', 0.10769169702304973), ('gamma', 0.055018362706303954)])"
0.23056121838381335,0.754796734777068,512,"OrderedDict([('C', 3.083566126456901), ('epsilon', 0.11398571740486647), ('gamma', 0.053322657233082174)])"
0.20749381839273442,0.7849705729493724,512,"OrderedDict([('C', 4.1608785526528065), ('epsilon', 0.15444781681380237), ('gamma', 0.05870665789614783)])"
0.2511290824871013,0.7266675985634274,512,"OrderedDict([('C', 2.682194506395306), ('epsilon', 0.0875669438332837), ('gamma', 0.05295454543814582)])"
0.26453247648053346,0.7865429662962735,512,"OrderedDict([('C', 3.357490331329326), ('epsilon', 0.21503011323386953), ('gamma', 0.05491901972471229)])"
0.31610543974031485,0.7471950568673715,512,"OrderedDict([('C', 1.986142458766491), ('epsilon', 0.0871957625400933), ('gamma', 0.048524426140095625)])"
0.22840891111150996,0.762268379179531,512,"OrderedDict([('C', 3.109280823161968), ('epsilon', 0.11821382735374922), ('gamma', 0.056108442502510486)])"
0.2602765069029933,0.6720423078070924,512,"OrderedDict([('C', 3.1528673614077745), ('epsilon', 0.1712285881183731), ('gamma', 0.053631605240957614)])"
0.19096914240674862,0.757997494930835,512,"OrderedDict([('C', 3.85466110710423), ('epsilon', 0.1047219229375514), ('gamma', 0.05927129070159691)])"
