ID,y,yhat,fold,p,MW,y_mg,yhat_mg
2,-5.372009695036709,-4.63204813046292,0,512,138.126,-0.23173425980546153,0.5082273047683281
15,-4.167436903279334,-4.354447754365612,0,512,162.27599999999995,1.0428173908026361,0.8558065397163583
41,-3.370324846793898,-4.4168719493756985,0,512,108.18399999999998,1.6638381882323912,0.6172910856505908
73,-4.411329355425512,-4.304373782829981,0,512,105.14,0.610438617256894,0.7173941898524251
81,-3.045253948876065,-5.038480366634257,0,512,140.19,2.101463086867911,0.10823666910971867
106,-3.806527293964555,-4.217710571618992,0,512,213.664,1.5232040605888335,1.1120207829343962
204,-3.4064066893353844,-4.2226693546956255,0,512,149.19,1.767333024616503,0.9510703592562618
275,-3.706931672457048,-4.229906408021225,0,512,151.165,1.4725195759407264,0.9495448403765487
277,-5.721151247921911,-4.333395605514202,0,512,407.3300000000001,-0.1112048507142436,1.276550791693466
279,-3.286247294126029,-3.618516824200137,0,512,275.308,2.15357153733768,1.8213020072635715
293,-4.15126988879494,-3.8465752934658837,0,512,220.356,1.1918549914715348,1.4965495868005911
372,-4.028573405428824,-3.251001266585975,0,512,158.285,1.1708663551322647,1.9484384939751132
415,-4.941909026546771,-4.692548580542573,0,512,361.38000000000005,0.6160550870074533,0.8654155330116515
434,-3.863492519695673,-3.353313588570665,0,512,60.09999999999999,0.9153819523070663,1.4255608834320743
438,-4.739959351881307,-3.582867421104953,0,512,58.08,0.02406725581073025,1.1811591865870843
454,-3.454844448056267,-3.0911271435995604,0,512,118.176,1.617684837914618,1.9814021423713244
529,-4.953208833608379,-4.640987670894382,0,512,110.18099999999995,0.08889787609266539,0.4011190388066625
535,-3.7110292388030377,-4.429854457421453,0,512,160.21299999999997,1.493668513889012,0.7748432952705963
625,-3.59690998564262,-3.307252795228251,0,512,133.191,1.5275648939785085,1.8172220843928777
627,-7.41097518868794,-4.877882434764667,0,512,326.437,-1.8971758107104923,0.6359169432127798
632,-3.824801121628026,-3.7668213112674356,0,512,339.564,1.706120519219224,1.7641003295798146
635,-3.050110080433842,-2.771376396447311,0,512,158.241,2.149208938340936,2.4279426223274667
680,-3.2811708801483928,-3.446009169394414,0,512,112.216,1.7688839038332982,1.6040456145872768
716,-4.282248809960188,-4.457269161383298,0,512,185.355,0.9857554957715733,0.8107351443484633
781,-5.338020739644279,-4.956962518310268,0,512,215.362,-0.004851663923712723,0.3762065574102984
802,-3.62072224972898,-4.248031493088597,0,512,84.118,1.3041666885685945,0.6768574452089776
825,-5.144476269909696,-5.539004662226887,0,512,377.0690000000001,0.4319445592810036,0.037416166963813155
983,-3.337984643229159,-3.7933943063366686,0,512,110.11199999999998,1.7038500077116772,1.2484403446041674
1016,-5.839754225519884,-5.043503092386448,0,512,529.1420000000002,-0.1161819910255942,0.6800691421078415
1032,-4.577421978691406,-4.51346579120011,0,512,121.18299999999996,0.506019720973631,0.5699759084649275
1054,-5.811250536117478,-5.87192431115853,0,512,277.238,-0.3683977789394524,-0.42907155398050456
1169,-3.403710463520526,-3.0629524906809436,0,512,188.223,1.8709622276364264,2.211720200476009
1266,-3.9670351824920944,-4.694285264898071,0,512,165.834,1.252638393773943,0.525388311367966
1274,-5.0817145650821445,-4.181559934138596,0,512,206.329,0.2328457082368065,1.1330003391803551
1278,-4.691731445736303,-4.052191160856466,0,512,218.277,0.6472765304706499,1.2868168153504873
1281,-3.2679057097736512,-4.631302037828399,0,512,203.17499999999995,2.0399645586512167,0.6765682305964693
1350,-7.83448294878671,-6.2163337900557565,0,512,288.44000000000005,-2.3744274618978234,-0.7562783031668701
1407,-5.676249352110955,-5.078196016238149,0,512,292.404,-0.2102660427647849,0.3877872931080213
1421,-4.508119038890882,-4.475559408525735,0,512,403.3940000000001,1.0976103954264442,1.1301700257915919
1604,-4.424208571176438,-4.736657496124373,0,512,300.3140000000001,1.053367007379597,0.7409180824316621
1623,-2.8455939804356176,-3.088386568387114,0,512,88.14999999999999,2.099628336199723,1.8568357482482265
1686,-4.901799752593864,-4.156695365894718,0,512,373.4680000000001,0.6704536433332082,1.4155580300323543
1688,-4.753736606766973,-4.578473020040244,0,512,332.469,0.7680145503711506,0.9432781370978794
1697,-4.39310640472703,-4.761455728078528,0,512,418.26200000000017,1.228342005060474,0.8599926817089762
1711,-3.296625459085079,-3.8038296152964453,0,512,150.177,1.8799779653410726,1.3727738091297064
1742,-5.3604274383297215,-4.91504317885492,0,512,359.32500000000005,0.19505999592012396,0.6404442553949254
1780,-3.5657182137384837,-4.161858599622532,0,512,112.987,1.487310263788744,0.8911698779046962
1915,-4.400618422568786,-4.051617901895902,0,512,201.254,0.9031260983253511,1.2521266189982347
1931,-5.347210911284644,-4.0687654080786535,0,512,300.358,0.13042829253522198,1.4088737957412123
2011,-3.588191029145832,-3.62559189225432,0,512,126.13299999999998,1.512637696150054,1.475236833041566
2125,-2.2961334635774007,-4.088620297804848,0,512,12.011,1.7834457033927302,-0.009041130834717127
2129,-4.197771412118774,-4.143637723497306,0,512,989.0219999999996,1.7974345401177734,1.8515682287392419
2151,-4.129867925040673,-4.012389726789426,0,512,1077.1279999999997,1.9023993905048153,2.019877588756063
2156,-4.24670182033266,-4.421249882101411,0,512,202.21399999999997,1.0591093997268097,0.884561337958059
2180,-5.30468649919512,-4.971416657838969,0,512,734.0280000000002,0.5610261274969177,0.8942959688530692
2188,-5.236745231812761,-4.820329586485073,0,512,276.915,0.20560124954057118,0.6220168948682591
2252,-5.185518957085411,-4.570792193022954,0,512,387.8230000000001,0.4031146044310864,1.0178413684935435
2418,-4.502582337734613,-4.029606174472465,0,512,230.909,0.8608585227449869,1.3338346860071346
2430,-3.194820174344094,-3.9977486226805143,0,512,166.21999999999997,2.0258631036302517,1.222934655293831
2457,-3.815170454410967,-4.8733500506439364,0,512,428.41400000000016,1.8166932001470781,0.7585136039141087
2502,-3.251945452848238,-4.074023655369742,0,512,202.256,2.053955961135654,1.2318777586141503
2635,-5.106641578683687,-4.533636649666844,0,512,313.47400000000005,0.3895599469462379,0.9625648759630809
2699,-2.9876600939652325,-4.0823027079012615,0,512,765.9080000000001,2.896516511839801,1.8018738979037718
2763,-5.906518332807838,-5.279163359536604,0,512,557.2220000000001,-0.16049007808895896,0.4668648951822758
2819,-4.780109365152007,-4.3180806018031985,0,512,410.45000000000016,0.8331508948499612,1.2951796581987696
2881,-3.983059928571756,-4.414355004181635,0,512,641.7000000000004,1.8242721107194348,1.3929770351095556
2900,-4.1636721852964325,-3.9386034717587437,0,512,153.07399999999996,1.021229245666798,1.2462979592044867
2916,-4.933182306768106,-4.557672706872635,0,512,149.602,0.24175509279748708,0.6172646926929584
2931,-5.005745104520755,-5.006871983788666,0,512,355.48200000000014,0.5450725103942927,0.5439456311263816
2940,-5.007794419004121,-4.894510255136247,0,512,211.69200000000004,0.3179100270100779,0.431194190877952
2945,-5.421970469263625,-4.768903149024466,0,512,158.22199999999998,-0.22270359936670092,0.4303637208724579
2969,-4.546105973807062,-4.788052747144157,0,512,604.705,1.2354375857752844,0.9934908124381899
3006,-3.2531443221947933,-3.5638424957523247,0,512,342.3910000000001,2.281378018209541,1.9706798446520097
3008,-4.199057047821103,-4.038418778358675,0,512,326.502,1.3148287980849467,1.4754670675473747
3010,-4.261053377951182,-4.851733412279462,0,512,118.13499999999996,0.8113252076804319,0.22064517335215145
3123,-2.0179527847205727,-3.085664113273484,0,512,129.115,3.0930239148565066,2.025312586303595
3164,-6.354677006203616,-6.030698408808646,0,512,263.211,-0.9343729710357278,-0.6103943736407575
3190,-4.077559351065838,-4.078791655463403,0,512,260.3739999999999,1.3380382639290778,1.336805959531512
3227,-4.081100328508275,-4.343491230123018,0,512,267.245,1.345809260048975,1.0834183584342325
3297,-4.821199464272123,-4.339678636796155,0,512,358.632,0.7334495738915289,1.2149704013674973
3377,-3.793754279211595,-3.6499677976321974,0,512,230.245,1.5684359286215166,1.7122224102009143
3689,-4.039413786857145,-3.6895821414899768,0,512,232.376,1.3267774848568492,1.6766091302240178
3722,-5.456759550547124,-4.740837049363598,0,512,206.15699999999995,-0.14256146481862145,0.5733610363649052
3803,-4.35593390118102,-4.956258364621708,0,512,657.7800000000003,1.4621467633111844,0.8618222998704963
3846,-3.1432968801926875,-3.981753521748427,0,512,234.31899999999996,2.2265106250521733,1.3880539834964338
3863,-4.998151063827358,-3.8527811802351013,0,512,194.211,0.29012276063241593,1.4354926442246723
3867,-4.636056680695763,-4.780669597735329,0,512,331.44100000000003,0.8843495499185958,0.7397366328790294
3910,-3.4435753310172266,-3.7417164036320356,0,512,30.026,1.0339221492458885,0.7357810766310796
3937,-4.778507277041286,-4.537741536032014,0,512,286.11400000000003,0.6780318319837924,0.9187975729930646
3942,-7.253016718654687,-4.632551542333794,0,512,608.6880000000002,-1.4686219787304178,1.1518431975904746
3959,-3.905467091018884,-3.7864507159718013,0,512,180.159,1.350188871541316,1.4692052465883985
3998,-3.239685638888032,-2.9028439022870893,0,512,132.203,1.8815556715464825,2.218397408147425
4039,-4.250881051620145,-4.10315100552233,0,512,48.11000000000001,0.431354305282419,0.5790843513802345
4044,-3.6420807541333264,-4.609409547186074,0,512,610.5650000000004,2.1436511510659217,1.1763223580131743
4062,-4.806593994798198,-4.609295468080705,0,512,199.988,0.4944099424151077,0.6917084691326004
4102,-4.049975563562588,-4.338983134575264,0,512,199.25700000000003,1.2494380237601332,0.9604304527474572
4113,-4.541983051916209,-4.345104281473219,0,512,446.6720000000005,1.108005677303732,1.304884447746722
4118,-5.295733658111734,-4.858249700962962,0,512,162.283,-0.08546063053986636,0.3520233266089057
4166,-3.1416496193972123,-4.235363826042042,0,512,370.7750000000001,2.427460824176446,1.3337466175316162
4245,-6.223372029881371,-5.379940232023179,0,512,380.55400000000014,-0.6429557387141993,0.20047605914399244
4248,-5.0598991834210905,-4.1233194501760515,0,512,256.472,0.349140775074469,1.285720508319508
4269,-5.566354214923669,-4.150340459885547,0,512,73.12,-0.7023180321978937,0.7136957228402276
4279,-6.32999824395863,-4.884817607199422,0,512,751.0110000000001,-0.45435194583020744,0.9908286909290003
4294,-5.96149255419068,-5.347788542224207,0,512,322.5370000000001,-0.4529130120438294,0.16079099992264312
4338,-3.210310971010983,-3.6342065509688553,0,512,240.306,2.1704536434648296,1.7465580635069573
4393,-5.139857073983681,-4.550982657903968,0,512,384.516,0.44505734184983653,1.0339317579295493
4406,-4.526447966178501,-3.7813421333674477,0,512,150.206,0.6502393147908928,1.395345147601946
4457,-6.016341185523912,-6.060349839603586,0,512,229.715,-0.6551518307096712,-0.6991604847893449
4502,-4.27426096079278,-4.9474696481910225,0,512,342.35600000000005,1.2602169827558398,0.5870082953575976
4517,-3.675069269011667,-4.347678768762717,0,512,398.4000000000001,1.9252500607399943,1.2526405609889444
3988,-4.403988529972727,-4.077970358988604,0,512,283.799,1.0490223308624453,1.3750405018465686
4620,-3.8483657993879623,-4.463919154494782,0,512,342.5240000000001,1.6863252076883506,1.0707718525815308
6511,-3.40543370361941,-4.280674767778967,0,512,290.4029999999999,2.057567394898715,1.1823263307391578
4703,-2.860961158696678,-2.8866490883193094,0,512,115.176,2.2004008329473494,2.174712903324718
4739,-3.9005368885502,-4.266468075265141,0,512,167.85,1.3243844570338315,0.9584532703188898
4916,-4.208398970607624,-2.709582993883413,0,512,86.178,0.7269974402512139,2.2258134169754253
5145,-4.446865012117938,-4.587610381159152,0,512,464.115,1.2197605927414195,1.079015223700205
5393,-4.443389135562954,-4.064009071676944,0,512,368.4730000000001,1.1230165347037242,1.5023965985897338
5565,-3.695600088102336,-3.7811805129978966,0,512,336.53799999999995,1.83143402134489,1.7458535964493294
5616,-3.334444710850521,-3.0629524906809436,0,512,230.30399999999997,2.027856770156878,2.2993489903264557
5635,-3.4734890309504043,-3.0420121046307695,0,512,138.122,1.6667738273360133,2.098250753655648
5722,-3.0200426348825418,-4.192759689331162,0,512,111.08,2.0255932361956783,0.8528761817470584
5839,-4.749665109696616,-3.8137731283321457,0,512,386.3850000000001,0.8373551484617567,1.7732471298262267
5960,-4.605703480936046,-4.368801997179418,0,512,163.829,0.6086872994261163,0.8455887831827444
5990,-4.82794885795209,-5.019408007102514,0,512,488.67100000000033,0.8610677087951799,0.6696085596447563
4549,-7.252740204184171,-6.574901704319722,0,512,380.9130000000001,-1.6719144094388936,-0.9940759095744447
6090,-3.172501677169278,-3.7658799097800317,0,512,318.32800000000003,2.3303731634959366,1.7369949308851829
6260,-4.66585520610767,-4.1643416678198175,0,512,398.47700000000026,0.9345480529711286,1.4360615912589811
6266,-6.167060930590132,-6.555482300929036,0,512,342.875,-0.6319251099775465,-1.0203464803164501
6273,-3.5170988983328506,-3.9053425088483387,0,512,201.889,1.7880137585531195,1.3997701480376314
6305,-5.794986400783665,-4.615531678732787,0,512,387.39900000000017,-0.20682790545127572,0.9726268165996018
6420,-3.4051985950496544,-3.279110297301707,0,512,183.188,1.8576984261136524,1.9837867238615998
6430,-3.472019132892741,-3.455822747901282,0,512,289.33500000000004,1.9893818392532079,2.0055782242446663
6447,-3.75299977726722,-4.472652249446895,0,512,239.702,1.6266718804015619,0.9070194082218865
6479,-3.834744483020741,-4.493579306152835,0,512,174.19599999999997,1.4062936952176512,0.7474588720855571
6489,-4.090038196099624,-3.0896193951635427,0,512,164.63199999999998,1.1264760580615119,2.1268948589975936
6575,-4.357775651318566,-3.4127250037922714,0,512,222.23999999999995,0.9890465770749738,1.9340972246012689
6578,-3.3604621222622497,-3.6541561696388456,0,512,278.348,2.0841259828774406,1.790431935500845
6734,-4.30421312621366,-4.229754309844015,0,512,468.34100000000007,1.3663490526966207,1.4408078690662653
6785,-4.071745745556199,-4.637068949363764,0,512,423.8680000000003,1.5554848851002459,0.990161681292681
6834,-4.45834957506473,-3.8393903297122707,0,512,164.24799999999996,0.7571505149220223,1.3761097602744818
6841,-4.283639918172062,-5.0005287351871575,0,512,138.126,0.856635517059186,0.13974670004409043
6842,-5.773667423954119,-4.608253818585557,0,512,240.215,-0.3930673009295669,0.7723463044389947
6857,-3.592652708719028,-4.324337226741605,0,512,264.284,1.8294181626153045,1.0977336445927275
6864,-3.8675522049979634,-3.20040017597551,0,512,749.3029999999994,2.007105266397465,2.674257295419918
6929,-4.745069034962058,-4.802413004950137,0,512,219.287,0.5959438511814366,0.538599881193358
7044,-4.732145671289452,-4.4366316970609585,0,512,217.312,0.6049380374971999,0.9004520117256929
7145,-4.9627573551892805,-4.043348965586807,0,512,101.105,0.04201527833164278,0.9614236679341165
7161,-5.299711777759035,-4.675100089037349,0,512,199.278,-0.0002524218883656,0.6243592668333211
7166,-3.6248733557433055,-3.1609192262501518,0,512,100.161,1.3758252961086113,1.839779425601765
7175,-4.318141198752128,-3.8103598065111908,0,512,170.21099999999998,0.912846424475474,1.4206278167164115
7181,-4.859897349197942,-4.072287857052821,0,512,172.22699999999998,0.376203887535406,1.163813379680527
4792,-2.5364561783143547,-3.262144192765886,0,512,176.124,2.709362361965075,1.9836743475135434
7205,-5.428567932975462,-4.931203398438101,0,512,214.648,-0.09684108671490982,0.4005234478224514
7245,-3.7175087009283945,-4.077872417544767,0,512,164.204,1.4978750313724982,1.1375113147561255
7307,-4.6874393457595085,-4.6180188506567115,0,512,249.093,0.7089221774249757,0.7783426725277727
7382,-5.383806817015756,-4.6284011064027455,0,512,147.43200000000002,-0.21521505998458684,0.5401906506284239
7400,-4.756560898744183,-4.687074255953583,0,512,333.309,0.7662861418817413,0.835772784672342
7445,-5.135081366973946,-5.376980022861198,0,512,208.377,0.18376841423545934,-0.058130241651792716
7454,-3.964351364322437,-3.4620088536280806,0,512,142.19799999999998,1.1885421238077938,1.69088463450215
