RMSE (train),RMSE (test),p,best_params
0.8205607841186968,0.8464537465793143,138,"OrderedDict([('alpha', 0.0019533269681321526), ('l1_ratio', 0.4976265285542235)])"
0.8234720506053208,0.9241168363492037,137,"OrderedDict([('alpha', 0.0029354278248078748), ('l1_ratio', 0.6388956453934782)])"
0.8232264301682132,0.877975989141098,139,"OrderedDict([('alpha', 0.00367217384831392), ('l1_ratio', 0.38286844107985735)])"
0.8183363038963063,0.8819690629584769,139,"OrderedDict([('alpha', 0.0013983451961978182), ('l1_ratio', 1.0)])"
0.8207420808009868,0.845038900502066,138,"OrderedDict([('alpha', 0.001441405380566783), ('l1_ratio', 1.0)])"
0.8218533030927785,0.8826058874504098,137,"OrderedDict([('alpha', 0.002612447647953727), ('l1_ratio', 0.6236293297915837)])"
0.8303961124462536,0.8063563182581936,138,"OrderedDict([('alpha', 0.006272169681264216), ('l1_ratio', 0.0)])"
0.8171845252150549,0.8808813667998874,138,"OrderedDict([('alpha', 0.005256536921426045), ('l1_ratio', 0.0)])"
0.818771515135903,0.8733111663409077,138,"OrderedDict([('alpha', 0.0018223712277614398), ('l1_ratio', 0.7914264917655193)])"
0.8215896581556038,0.9211829102657332,138,"OrderedDict([('alpha', 0.002859356951256691), ('l1_ratio', 0.6811545994428152)])"
