ID,y,yhat,fold,p,MW,y_mg,yhat_mg
2,-5.372009695036709,-4.2080903,0,166,138.126,-0.23173425980546153,0.9321851183657214
40,-3.616400456213268,-2.9757755,0,166,342.297,1.9180026366460372,2.558627631914838
42,-3.540400168990391,-3.3411615,0,166,106.16799999999996,1.4855934671748767,1.6848321557172279
81,-3.045253948876065,-4.5372157,0,166,140.19,2.101463086867911,0.6095013348336269
188,-4.012054598372247,-3.8363998,0,166,173.53499999999997,1.2273324817569546,1.402987286394223
238,-4.515554412944737,-3.5121033,0,166,178.231,0.7354288308528611,1.7388799244606858
279,-3.286247294126029,-3.4151466,0,166,275.308,2.15357153733768,2.0246722282291656
297,-4.105543942367255,-4.6083093,0,166,338.44700000000006,1.4239467264893635,0.9211814081588771
303,-4.2063775149884615,-3.5432832,0,166,184.279,1.0590983318759863,1.722192635151889
322,-3.807795003992608,-4.1191115,0,166,174.28399999999996,1.4334625148978721,1.1221459669428113
325,-2.020842469024401,-3.5827043,0,166,138.166,3.1195587156270075,1.5576968741808777
330,-4.310577532751864,-4.3185606,0,166,228.248,1.0478294480097001,1.0398463737804602
354,-3.0300126578749333,-3.5324497,0,166,196.29,2.2628855171430917,1.7604484741839619
386,-4.840642761330515,-4.4712634,0,166,235.906,0.5320962254802767,0.9014755791641291
403,-3.841610622261903,-3.8975303,0,166,128.17099999999996,1.2661791504662192,1.2102594312469177
448,-4.395541774185543,-3.8997445,0,166,109.12799999999996,0.6423944217311711,1.1381916615552738
466,-4.601699777618592,-4.745119,0,166,206.332,0.7128668102464187,0.5694474982025701
525,-3.7797531580620634,-4.169792,0,166,99.177,1.2166578091401448,0.8266187793412281
526,-3.6717902872034,-3.725655,0,166,100.161,1.328908364648517,1.2750435802834001
617,-3.198277713695367,-3.9302402,0,166,90.078,1.7563410212874109,1.024378574267998
632,-3.824801121628026,-3.8985536,0,166,339.564,1.706120519219224,1.6323680264821547
650,-2.9126596242754403,-2.9576716,0,166,102.177,2.0966935230180312,2.051681487221837
677,-4.114983028079853,-3.9219604,0,166,129.16700000000003,0.9961685448013212,1.1891912139418135
688,-3.8236775713648,-3.8201435,0,166,108.184,1.2104854636614895,1.214019555000628
702,-2.9123850941612246,-3.3361742,0,166,134.175,2.2152865097978487,1.7914973617073922
716,-4.282248809960188,-4.4061093,0,166,185.355,0.9857554957715733,0.8618949712760298
720,-4.301486489822915,-4.7538724,0,166,312.60599999999994,1.1935108195668567,0.741124901272454
741,-2.7710917232424426,-3.3537436,0,166,270.45699999999994,2.6610065031421533,2.078354671718071
766,-4.394343128853176,-4.554524,0,166,241.46299999999997,0.9885074632657966,0.8283266470936588
887,-5.335409451127907,-4.8967476,0,166,333.86300000000006,0.18815884038466582,0.6268207105300068
895,-5.477559709869528,-4.989678,0,166,406.2690000000001,0.13125397526128438,0.6191357795256089
982,-4.208074374239691,-5.261357,0,166,332.50000000000006,1.3137172753994328,0.2604348255156731
985,-5.220362733949501,-3.9983346,0,166,163.003,-0.008167136469125128,1.2138609473886939
995,-4.413142513250709,-4.666921,0,166,234.383,0.9567835954864115,0.7030049697948403
1077,-4.122577434798872,-3.829636,0,166,202.297,1.1834120075710113,1.4763533492609804
1120,-3.0494966952685103,-3.6271756,0,166,138.16599999999997,2.090904489382898,1.5132256249759408
1134,-5.116870806890606,-4.4810243,0,166,217.232,0.22005299376731793,0.8558995152308869
1224,-3.190877513591364,-3.7010326,0,166,492.3890000000002,2.50143082861133,1.9912757042681408
1293,-4.265198164694968,-4.3138213,0,166,220.356,1.077926715571507,1.02930355807149
1370,-3.2557660992135853,-3.6870155,0,166,194.18599999999995,2.032451816667787,1.6012023734914544
373,-3.5895746947573417,-3.5752184,0,166,156.26899999999998,1.6042981382571702,1.6186544146709654
1479,-3.579584055798982,-3.6469185,0,166,120.15099999999998,1.5001433339283246,1.4328088550609717
1497,-3.4775600974044605,-3.5423646,0,166,126.155,1.6233443705238624,1.5585398918462177
1584,-3.52910135319526,-3.9225209,0,166,251.28199999999995,1.8710600268391997,1.4776405172978555
1833,-3.9341608508214954,-4.5402727,0,166,246.39399999999995,1.4574692771894882,0.8513574194040161
1859,-5.0414772576253055,-4.4646707,0,166,82.10600000000001,-0.12710236272658032,0.4497042419672618
1861,-4.1311743625750825,-4.3279247,0,166,514.7310000000003,1.5804059621225677,1.383655604624189
