RMSE (train),RMSE (test),p,best_params
0.7003351784721086,0.7722520169697676,512,"OrderedDict([('alpha', 0.017655170524491445), ('l1_ratio', 0.14319568800419716)])"
0.6927382844667457,0.8104593418560035,512,"OrderedDict([('alpha', 0.01823752789038947), ('l1_ratio', 0.12056564232374688)])"
0.6659445323997505,0.8223130714636989,512,"OrderedDict([('alpha', 0.026194251115893043), ('l1_ratio', 0.0)])"
0.6603938093640144,0.8732908565652001,512,"OrderedDict([('alpha', 0.025071544605990904), ('l1_ratio', 0.0)])"
0.6831266477720312,0.8704182974571348,512,"OrderedDict([('alpha', 0.04490659227111089), ('l1_ratio', 0.0018101890339284892)])"
0.680721685764747,0.6926465571990025,512,"OrderedDict([('alpha', 0.027996632896090473), ('l1_ratio', 0.0)])"
0.7091388491114993,0.7246141194603605,512,"OrderedDict([('alpha', 0.02057514374749519), ('l1_ratio', 0.12419935245848941)])"
0.6746410293361892,0.7659808530729113,512,"OrderedDict([('alpha', 0.027761117573587398), ('l1_ratio', 0.0)])"
0.6918853870442699,0.8001597669337394,512,"OrderedDict([('alpha', 0.04490659227111089), ('l1_ratio', 0.0018101890339284892)])"
0.6671429723788638,0.8592966509948511,512,"OrderedDict([('alpha', 0.028732109670148883), ('l1_ratio', 0.0)])"
