ID,y,yhat,fold,p,MW,y_mg,yhat_mg
73,-4.411329355425512,-4.293412420486647,0,138,105.14,0.610438617256894,0.7283555521957591
105,-4.9485934896553365,-4.697720115149226,0,138,325.47400000000005,0.5639228116742938,0.8147961861804047
133,-3.452488787278088,-3.2488936057186706,0,138,168.23599999999996,1.7734301466834677,1.9770253282428851
158,-5.598512822815968,-3.9848679567761764,0,138,220.36,-0.25538005911468387,1.3582648069251073
188,-4.012054598372247,-3.8546587421733727,0,138,173.53499999999997,1.2273324817569546,1.3847283379558288
196,-5.190900313452792,-4.260085352188085,0,138,65.095,-0.37735268211660694,0.5534622791480998
372,-4.028573405428824,-3.4454143930227676,0,138,158.285,1.1708663551322647,1.7540253675383206
1207,-4.857440305166523,-4.057595833360676,0,138,196.29,0.4354578698515024,1.2353023416573494
394,-4.206279095317423,-4.330293662239888,0,138,128.558,0.9028200120928112,0.7788054451703459
403,-3.841610622261903,-3.3267668655277784,0,138,128.17099999999996,1.2661791504662192,1.7810229072003438
441,-2.806300285488609,-3.124632994035599,0,138,62.068000000000005,1.9865674659712556,1.6682347574242657
454,-3.454844448056267,-3.672813315054805,0,138,118.176,1.617684837914618,1.3997159709160796
495,-3.325960461261018,-3.826004693800457,0,138,106.16799999999998,1.7000331749042497,1.199988942364811
552,-3.995235316558754,-4.022617893557808,0,138,102.181,1.014134832055222,0.9867522550561683
616,-4.817970093215765,-4.277959167672202,0,138,79.102,0.0802173710402316,0.6202282965837939
625,-3.59690998564262,-3.4210481972576527,0,138,133.191,1.5275648939785085,1.7034266823634758
689,-3.804186676088618,-3.193080900357102,0,138,146.23,1.3608498039059473,1.9719555796374635
727,-3.361656649614288,-3.684956886784847,0,138,176.212,1.8843788308313587,1.5610785936607996
757,-3.3034841591263757,-3.5748164224768075,0,138,190.283,1.975915830758208,1.7045835674077763
766,-4.394343128853176,-4.41879866646124,0,138,241.46299999999997,0.9885074632657966,0.9640519256577331
777,-4.926245925711004,-4.537844317080963,0,138,274.103,0.5116678631167684,0.9000694717468088
817,-3.723172467072835,-5.029686506574474,0,138,326.288,1.7904286348191931,0.4839145953175543
880,-5.67082149560547,-4.737294970254142,0,138,227.132,-0.31454317052536396,0.6189833548259633
964,-3.3467371720513137,-4.1979604743267425,0,138,314.33700000000005,2.150658331938185,1.2994350296627561
1034,-4.896137003912295,-5.428860649095375,0,138,330.36400000000003,0.6228557119358852,0.09013206675280498
1076,-3.339992642645812,-4.66977674136712,0,138,516.5680000000003,2.373134856648192,1.0433507579268837
1124,-4.089389146194419,-3.7710415828554207,0,138,136.14999999999998,1.0446284994815644,1.3629760628205627
1134,-5.116870806890606,-3.783142728155719,0,138,217.232,0.22005299376731793,1.5537810725022052
1138,-3.4803304561698694,-3.708557522116741,0,138,136.238,1.6539678033050855,1.425740737358214
1181,-4.652253659997634,-4.4976356448970085,0,138,362.4060000000002,0.9069417192536114,1.0615597343542371
1193,-4.283798348739219,-5.172555681815501,0,138,308.13900000000007,1.2049483200837003,0.31619098700741827
1261,-4.137908055723133,-4.032302172714714,0,138,73.095,0.7259796147138426,0.8315854977222616
1268,-3.80946251026596,-3.1595078686110054,0,138,212.201,1.5172849159226351,2.16723955757759
1331,-3.759912083706726,-5.127343548864191,0,138,305.502,1.7251019740342715,0.3576705088768062
1462,-4.388968839777212,-4.930189567765212,0,138,296.562,1.0831466621154675,0.5419259341274678
1551,-3.385815143477118,-4.599234466482631,0,138,390.7830000000001,2.2061205191264768,0.9927011961209639
1562,-3.954504319357269,-5.249112138940444,0,138,373.2360000000001,1.6174792070551263,0.3228713874719511
1603,-5.089820427884661,-3.9772087175699857,0,138,300.314,0.3877551506713742,1.5003668609860492
1762,-4.004862306887932,-4.175234715454881,0,138,470.48900000000026,1.6676871672193476,1.4973147586523987
1788,-2.445575196176061,-3.311524253090197,0,138,147.13,2.7221260387953072,1.856176981881171
1833,-3.9341608508214954,-4.418245660064719,0,138,246.39399999999995,1.4574692771894882,0.9733844679462645
1877,-4.076980181610817,-3.664303128101329,0,138,394.4970000000002,1.5190635233024308,1.9317405768119187
1956,-4.914921807363051,-4.44465926425475,0,138,235.066,0.4562680098511573,0.9265305529594579
2013,-4.703391714346445,-4.015102018005392,0,138,144.17399999999998,0.4554952334528898,1.1437849297939433
2087,-3.013900360088665,-3.6804479825581025,0,138,241.472,2.3689664190962176,1.7024187966267803
2259,-4.639684631076039,-3.674548822523323,0,138,108.122,0.3942294394405702,1.3593652479932867
2294,-4.882399077719467,-3.9936941146657663,0,138,318.3690000000001,0.620531695591206,1.5092366586449066
2316,-3.58401876687227,-3.804388486030639,0,138,398.3970000000002,2.016297292577305,1.795927573418936
2317,-3.711286663287655,-4.39017842961939,0,138,396.30300000000005,1.8867406966531821,1.2078489303214466
2375,-4.181507972613463,-5.156189930908029,0,138,343.213,1.3540557568002058,0.37937379850564
2406,-4.449358767623513,-4.281193207557166,0,138,221.039,0.8951101395027108,1.063275699569058
2438,-5.466850795384969,-5.177304928019198,0,138,345.22600000000017,0.0712527009030308,0.3607985682688024
2439,-4.62970714657668,-2.997335877513886,0,138,546.6230000000003,1.1079807547699625,2.740352023832757
2575,-4.477116867473075,-4.366507040322206,0,138,314.04999999999995,1.0198819302670166,1.1304917574178854
2627,-5.794894086514501,-4.9868158985196285,0,138,610.1760000000004,-0.009438964939589987,0.7986392230552822
2655,-4.643729139098715,-4.182697745024329,0,138,238.33,0.7334495738915288,1.1944809679659154
2691,-3.5397184937560366,-3.720285933860457,0,138,362.4440000000002,2.019522420958622,1.8389549808542016
2699,-2.9876600939652325,-4.4437330113455955,0,138,765.9080000000001,2.896516511839801,1.4404435944594378
2722,-4.760218138174809,-5.574580276758336,0,138,383.58400000000006,0.8236423454733728,0.009280206889845877
2740,-4.08140521878087,-4.2260089687971,0,138,212.336,1.245618413048379,1.1010146630321493
2741,-3.959941683018554,-4.00086752230133,0,138,136.194,1.1742162922212898,1.1332904529385142
2750,-3.3863192809219784,-4.0940720440900975,0,138,114.212,1.6713924557373354,0.9636396925692163
2759,-3.974620964063888,-4.083332449937789,0,138,225.251,1.3780457636383463,1.2693342777644456
2844,-5.705129707949272,-4.391197136992733,0,138,182.135,-0.44473629786940744,0.8691962730871319
2848,-3.3488317026700027,-3.748699544308421,0,138,140.27,1.7981330943197447,1.3982652526813266
2866,-6.718515743310546,-4.659579961486129,0,138,230.44199999999995,-1.3559541075094217,0.7029816743149951
2898,-4.878333680694996,-4.192758218126537,0,138,247.534,0.515301179133163,1.2008766417016223
2923,-3.027296241047294,-3.438273092553853,0,138,402.57200000000006,2.577547324169095,2.166570472662536
2984,-3.891595234325792,-4.00998901831173,0,138,113.16,1.1620977044591614,1.0437039204732232
2988,-3.0669823442404605,-3.464220955665594,0,138,196.29,2.2259158307775646,1.8286772193524312
3029,-4.06668951437802,-3.851398970450923,0,138,971.0519999999998,1.920552972696182,2.1358435166232796
3058,-3.6651800570644895,-4.452588446426335,0,138,255.25099999999995,1.7417873951386549,0.9543790057768098
3130,-4.55845406175844,-5.427984495431192,0,138,300.16,0.9188987549405301,0.04936832126777804
3135,-4.201892831388158,-5.040399497047606,0,138,350.297,1.3425435865774795,0.5040369209180322
3139,-5.767960643860743,-6.033079501129786,0,138,350.59100000000007,-0.22315988070680598,-0.4882787379758495
3175,-3.480590608429626,-3.371227501224024,0,138,176.25599999999997,1.7655533014751659,1.8749164086807681
3192,-6.502807910225481,-5.024163757731833,0,138,380.7840000000001,-0.9221292185637165,0.5565149339299315
3228,-5.88813782174056,-5.8202456716713336,0,138,183.169,-0.6252858473221693,-0.5573936972529424
3271,-6.41506188876122,-6.514342493116695,0,138,281.314,-0.9658705427622079,-1.065151147117683
3277,-4.248347957891568,-4.881283877415483,0,138,574.7850000000004,1.5111574680594337,0.8782215485355183
3357,-4.197727837586896,-4.053920878737808,0,138,261.941,1.220475643580406,1.3642826024294947
3363,-5.682940192326977,-4.9293656853384995,0,138,293.41400000000004,-0.21545936033269736,0.5381151466557801
3439,-3.954508307085102,-3.8532228633176415,0,138,141.214,1.1953694478554993,1.2966548916229597
3466,-4.819863715578812,-5.024682821825218,0,138,310.687,0.6724593659787643,0.4676402597323583
3491,-3.169674997495217,-4.507622155971531,0,138,235.215,2.201790016377877,0.863842857901563
3531,-4.720633406012074,-3.74321776401296,0,138,330.17100000000005,0.7981055190834808,1.775521161082595
3540,-4.883847817356298,-4.165603998932461,0,138,419.5690000000001,0.7389555753532812,1.4571993937771175
3685,-4.190374111540606,-4.779953326209388,0,138,699.9330000000001,1.6546823582980639,1.065103143629282
3776,-4.34593086108695,-5.07749586103994,0,138,249.337,1.0508558686944456,0.3192908687414561
3805,-4.645122902476986,-4.553406501896275,0,138,454.4100000000002,1.0123249776578251,1.1040413782385368
3862,-4.606976932587498,-3.885135366301689,0,138,219.285,0.73403199256914,1.4558735588549494
3936,-2.812031994245756,-3.172031402232751,0,138,76.095,2.0693241271273295,1.7093247191403342
154,-3.4322426204850878,-5.186566639006579,0,138,430.7170000000002,2.2019493928156835,0.447625374294192
4077,-5.001015573693436,-4.784439210771675,0,138,257.437,0.4096553921112501,0.6262317550330111
4128,-5.14607255454798,-4.107745460113234,0,138,198.134,0.150886452769369,1.189213547204115
4230,-3.13333091814522,-3.633342896188597,0,138,256.3419999999999,2.2754888502468837,1.7754768722035064
4239,-5.66320172979543,-4.087021384461523,0,138,337.423,-0.13502704741475965,1.4411532979191477
4242,-4.9012703839655885,-4.321815386552405,0,138,295.77,0.5696837373680601,1.1491387347812434
4244,-4.507719118047055,-5.373715388335807,0,138,333.266,1.0150718908862693,0.14907562059751683
4261,-3.198206255002697,-3.6677332529308497,0,138,891.500999999999,2.7519155796586907,2.282388581730538
4365,-3.6542519443442383,-4.564519058820051,0,138,652.7140000000004,2.1604709835923397,1.2502038691165271
4400,-4.526343086378533,-5.396096766858075,0,138,248.71700000000004,0.8693623842708538,-0.00039129620868759673
4406,-4.526447966178501,-4.250676748649333,0,138,150.206,0.6502393147908928,0.9260105323200606
4412,-3.990671611080204,-3.7234244898293487,0,138,186.295,1.2795295878764277,1.546776709127283
4454,-3.442381158177323,-3.6516406828697825,0,138,109.12799999999996,1.5955550377393912,1.3862955130469317
4457,-6.016341185523912,-4.940764983230885,0,138,229.715,-0.6551518307096712,0.4204243715833563
4504,-3.0969615166838693,-4.438723937296814,0,138,75.067,1.778487543254985,0.4367251226420402
4529,-4.386611546873142,-3.5522516345648745,0,138,78.136,0.50623962783758,1.3405995401458473
4606,-4.960462003547867,-4.392087587291382,0,138,238.374,0.4167968806062778,0.9851712968627626
4647,-4.7086565957978825,-4.316087877758161,0,138,187.634,0.5646549412007861,0.9572236592405078
4660,-3.7632297928002,-3.912805915452074,0,138,150.18099999999998,1.4133851990083934,1.2638090763565197
4676,-5.490016130478068,-5.399045754080518,0,138,361.659,0.06828314664676514,0.15925352304431517
4685,-4.916974305146003,-4.547938580209715,0,138,104.174,0.10078503506978828,0.4698207600060764
4739,-3.9005368885502,-4.666787155393942,0,138,167.85,1.3243844570338315,0.5581341901900889
4742,-5.28742972746885,-4.781936670767989,0,138,286.415,0.16956603144155066,0.675059088142412
4747,-5.658539021841462,-4.667088644170038,0,138,130.197,-0.5439380445098736,0.4475123331615506
4916,-4.208398970607624,-3.6413207048645533,0,138,86.178,0.7269974402512139,1.2940757059942851
5075,-3.805393976151077,-4.103982440007724,0,138,598.6580000000002,1.9717848143011574,1.6731963504445104
5261,-3.7179773825645657,-3.6577832500581398,0,138,214.30499999999995,1.613054921221443,1.6732490537278688
5286,-5.131953412823548,-5.680069083190499,0,138,434.2940000000001,0.5058304165734697,-0.0422852537934817
5352,-3.4693692258383293,-3.821578745749094,0,138,286.412,1.9876219841124527,1.6354124642016878
5367,-4.085651562253998,-3.6316949992001657,0,138,72.151,0.7725907924613394,1.2265473555151722
5393,-4.443389135562954,-4.323825851894416,0,138,368.4730000000001,1.1230165347037242,1.242579818372262
5458,-5.007083554218405,-4.2605436573439235,0,138,621.2000000000002,0.7861478928381158,1.5326877897125974
5478,-5.503485022573681,-4.332827274748252,0,138,238.41899999999995,-0.12614416048888893,1.0445135873365405
5511,-4.868630719013503,-4.963525818936072,0,138,365.8130000000001,0.6946284160469189,0.5997333161243509
5616,-3.334444710850521,-3.5298090679504646,0,138,230.30399999999997,2.027856770156878,1.8324924130569344
5625,-4.044670261629205,-3.8406176200521513,0,138,82.10600000000001,0.8697046332695197,1.0737572748465738
5731,-2.7684200475392187,-3.356848863477312,0,138,88.14999999999999,2.176802269096122,1.5883734531580287
5733,-4.21436827941894,-4.134346761997863,0,138,78.11399999999999,0.6783605979648698,0.7583821153859467
5739,-2.547928166842527,-4.530964507587937,0,138,133.405,2.577243940337072,0.5942075995916619
5740,-3.6851513547137857,-3.609482946328593,0,138,925.826,2.281378018209541,2.3570464265947337
5810,-4.295652787786254,-4.585807260416362,0,138,318.3730000000001,1.2072834419822236,0.9171289693521151
5926,-2.893189396088446,-3.442164968600192,0,138,174.204,2.3478687267874654,1.7988931542757192
5981,-5.212842675334933,-4.255680001571284,0,138,74.14699999999999,-0.34274909124231645,0.6144135825213324
6059,-4.649987162194547,-4.558211391331858,0,138,293.798,0.818061672854244,0.9098374437169335
6257,-6.315766098950141,-5.543656495886011,0,138,314.5220000000001,-0.8181150703312111,-0.046005467267080546
6264,-3.412977004284864,-3.784096162935553,0,138,138.21,1.727562462687478,1.3564433040367891
6280,-5.600132981778416,-5.653497954363528,0,138,354.491,-0.0505277682112466,-0.10389274079635882
6288,-5.170027629704754,-4.905262097575502,0,138,131.389,-0.051468622466324415,0.2132969096629279
6306,-2.863752633694614,-3.2198350479148337,0,138,88.10599999999998,2.0812528510870516,1.725170436866832
6331,-3.5506521105724667,-4.5672555485144315,0,138,136.238,1.5836461489024882,0.5670427109605234
6338,-4.844188461102908,-5.430799341203215,0,138,411.7980000000001,0.770495771924435,0.18388489182412737
