RMSE (train),RMSE (test),p,best_params
0.7694330123014086,0.7832070124104098,512,"OrderedDict([('alpha', 0.015542446942860512), ('l1_ratio', 0.16765856243810978)])"
0.7585216975392927,0.8285607079781435,512,"OrderedDict([('alpha', 0.015269921052749925), ('l1_ratio', 0.16244697471514405)])"
0.726008982617966,0.8321692837670416,512,"OrderedDict([('alpha', 0.020967793646729776), ('l1_ratio', 0.0)])"
0.7014302923662605,0.9501514415269866,512,"OrderedDict([('alpha', 0.017704742554459897), ('l1_ratio', 0.0)])"
0.7542370937917325,0.8901911741175562,512,"OrderedDict([('alpha', 0.014697655735206419), ('l1_ratio', 0.17444632166056426)])"
0.7284341273516927,0.8290136292088321,512,"OrderedDict([('alpha', 0.023943865439304657), ('l1_ratio', 0.0)])"
0.7260229914533419,0.8002858185920689,512,"OrderedDict([('alpha', 0.021073625361188012), ('l1_ratio', 0.0)])"
0.7218742793754669,0.7977000823533106,512,"OrderedDict([('alpha', 0.01939023566906281), ('l1_ratio', 0.0)])"
0.7665808351217765,0.8313665357003037,512,"OrderedDict([('alpha', 0.014698925333242345), ('l1_ratio', 0.17550832466704305)])"
0.7542034529080432,0.9141136880877014,512,"OrderedDict([('alpha', 0.014829655508093056), ('l1_ratio', 0.17501880166351777)])"
