ID,y,yhat,fold,p,MW,y_mg,yhat_mg
73,-4.411329355425512,-4.15274,0,512,105.14,0.610438617256894,0.8690279700675799
105,-4.9485934896553365,-4.5183,0,512,325.47400000000005,0.5639228116742938,0.9942162567659183
133,-3.452488787278088,-4.2023964,0,512,168.23599999999996,1.7734301466834677,1.0235225255821192
158,-5.598512822815968,-4.275506,0,512,220.36,-0.25538005911468387,1.0676267294131043
188,-4.012054598372247,-3.6709425,0,512,173.53499999999997,1.2273324817569546,1.5684445244570564
196,-5.190900313452792,-4.0418634,0,512,65.095,-0.37735268211660694,0.7716841824535547
372,-4.028573405428824,-3.346922,0,512,158.285,1.1708663551322647,1.8525178446424073
1207,-4.857440305166523,-3.843866,0,512,196.29,0.4354578698515024,1.4490320664901748
394,-4.206279095317423,-4.1446667,0,512,128.558,0.9028200120928112,0.964432420542599
403,-3.841610622261903,-4.222211,0,512,128.17099999999996,1.2661791504662192,0.8855788937154958
441,-2.806300285488609,-3.3246174,0,512,62.068000000000005,1.9865674659712556,1.4682503780880447
454,-3.454844448056267,-3.2082138,0,512,118.176,1.617684837914618,1.8643154864383635
495,-3.325960461261018,-4.109222,0,512,106.16799999999998,1.7000331749042497,0.9167717085392032
552,-3.995235316558754,-4.1136355,0,512,102.181,1.014134832055222,0.8957346061270933
616,-4.817970093215765,-3.916743,0,512,79.102,0.0802173710402316,0.9814444135930023
625,-3.59690998564262,-3.266195,0,512,133.191,1.5275648939785085,1.8582798129134503
689,-3.804186676088618,-3.1211197,0,512,146.23,1.3608498039059473,2.043916748569841
727,-3.361656649614288,-3.3952746,0,512,176.212,1.8843788308313587,1.8507608318610285
757,-3.3034841591263757,-3.6644554,0,512,190.283,1.975915830758208,1.6149445870773327
766,-4.394343128853176,-4.3617306,0,512,241.46299999999997,0.9885074632657966,1.0211200181207347
777,-4.926245925711004,-4.569317,0,512,274.103,0.5116678631167684,0.8685969382027551
817,-3.723172467072835,-4.388982,0,512,326.288,1.7904286348191931,1.1246192943827227
880,-5.67082149560547,-5.2521725,0,512,227.132,-0.31454317052536396,0.10410583784352428
964,-3.3467371720513137,-3.530913,0,512,314.33700000000005,2.150658331938185,1.9664823932838629
1034,-4.896137003912295,-5.8394103,0,512,330.36400000000003,0.6228557119358852,-0.3204175915466955
1076,-3.339992642645812,-4.0413423,0,512,516.5680000000003,2.373134856648192,1.6717852355329703
1124,-4.089389146194419,-3.7572372,0,512,136.14999999999998,1.0446284994815644,1.3767804449176946
1134,-5.116870806890606,-4.7044115,0,512,217.232,0.22005299376731793,0.6325122865013045
1138,-3.4803304561698694,-3.8328295,0,512,136.238,1.6539678033050855,1.3014687914532856
1181,-4.652253659997634,-4.2858415,0,512,362.4060000000002,0.9069417192536114,1.2733539157030818
1193,-4.283798348739219,-5.051589,0,512,308.13900000000007,1.2049483200837003,0.4371576661196368
1261,-4.137908055723133,-3.820278,0,512,73.095,0.7259796147138426,1.0436097588628204
1268,-3.80946251026596,-3.92395,0,512,212.201,1.5172849159226351,1.4027974651416473
1331,-3.759912083706726,-4.269115,0,512,305.502,1.7251019740342715,1.2158990948097508
1462,-4.388968839777212,-4.391212,0,512,296.562,1.0831466621154675,1.0809035100461397
1551,-3.385815143477118,-3.416112,0,512,390.7830000000001,2.2061205191264768,2.1758237295877803
1562,-3.954504319357269,-5.283196,0,512,373.2360000000001,1.6174792070551263,0.288787543167387
1603,-5.089820427884661,-4.8004746,0,512,300.314,0.3877551506713742,0.6771009287846343
1762,-4.004862306887932,-4.671834,0,512,470.48900000000026,1.6676871672193476,1.0007154776931233
1788,-2.445575196176061,-2.7108572,0,512,147.13,2.7221260387953072,2.4568440782814016
1833,-3.9341608508214954,-4.4900494,0,512,246.39399999999995,1.4574692771894882,0.9015807769547768
1877,-4.076980181610817,-4.1725254,0,512,394.4970000000002,1.5190635233024308,1.4235183108285498
1956,-4.914921807363051,-5.332375,0,512,235.066,0.4562680098511573,0.03881478376588724
2013,-4.703391714346445,-4.7554584,0,512,144.17399999999998,0.4554952334528898,0.40342859506110185
2087,-3.013900360088665,-3.653364,0,512,241.472,2.3689664190962176,1.729502833676659
2259,-4.639684631076039,-3.5689938,0,512,108.122,0.3942294394405702,1.464920249948665
2294,-4.882399077719467,-4.8562365,0,512,318.3690000000001,0.620531695591206,0.6466943083663858
2316,-3.58401876687227,-4.29881,0,512,398.3970000000002,2.016297292577305,1.3015060505421905
2317,-3.711286663287655,-4.4714212,0,512,396.30300000000005,1.8867406966531821,1.126606096478596
