RMSE (train),RMSE (test),p,best_params
0.28330519142231636,0.5833591064287286,138,"OrderedDict([('colsample_bytree', 0.5), ('gamma', 0.1), ('learning_rate', 0.03), ('max_depth', 20), ('min_child_weight', 0.0), ('n_estimators', 435), ('subsample', 0.9043668603447843)])"
0.30750863187795857,0.6698719882508116,139,"OrderedDict([('colsample_bytree', 0.5), ('gamma', 0.0012149679559978132), ('learning_rate', 0.03), ('max_depth', 14), ('min_child_weight', 2.236237557725957), ('n_estimators', 155), ('subsample', 0.7475096262424765)])"
0.3311732079571786,0.6900233475321431,139,"OrderedDict([('colsample_bytree', 1.0), ('gamma', 0.1), ('learning_rate', 0.03626813558919274), ('max_depth', 20), ('min_child_weight', 0.0), ('n_estimators', 100), ('subsample', 0.5)])"
0.3395528416336249,0.7229245984094618,138,"OrderedDict([('colsample_bytree', 0.5), ('gamma', 0.1), ('learning_rate', 0.04445430875572401), ('max_depth', 20), ('min_child_weight', 3.9153784299327246), ('n_estimators', 100), ('subsample', 0.8374129598275495)])"
0.29925677194736844,0.6276205126410525,138,"OrderedDict([('colsample_bytree', 0.5), ('gamma', 0.1), ('learning_rate', 0.03), ('max_depth', 12), ('min_child_weight', 3.7124368506778653), ('n_estimators', 1000), ('subsample', 0.794063658038343)])"
0.27892570736008165,0.702719606703974,138,"OrderedDict([('colsample_bytree', 0.5), ('gamma', 0.1), ('learning_rate', 0.03764173356733673), ('max_depth', 18), ('min_child_weight', 0.0), ('n_estimators', 1000), ('subsample', 0.8094864483622946)])"
0.30877842015621154,0.7907337357201942,137,"OrderedDict([('colsample_bytree', 0.5), ('gamma', 0.1), ('learning_rate', 0.05434424474422191), ('max_depth', 11), ('min_child_weight', 0.0), ('n_estimators', 100), ('subsample', 0.7800599698713278)])"
0.283616357672703,0.674111715236905,138,"OrderedDict([('colsample_bytree', 0.5), ('gamma', 0.1), ('learning_rate', 0.03), ('max_depth', 15), ('min_child_weight', 0.0), ('n_estimators', 1000), ('subsample', 0.8314856468542826)])"
0.2949214550818587,0.704327853370831,138,"OrderedDict([('colsample_bytree', 0.5), ('gamma', 0.001), ('learning_rate', 0.03), ('max_depth', 15), ('min_child_weight', 0.0), ('n_estimators', 100), ('subsample', 0.7774370010083296)])"
0.31022537215733925,0.7624102944156605,138,"OrderedDict([('colsample_bytree', 0.5), ('gamma', 0.1), ('learning_rate', 0.04658907639067412), ('max_depth', 11), ('min_child_weight', 0.0), ('n_estimators', 100), ('subsample', 0.8866294774712442)])"
