RMSE (train),RMSE (test),p,best_params
0.02272181464059581,0.5907949297040318,166,"OrderedDict([('colsample_bytree', 0.5), ('gamma', 0.002597380284711727), ('learning_rate', 0.032005261142162664), ('max_depth', 15), ('min_child_weight', 1.2037140377446016), ('n_estimators', 987), ('subsample', 0.6342733932058391)])"
0.014440987256937026,0.6619170015007816,166,"OrderedDict([('colsample_bytree', 0.5), ('gamma', 0.001), ('learning_rate', 0.03), ('max_depth', 13), ('min_child_weight', 0.0), ('n_estimators', 811), ('subsample', 0.5)])"
0.12745559990400457,0.7400214723907975,165,"OrderedDict([('colsample_bytree', 0.5), ('gamma', 0.03928522921924839), ('learning_rate', 0.04744781511045629), ('max_depth', 20), ('min_child_weight', 10.0), ('n_estimators', 921), ('subsample', 1.0)])"
0.0635012204465514,0.7054968775554675,168,"OrderedDict([('colsample_bytree', 0.5), ('gamma', 0.010134517397269689), ('learning_rate', 0.03774195233495911), ('max_depth', 20), ('min_child_weight', 4.067565882146757), ('n_estimators', 767), ('subsample', 1.0)])"
0.1569402582222606,0.6483773763399435,166,"OrderedDict([('colsample_bytree', 0.5), ('gamma', 0.1), ('learning_rate', 0.03), ('max_depth', 20), ('min_child_weight', 10.0), ('n_estimators', 660), ('subsample', 0.8771799951289275)])"
0.08974677720181569,0.709899325568261,167,"OrderedDict([('colsample_bytree', 0.5), ('gamma', 0.001), ('learning_rate', 0.03), ('max_depth', 13), ('min_child_weight', 10.0), ('n_estimators', 479), ('subsample', 0.7614810936831267)])"
0.016640654086384137,0.7403992336902254,166,"OrderedDict([('colsample_bytree', 0.5), ('gamma', 0.001), ('learning_rate', 0.03), ('max_depth', 9), ('min_child_weight', 0.0), ('n_estimators', 1000), ('subsample', 0.6256619132807119)])"
0.013781486882913342,0.6853388944880427,166,"OrderedDict([('colsample_bytree', 0.7108931575325425), ('gamma', 0.001), ('learning_rate', 0.03), ('max_depth', 14), ('min_child_weight', 0.0), ('n_estimators', 1000), ('subsample', 0.5)])"
0.05148810432728074,0.6967975716670054,168,"OrderedDict([('colsample_bytree', 0.5), ('gamma', 0.014307614690057889), ('learning_rate', 0.03), ('max_depth', 13), ('min_child_weight', 4.817555533896585), ('n_estimators', 985), ('subsample', 0.5256941458857329)])"
0.027296964627364015,0.7414161831403393,165,"OrderedDict([('colsample_bytree', 0.5), ('gamma', 0.001), ('learning_rate', 0.03), ('max_depth', 17), ('min_child_weight', 10.0), ('n_estimators', 901), ('subsample', 0.7884574552315632)])"
