RMSE (train),RMSE (test),p,best_params
0.7798560653514172,0.8387161454546,168,"OrderedDict([('alpha', 0.007662629198576923), ('l1_ratio', 1.0)])"
0.7791353574102012,0.8199531641848475,168,"OrderedDict([('alpha', 0.006727388310566629), ('l1_ratio', 1.0)])"
0.7827334716127217,0.8343226579975405,166,"OrderedDict([('alpha', 0.007834539996926997), ('l1_ratio', 1.0)])"
0.797538020525673,0.7485905135078884,166,"OrderedDict([('alpha', 0.01678557364756906), ('l1_ratio', 0.6152573908031083)])"
0.7629247431578275,0.9478820498083673,169,"OrderedDict([('alpha', 0.0058938942154245786), ('l1_ratio', 1.0)])"
0.7832915187891812,0.8077437271028823,168,"OrderedDict([('alpha', 0.007078205305239342), ('l1_ratio', 1.0)])"
0.7829651345477815,0.8109936853969346,168,"OrderedDict([('alpha', 0.00746730757809935), ('l1_ratio', 1.0)])"
0.7749150237967087,0.8489903097481862,166,"OrderedDict([('alpha', 0.006756035947582183), ('l1_ratio', 1.0)])"
0.7750538791890703,0.8483676187792704,164,"OrderedDict([('alpha', 0.006880669223508301), ('l1_ratio', 1.0)])"
0.7678909013105982,0.9028467754154313,166,"OrderedDict([('alpha', 0.006202204608701647), ('l1_ratio', 1.0)])"
