RMSE (train),RMSE (test),p,best_params
0.3250542600040993,0.6713227248643029,138,"OrderedDict([('C', 2.509220569187656), ('epsilon', 0.15112110788052444), ('gamma', 0.09097627731551543)])"
0.3426168550553627,0.7191903897808598,139,"OrderedDict([('C', 2.035430120237428), ('epsilon', 0.15305060186293523), ('gamma', 0.09137390216164147)])"
0.30525415851566384,0.7188738396520935,138,"OrderedDict([('C', 3.042353439409809), ('epsilon', 0.16515432052720735), ('gamma', 0.09276359067548876)])"
0.31824545644963054,0.7440360916692893,138,"OrderedDict([('C', 2.183765156354697), ('epsilon', 0.11797892621557833), ('gamma', 0.09841982376858932)])"
0.3172202053130366,0.7615186303347239,139,"OrderedDict([('C', 2.381041217895091), ('epsilon', 0.14685271569590225), ('gamma', 0.09578127561159902)])"
0.3273081225332913,0.6341204125005357,138,"OrderedDict([('C', 3.1015653360815794), ('epsilon', 0.19734197885989488), ('gamma', 0.08986664897844865)])"
0.3302272924350197,0.7004993170229511,138,"OrderedDict([('C', 2.6299802721171672), ('epsilon', 0.19926624377612098), ('gamma', 0.09337577844433277)])"
0.34337756204606384,0.703338458511344,138,"OrderedDict([('C', 2.1186549847104894), ('epsilon', 0.17705584664361335), ('gamma', 0.0913768239780744)])"
0.33985157718079784,0.7120259852083018,137,"OrderedDict([('C', 2.333543133843925), ('epsilon', 0.2037099088143517), ('gamma', 0.09036144126231112)])"
0.3507168101679692,0.6604585335534188,138,"OrderedDict([('C', 2.1340448610427774), ('epsilon', 0.16195737623378667), ('gamma', 0.08870657489529415)])"
