RMSE (train),RMSE (test),p,best_params
0.3932346703073608,0.6677192547031551,168,"OrderedDict([('C', 2.3137172740369736), ('epsilon', 0.28593170649542315), ('gamma', 0.009382379734530306)])"
0.42674242401394524,0.7228322861598894,168,"OrderedDict([('C', 2.2046176553008463), ('epsilon', 0.26783339015145413), ('gamma', 0.007611992903694519)])"
0.38466988577158845,0.7489258286330506,166,"OrderedDict([('C', 2.198392442512577), ('epsilon', 0.2042545080550766), ('gamma', 0.00875446557456613)])"
0.35549554285202145,0.6573496901470147,166,"OrderedDict([('C', 2.6751858753140496), ('epsilon', 0.21658198841511017), ('gamma', 0.009616837945467865)])"
0.3811765590909668,0.8045523058911832,169,"OrderedDict([('C', 2.088866276491461), ('epsilon', 0.23971718766951702), ('gamma', 0.009564203387888482)])"
0.4316732699211515,0.6690255204534349,168,"OrderedDict([('C', 2.6587490996716645), ('epsilon', 0.3408541339724289), ('gamma', 0.007202352775270287)])"
0.35117452990930986,0.7053810532824426,168,"OrderedDict([('C', 2.021551357952877), ('epsilon', 0.0), ('gamma', 0.010677246428265423)])"
0.3821186187810048,0.7404754805921225,166,"OrderedDict([('C', 2.3324490901448245), ('epsilon', 0.2720184755723385), ('gamma', 0.009439535939233872)])"
0.34164900227163786,0.748101399964679,164,"OrderedDict([('C', 1.9168056572196432), ('epsilon', 0.0), ('gamma', 0.011227572397650707)])"
0.36988579230675467,0.7230925441831135,166,"OrderedDict([('C', 2.275277963259557), ('epsilon', 0.22150313015120174), ('gamma', 0.009671439668900867)])"
