RMSE (train),RMSE (test),p,best_params
0.3717624613798868,0.6744414949325733,512,"OrderedDict([('colsample_bytree', 0.5), ('gamma', 0.1), ('learning_rate', 0.03), ('max_depth', 10), ('min_child_weight', 0.0), ('n_estimators', 296), ('subsample', 0.5)])"
0.2366913087540844,0.7331087810315673,512,"OrderedDict([('colsample_bytree', 0.5), ('gamma', 0.1), ('learning_rate', 0.03), ('max_depth', 15), ('min_child_weight', 2.2345145460293407), ('n_estimators', 941), ('subsample', 0.771086388325418)])"
0.269785700269204,0.758939401047046,512,"OrderedDict([('colsample_bytree', 0.5), ('gamma', 0.1), ('learning_rate', 0.04391265791585053), ('max_depth', 20), ('min_child_weight', 2.7470062707675864), ('n_estimators', 1000), ('subsample', 1.0)])"
0.24429731189472964,0.7113208086078094,512,"OrderedDict([('colsample_bytree', 0.5), ('gamma', 0.1), ('learning_rate', 0.03673880492741905), ('max_depth', 20), ('min_child_weight', 1.9063047363422625), ('n_estimators', 993), ('subsample', 1.0)])"
0.25383416090301036,0.8745867456600802,512,"OrderedDict([('colsample_bytree', 0.5), ('gamma', 0.1), ('learning_rate', 0.03), ('max_depth', 17), ('min_child_weight', 2.0240499131045135), ('n_estimators', 1000), ('subsample', 0.8784639819922406)])"
0.21037217382467494,0.7246058469594175,512,"OrderedDict([('colsample_bytree', 0.5), ('gamma', 0.1), ('learning_rate', 0.03), ('max_depth', 15), ('min_child_weight', 0.0), ('n_estimators', 1000), ('subsample', 0.6887663406474744)])"
0.21681350885531722,0.731309005494797,512,"OrderedDict([('colsample_bytree', 0.5), ('gamma', 0.1), ('learning_rate', 0.03), ('max_depth', 20), ('min_child_weight', 0.0), ('n_estimators', 1000), ('subsample', 0.838334281117257)])"
0.3094639992771483,0.7590308421427663,512,"OrderedDict([('colsample_bytree', 0.5), ('gamma', 0.001), ('learning_rate', 0.04325881743037027), ('max_depth', 18), ('min_child_weight', 0.0), ('n_estimators', 100), ('subsample', 0.6340847947988022)])"
0.2355044316354079,0.7524616689917708,512,"OrderedDict([('colsample_bytree', 0.5), ('gamma', 0.1), ('learning_rate', 0.03), ('max_depth', 18), ('min_child_weight', 2.1558796183859137), ('n_estimators', 1000), ('subsample', 0.7870198065953369)])"
0.3588554065682494,0.8224709514375358,512,"OrderedDict([('colsample_bytree', 0.505384425215945), ('gamma', 0.0010187539257950542), ('learning_rate', 0.05414215690211224), ('max_depth', 15), ('min_child_weight', 4.207377216284123), ('n_estimators', 139), ('subsample', 0.7331659629580229)])"
