Seed,Model,fold,MAE,MdAE,RMSE,R2,Algorithm,Features
0,KNN_cddd,0,0.4787891522251766,0.32436017085114655,0.6635370677779561,0.3845140074983815,KNN,CDDD embedding
0,KNN_cddd,1,0.4932703868256507,0.3263071600066829,0.7157621644352974,0.2955957584853671,KNN,CDDD embedding
0,KNN_cddd,2,0.45381093771206577,0.3309302510309178,0.6313461744336536,0.39705565384874475,KNN,CDDD embedding
0,KNN_cddd,3,0.4788134731738965,0.3868923072354993,0.6504664426321054,0.41739997541858165,KNN,CDDD embedding
0,KNN_cddd,4,0.47634185826266223,0.3600151392309414,0.6460314041630644,0.3677213831284353,KNN,CDDD embedding
0,KNN_cddd,5,0.5281052714995693,0.3629506291352662,0.8890748658847906,0.2851018537380341,KNN,CDDD embedding
0,KNN_cddd,6,0.45158618079677065,0.336351003300698,0.6136603666075385,0.41589619955477963,KNN,CDDD embedding
0,KNN_cddd,7,0.4417385970849697,0.3484879150211544,0.6221112301395264,0.4264830649590067,KNN,CDDD embedding
0,KNN_cddd,8,0.43645318651239084,0.3277814289214511,0.599394565151626,0.48346047763512245,KNN,CDDD embedding
0,KNN_cddd,9,0.4307578695953391,0.30434421900585873,0.5880344355508045,0.3935394889071986,KNN,CDDD embedding
0,KNN_maccs,0,0.4550465009046334,0.2928178482966026,0.6377966677261228,0.43134051587813194,KNN,MACCS fingerprint
0,KNN_maccs,1,0.4722351743408313,0.30181707608404507,0.6729508004909648,0.3773397878976328,KNN,MACCS fingerprint
0,KNN_maccs,2,0.4490121685935746,0.3306153776991274,0.6353249485914907,0.3894321385012458,KNN,MACCS fingerprint
0,KNN_maccs,3,0.49168349438555986,0.38345563254220894,0.6890965660526776,0.34614586083662713,KNN,MACCS fingerprint
0,KNN_maccs,4,0.5050329797202014,0.37420443669603376,0.7185825593666035,0.21773377565309637,KNN,MACCS fingerprint
0,KNN_maccs,5,0.5133916107223567,0.3419383797353355,0.9047502586689817,0.2596707013939078,KNN,MACCS fingerprint
0,KNN_maccs,6,0.4562164306349217,0.36324312291028704,0.5937617401316496,0.4531624848573168,KNN,MACCS fingerprint
0,KNN_maccs,7,0.45221121351740906,0.3345779624890466,0.6190069299798886,0.4321924193539556,KNN,MACCS fingerprint
0,KNN_maccs,8,0.46326230585253353,0.28622321791853,0.6511221281509683,0.39045908177789923,KNN,MACCS fingerprint
0,KNN_maccs,9,0.42123229855180266,0.30477712471157625,0.5758922629012896,0.41832620789291053,KNN,MACCS fingerprint
0,KNN_morgan-512,0,0.4705938230841222,0.3111942794202758,0.6553348424122677,0.39963645590297514,KNN,MORGAN fingerprint
0,KNN_morgan-512,1,0.48470255043801147,0.35479034692982614,0.6855657350362876,0.3537765798672883,KNN,MORGAN fingerprint
0,KNN_morgan-512,2,0.44008602401200203,0.3217779847683866,0.6152609453094083,0.42738750912029044,KNN,MORGAN fingerprint
0,KNN_morgan-512,3,0.49063530021294116,0.36674718557975305,0.6900649549041584,0.34430684436717507,KNN,MORGAN fingerprint
0,KNN_morgan-512,4,0.4987736361221933,0.4015856764238923,0.6586605356673388,0.3427591922627523,KNN,MORGAN fingerprint
0,KNN_morgan-512,5,0.5198415503612818,0.3596596122737914,0.9275509577861559,0.22188630066397208,KNN,MORGAN fingerprint
0,KNN_morgan-512,6,0.43838222163100127,0.3200146544792126,0.5859725135706706,0.4674156857736045,KNN,MORGAN fingerprint
0,KNN_morgan-512,7,0.42756777323807676,0.3065947088555281,0.5948664310306552,0.4756164154550503,KNN,MORGAN fingerprint
0,KNN_morgan-512,8,0.45217374461680804,0.2992322842504649,0.6256878919455552,0.4371489811087623,KNN,MORGAN fingerprint
0,KNN_morgan-512,9,0.45512982804520624,0.3091180055137861,0.6352546795926626,0.29222901482440267,KNN,MORGAN fingerprint
0,KNN_rdkit,0,0.47497389052427674,0.33730470817814195,0.6661662363935457,0.3796267977052593,KNN,RDKIT descriptors
0,KNN_rdkit,1,0.4507377509711806,0.33245550779410826,0.6593561055035688,0.40224316438821095,KNN,RDKIT descriptors
0,KNN_rdkit,2,0.42743428280014156,0.336593684671443,0.5924037372111483,0.46914281491903775,KNN,RDKIT descriptors
0,KNN_rdkit,3,0.4872930524192272,0.37754174664627627,0.6896738300571315,0.3450499199398276,KNN,RDKIT descriptors
0,KNN_rdkit,4,0.4961204591417658,0.37431427997311073,0.6779924993018084,0.3036124259775136,KNN,RDKIT descriptors
