ID,y,yhat,y_mg,yhat_mg,p,res,casrn,name,canonical order SMILES,Kingdom,Superclass,Class,Subclass
1,-5.648279391587241,-4.42128112151603,-0.4508444450910295,0.7761538225124607,337.1,-1.2269982700712116,100-00-5,1-Chloro-4-nitrobenzene,O=[N+]([O-])c1ccc(Cl)cc1,Organic compounds,Benzenoids,Benzene and substituted derivatives,Nitrobenzenes
2,-3.5334814705618554,-3.6916876060315538,1.6067939646693923,1.4485878235259102,337.15,0.15820613546969842,100-01-6,4-Nitroaniline,Nc1ccc([N+](=O)[O-])cc1,Organic compounds,Benzenoids,Benzene and substituted derivatives,Nitrobenzenes
12,-3.824716560426821,-3.4516477521860067,1.3373876205539783,1.7104564285225456,336.95,-0.37306880824081423,1001354-72-8,"4-Octanol, 3-amino-",CCCCC(O)C(N)CC,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines
14,-4.050020922204971,-3.392518833544756,1.93802317536704,2.5955252622927576,336.85,-0.6575020886602152,10016-20-3,alpha-Cyclodextrin,OCC1OC2OC3C(CO)OC(OC4C(CO)OC(OC5C(CO)OC(OC6C(CO)OC(OC7C(CO)OC(OC1C(O)C2O)C(O)C7O)C(O)C6O)C(O)C5O)C(O)C4O)C(O)C3O,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
37,-3.575950040372425,-3.420798835891099,1.4929479256233045,1.6480991314592242,337.25,-0.15515120448132613,100-37-8,"N,N-Diethylethanolamine",CCN(CC)CCO,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines
40,-3.226584457223344,-3.451934346273511,2.3078186356359613,2.082468752011246,336.9,0.22534988905016684,100402-60-6,"d-Glucose, ether with glycerol",O=CC(OC(C=O)C(O)C(O)C(O)CO)C(O)C(O)C(O)CO.OCC(O)CO,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
41,-3.403502711328085,-3.447492667804969,1.6306603236982045,1.5866703719956115,337.1,0.043989956476884196,100-40-3,4-Vinylcyclohexene,C=CC1CC=CCC1,Organic compounds,Hydrocarbons,Unsaturated hydrocarbons,Olefins
44,-3.8361923736436183,-3.62182577581835,1.1814752403484916,1.3958418502046204,337.05,-0.21436659782526846,100-42-5,Styrene,C=Cc1ccccc1,Organic compounds,Benzenoids,Benzene and substituted derivatives,Styrenes
45,-3.439758614579289,-2.95027192250125,1.759681145981799,2.249167838720042,336.9,-0.4894866920780392,10042-59-8,2-Propyl-1-heptanol,CCCCCC(CO)CCC,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohols
53,-3.442628873060653,-3.8050434560447703,1.5873876205060655,1.2249730418329985,337.15,0.3624145829841172,100-46-9,Benzylamine,NCc1ccccc1,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenylmethylamines
54,-3.736202634253528,-3.611249835992929,1.277157115943604,1.4021099227072162,336.95,-0.12495279826059891,100-47-0,Benzonitrile,N#Cc1ccccc1,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzonitriles
58,-3.286708306074007,-3.6145950907720334,1.7472780591655983,1.419391280618999,337.05,0.32788678469802646,100-51-6,Benzyl alcohol,OCc1ccccc1,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzyl alcohols
60,-4.598536853312987,-3.9716426997142804,0.4956127155063549,1.1225068750540719,337.1,-0.6268941535987063,100-53-8,Benzenemethanethiol,SCc1ccccc1,Organic compounds,Benzenoids,Benzene and substituted derivatives,
61,-3.2053490430517377,-3.1619138238266506,2.272470863519841,2.315906076350184,336.75,-0.043435219225087085,100545-48-0,"Reaction products of 12-hydroxyoctadecanoic acid with ethane-1,2-diamine",CCCCCCC(O)CCCCCCCCCCC(=O)O.NCCN,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
76,-4.112084636004799,-3.891425471353565,1.526222878109704,1.746882031092548,337.2,-0.22065916465123436,100784-20-1,Halosulfuron-methyl,COC(=O)c1c(Cl)nn(C)c1S(=O)(=O)NC(=O)Nc1nc(OC)cc(OC)n1,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Sulfonylureas
77,-2.7098003823869625,-3.2198996443606154,2.4112963614503844,1.9011971030829726,337.2,0.5100992619736529,100-79-8,Solketal,CC1(C)OCC(CO)O1,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Ethers
79,-3.6304444488907537,-3.7003006072326436,1.5462861998001427,1.4764300465724167,337.1,0.06985615834188996,100-86-7,2-Methyl-1-phenylpropan-2-ol,CC(C)(O)Cc1ccccc1,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenylpropanes
81,-3.454176527762949,-3.5285367730773642,1.6925405079810267,1.6181802669165055,337.0,0.07436024531441543,100-97-0,Methenamine,C1N2CN3CN1CN(C2)C3,Organic compounds,Organoheterocyclic compounds,Triazinanes,"1,3,5-triazinanes"
89,-4.609722883094446,-4.180142222020051,0.8820434966663925,1.3116241153076158,337.05,-0.42958066107439485,101-02-0,Triphenyl phosphite,c1ccc(OP(Oc2ccccc2)Oc2ccccc2)cc1,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenoxy compounds
94,-3.990583518598084,-4.290707371269589,1.4495790687049444,1.149455222627676,337.15,0.30012385267150465,101-05-3,Anilazine,Clc1nc(Cl)nc(Nc2ccccc2Cl)n1,Organic compounds,Benzenoids,Benzene and substituted derivatives,Aniline and substituted anilines
98,-3.6404669137337167,-4.012263570291336,1.6619094770981193,1.2901128162959528,337.15,0.3717966565576192,101-10-0,Cloprop,CC(Oc1cccc(Cl)c1)C(=O)O,Organic compounds,Benzenoids,Benzene and substituted derivatives,2-phenoxypropionic acids
100,-4.6659884455572245,-4.148299170654735,0.7607813636354771,1.2784706349483694,337.25,-0.5176892749024891,101-14-4,"4,4'-Methylenebis(2-chloroaniline)",Nc1ccc(Cc2ccc(N)c(Cl)c2)cc1Cl,Organic compounds,Benzenoids,Benzene and substituted derivatives,Diphenylmethanes
103,-5.146256514888593,-3.897224614417342,0.4507768549742693,1.6998087626530658,337.0,-1.2490319004712513,101200-48-0,Tribenuron-methyl,COC(=O)c1ccccc1S(=O)(=O)NC(=O)N(C)c1nc(C)nc(OC)n1,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Sulfonylureas
104,-3.8717853995571603,-4.302818090044515,1.627333705422087,1.1963010300008854,337.45,0.43103269048735493,101-20-2,Triclocarban,O=C(Nc1ccc(Cl)cc1)Nc1ccc(Cl)c(Cl)c1,Organic compounds,Benzenoids,Benzene and substituted derivatives,N-phenylureas
105,-4.214994235651407,-4.242022214849526,1.2975220656782236,1.270494084106693,337.45,0.02702797919811939,101205-02-1,Cycloxydim,CCCC(=NOCC)C1C(=O)CC(C2CCCSC2)CC1=O,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds
106,-3.650021735919272,-4.4763723422845825,1.6797096186341167,0.8533590178124886,337.3,0.8263506063653105,101-21-3,Chlorpropham,CC(C)OC(=O)Nc1cccc(Cl)c1,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenylcarbamic acid esters
109,-4.424201028545263,-3.8982827918512397,1.106720612301987,1.6326388544503883,337.15,-0.5259182366940234,101238-01-1,"2,2,6,6-Tetramethylpiperidin-4-yl dodecanoate",CCCCCCCCCCCC(=O)OC1CC(C)(C)NC(C)(C)C1,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters
129,-3.716434006587412,-3.6182029546944214,1.4484806887496946,1.5467117484829918,337.15,-0.09823105189299053,101-39-3,2-Methylcinnamic aldehyde,CC(C=O)=Cc1ccccc1,Organic compounds,Phenylpropanoids and polyketides,Cinnamaldehydes,
131,-3.122369436123575,-3.2041953827005427,2.0542339883025766,1.9724080302789946,336.85,0.08182594657696773,101-41-7,Methyl phenylacetate,COC(=O)Cc1ccccc1,Organic compounds,Benzenoids,Benzene and substituted derivatives,
133,-3.049808438981631,-3.5161292592527333,2.1761104949799246,1.7097896875251917,337.35,0.4663208202711022,101-43-9,Cyclohexyl methacrylate,C=C(C)C(=O)OC1CCCCC1,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives
