RMSE (train),RMSE (test),p,best_params
0.41405094779722007,0.6807849260304469,136,"OrderedDict([('C', 1.779742075045043), ('epsilon', 0.16154341220058238), ('gamma', 0.057692574813742285)])"
0.42661353358673665,0.5903494112430019,135,"OrderedDict([('C', 1.5373606782762335), ('epsilon', 0.13688207608407815), ('gamma', 0.06318331998092652)])"
0.4109872847730595,0.5854802905955414,135,"OrderedDict([('C', 2.0376046437835993), ('epsilon', 0.15123471583170262), ('gamma', 0.057712435857049035)])"
0.4524483364610764,0.6481510132855784,136,"OrderedDict([('C', 1.5875641665434492), ('epsilon', 0.2395684425387081), ('gamma', 0.0528214685081734)])"
0.38754361202568044,0.6964147241151858,135,"OrderedDict([('C', 1.7375960727743158), ('epsilon', 0.14259876259802906), ('gamma', 0.06711006016888107)])"
0.42957130494806733,0.6115461771467122,135,"OrderedDict([('C', 1.7283253116272368), ('epsilon', 0.12044502759780246), ('gamma', 0.05508171293968812)])"
0.45183321490924144,0.5642314316126026,136,"OrderedDict([('C', 1.1040339520616795), ('epsilon', 0.1436649566849457), ('gamma', 0.06787323279568021)])"
0.41529540665501474,0.5316454545102902,136,"OrderedDict([('C', 1.5870929371340556), ('epsilon', 0.1378220811030277), ('gamma', 0.06886818573021791)])"
0.43002147580462846,0.5188027387307154,135,"OrderedDict([('C', 1.44461059140155), ('epsilon', 0.14707034716089024), ('gamma', 0.06921383333286554)])"
0.37761597624708526,0.8725785240342728,136,"OrderedDict([('C', 1.812327740195934), ('epsilon', 0.17670483278195903), ('gamma', 0.057041004395708694)])"
