ID,y,yhat,fold,p,MW,y_mg,yhat_mg
54,-3.736202634253528,-3.748371858018857,0,162,103.12399999999997,1.2771571159436041,1.2649878921782751
89,-4.609722883094446,-4.284134753704687,0,162,310.28900000000004,0.8820434966663924,1.2076316260561515
94,-3.990583518598084,-4.249445221361654,0,162,275.526,1.4495790687049444,1.1907173659413743
109,-4.424201028545263,-3.660636403231154,0,162,339.5640000000001,1.106720612301987,1.8702852376160963
161,-4.7652807479140105,-3.668438713821506,0,162,177.203,0.4831903221901644,1.5800323562826688
276,-3.8721467213474514,-3.808209313647598,0,162,190.286,1.4072601155659012,1.4711975232657546
279,-3.248481446540933,-3.6643690076666466,0,162,275.308,2.1913373849227757,1.7754498237970622
304,-3.048021790842108,-3.406931066950488,0,162,182.219,2.2125718681008193,1.8536625919924394
309,-3.75366928265694,-3.7975797468835104,0,162,129.247,1.3577511886559148,1.3138407244293446
317,-3.3204421695064386,-3.5818042150503504,0,162,122.167,1.7665117397275516,1.5051496941836398
322,-3.2794897674881964,-3.5166382830305993,0,162,174.28399999999996,1.9617677514022838,1.7246192358598809
431,-3.771660393553929,-3.908557429439156,0,162,55.07999999999999,0.9693335380309572,0.8324365021457302
454,-2.886900841721353,-3.1868507435834097,0,162,118.176,2.1856284442495317,1.8856785423874751
459,-3.5448655666480837,-3.6234694549011226,0,162,236.536,1.8290316816457075,1.7504277933926686
493,-2.5664240280690245,-3.3188555140922826,0,162,102.08899999999998,2.4425549216901348,1.6901234356668768
499,-4.165910527783366,-3.865044909579165,0,162,107.156,0.8641059657833529,1.1649715839875536
554,-2.7167122267579624,-2.973136158449176,0,162,102.13299999999998,2.2924538620704396,2.036029930379226
610,-3.3705954199995074,-3.198947672733428,0,162,90.122,1.5842354010829762,1.7558831483490556
625,-2.72115748606034,-3.1218431717213133,0,162,133.191,2.4033173935607888,2.0026317078998153
678,-4.824739810648024,-4.3385918830577035,0,162,400.47500000000014,0.7778355994078611,1.2639835269981818
688,-3.2119729431108084,-3.4053002443294593,0,162,108.184,1.822190091915481,1.62886279069683
721,-2.7073556492159114,-3.061073611094794,0,162,158.241,2.4919633695588663,2.138245407679984
736,-2.927679947462532,-3.041727161442043,0,162,162.22899999999998,2.282448543683939,2.1684013297044276
740,-3.4275023924581958,-3.16739459244822,0,162,184.279,1.837973454406252,2.0980812544162277
746,-2.7119452813278526,-2.89520133484118,0,162,172.31199999999998,2.5243702419258063,2.341114188412479
764,-2.806840359472714,-2.93600100244455,0,162,214.39299999999997,2.5243702419258063,2.3952095989539703
770,-2.862420842878891,-3.1523365298372927,0,162,340.59200000000004,2.669813599935423,2.3798979129770212
794,-4.721808008879447,-4.667895143659595,0,162,336.826,0.8055975989502734,0.8595104641701251
805,-4.107829440847787,-4.681466964679299,0,162,370.83,1.4613454202973504,0.8877078964658391
807,-5.869039870011616,-4.789238533160826,0,162,406.9290000000001,-0.259521228840596,0.8202801080101947
849,-3.203645184837305,-3.6560747012108425,0,162,344.37000000000006,2.3333801257667632,1.8809506093932253
855,-3.607747121883693,-3.8701684468231314,0,162,390.5640000000004,1.9839450880822715,1.7215237631428333
898,-4.42699651808598,-4.1020267252407665,0,162,340.50700000000006,1.105129526298286,1.4300993191434999
994,-3.902223509001304,-4.117597889245132,0,162,182.135,1.3581699010785606,1.142795520834733
1042,-3.538639505792084,-3.5534058019635375,0,162,167.11999999999998,1.684388921180168,1.6696226250087145
1054,-4.8434126484022935,-5.628225864147505,0,162,277.238,0.599440108775732,-0.18537310696947978
1074,-3.313827940507398,-3.8448897464260567,0,162,426.28500000000014,2.3158721105731357,1.784810304654477
1182,-3.1699775801597303,-3.038731211408272,0,162,142.242,1.9830502699263164,2.1142966386777746
1199,-3.756320630633512,-3.1642467587963212,0,162,89.13799999999999,1.1937422549085677,1.7858161267457586
1241,-4.243233707080591,-3.950923923764815,0,162,492.43600000000026,1.4491160878485563,1.741425871164333
1267,-3.374055757372328,-3.374551020207732,0,162,87.122,1.5660720792903804,1.5655768164549768
1350,-7.43451504305406,-5.6006095207606545,0,162,288.44000000000005,-1.9744595561651737,-0.14055403387176807
1378,-3.331932445563832,-3.7976018899325585,0,162,262.39300000000003,2.087019799385508,1.621350355016782
1500,-5.51213291470201,-4.8165687931878916,0,162,329.76200000000006,0.006067693728547726,0.7016318152426666
1525,-4.283358151344685,-4.7063717660973605,0,162,474.8190000000002,1.3931699376869404,0.9701563229342648
1594,-4.46699489051699,-4.429139251386114,0,162,430.907,1.167388658657664,1.2052442977885398
5038,-5.0365021706869015,-4.729400594080336,0,162,419.9080000000001,0.5866519781181224,0.893753554724688
1785,-5.262044436298624,-4.452605767024977,0,162,363.336,0.2982639943930758,1.107702663666723
1838,-3.222385653630854,-3.243948939791335,0,162,146.23,1.9426508263637114,1.9210875402032304
1842,-3.2783970519051264,-3.596297515637535,0,162,145.16099999999997,1.8834528994461122,1.5655524357137034
1914,-3.334034058460773,-3.540058735034739,0,162,286.456,2.1230238647895523,1.9169991882155861
129,-3.716434006587412,-3.6393625694358085,0,162,146.18899999999996,1.4484806887496946,1.525552125901298
1921,-3.48331933229239,-4.36725098471496,0,162,167.25799999999998,1.7400675670787962,0.8561359146562264
1950,-3.4651381319296624,-3.414153643807454,0,162,266.403,1.9604009792446886,2.0113854673668974
1971,-4.473799791314328,-4.254743209951973,0,162,292.362,0.9921211328443607,1.2111777142067164
1986,-2.8924330535862586,-3.6966249358518546,0,162,201.247,2.4112963614503844,1.6071044791847882
