ID,y,yhat,fold,p,MW,y_mg,yhat_mg
54,-3.736202634253528,-3.6637788,0,512,103.12399999999997,1.2771571159436041,1.3495809706714201
89,-4.609722883094446,-3.8889759,0,512,310.28900000000004,0.8820434966663924,1.6027905438317074
94,-3.990583518598084,-4.420332,0,512,275.526,1.4495790687049444,1.0198306463041082
109,-4.424201028545263,-4.0855937,0,512,339.5640000000001,1.106720612301987,1.4453279499701777
161,-4.7652807479140105,-3.7085068,0,512,177.203,0.4831903221901644,1.5399642425784328
276,-3.8721467213474514,-3.992517,0,512,190.286,1.4072601155659012,1.2868898387160899
279,-3.248481446540933,-3.5610154,0,512,275.308,2.1913373849227757,1.8788034488666518
304,-3.048021790842108,-3.2890818,0,512,182.219,2.2125718681008193,1.9715118355416639
309,-3.75366928265694,-3.564877,0,512,129.247,1.3577511886559148,1.546543453851759
317,-3.3204421695064386,-3.711445,0,512,122.167,1.7665117397275516,1.375508819684816
322,-3.2794897674881964,-3.47543,0,512,174.28399999999996,1.9617677514022838,1.7658275198192337
431,-3.771660393553929,-3.6385236,0,512,55.07999999999999,0.9693335380309572,1.1024703406425476
454,-2.886900841721353,-2.8957875,0,512,118.176,2.1856284442495317,2.1767418237429355
459,-3.5448655666480837,-3.9326093,0,512,236.536,1.8290316816457075,1.441287934152543
493,-2.5664240280690245,-3.735714,0,512,102.08899999999998,2.4425549216901348,1.273264974113984
499,-4.165910527783366,-3.47885,0,512,107.156,0.8641059657833529,1.5511666023377813
554,-2.7167122267579624,-2.8961384,0,512,102.13299999999998,2.2924538620704396,2.113027652383326
610,-3.3705954199995074,-3.3245373,0,512,90.122,1.5842354010829762,1.6302935376170968
625,-2.72115748606034,-3.23161,0,512,133.191,2.4033173935607888,1.892864802330271
678,-4.824739810648024,-4.2713585,0,512,400.47500000000014,0.7778355994078611,1.331216913549549
688,-3.2119729431108084,-3.421984,0,512,108.184,1.822190091915481,1.612179093066047
721,-2.7073556492159114,-3.0914013,0,512,158.241,2.4919633695588663,2.1079176846338723
736,-2.927679947462532,-3.1019716,0,512,162.22899999999998,2.282448543683939,2.108156868357242
740,-3.4275023924581958,-3.4109912,0,512,184.279,1.837973454406252,1.8544846708069673
746,-2.7119452813278526,-2.7846496,0,512,172.31199999999998,2.5243702419258063,2.451665902545102
764,-2.806840359472714,-2.7846496,0,512,214.39299999999997,2.5243702419258063,2.5465609806899634
770,-2.862420842878891,-3.0914013,0,512,340.59200000000004,2.669813599935423,2.440833108673408
794,-4.721808008879447,-4.815214,0,512,336.826,0.8055975989502734,0.7121914666540081
805,-4.107829440847787,-4.0956264,0,512,370.83,1.4613454202973504,1.473548507386916
807,-5.869039870011616,-4.0365067,0,512,406.9290000000001,-0.259521228840596,1.5730119916708687
849,-3.203645184837305,-3.0909936,0,512,344.37000000000006,2.3333801257667632,2.4460316731571305
855,-3.607747121883693,-3.9960163,0,512,390.5640000000004,1.9839450880822715,1.595675958681559
898,-4.42699651808598,-3.8421645,0,512,340.50700000000006,1.105129526298286,1.6899615369620875
994,-3.902223509001304,-4.140839,0,512,182.135,1.3581699010785606,1.119554331552167
1042,-3.538639505792084,-4.086576,0,512,167.11999999999998,1.684388921180168,1.1364524266753917
1054,-4.8434126484022935,-5.7001357,0,512,277.238,0.599440108775732,-0.2572829412270805
1074,-3.313827940507398,-4.0927076,0,512,426.28500000000014,2.3158721105731357,1.5369924124724854
1182,-3.1699775801597303,-2.9884639,0,512,142.242,1.9830502699263164,2.1645639880453484
1199,-3.756320630633512,-3.1409562,0,512,89.13799999999999,1.1937422549085677,1.8091067190156216
1241,-4.243233707080591,-4.0411515,0,512,492.43600000000026,1.4491160878485563,1.6511982592313654
1267,-3.374055757372328,-3.5118628,0,512,87.122,1.5660720792903804,1.4282650889445314
1350,-7.43451504305406,-6.414959,0,512,288.44000000000005,-1.9744595561651737,-0.9549034774280747
1378,-3.331932445563832,-3.945468,0,512,262.39300000000003,2.087019799385508,1.4734843068019317
1500,-5.51213291470201,-4.7662115,0,512,329.76200000000006,0.006067693728547726,0.7519890947359291
1525,-4.283358151344685,-4.546935,0,512,474.8190000000002,1.3931699376869404,1.1295930029875676
1594,-4.46699489051699,-3.962627,0,512,430.907,1.167388658657664,1.6717566173627822
5038,-5.0365021706869015,-5.5211387,0,512,419.9080000000001,0.5866519781181224,0.10201547349624376
1785,-5.262044436298624,-4.6983223,0,512,363.336,0.2982639943930758,0.8619861478045213
1838,-3.222385653630854,-3.1745012,0,512,146.23,1.9426508263637114,1.9905353126751475
1842,-3.2783970519051264,-3.5069823,0,512,145.16099999999997,1.8834528994461122,1.6548676236445354
1914,-3.334034058460773,-3.6902852,0,512,286.456,2.1230238647895523,1.7667727105322912
