RMSE (train),RMSE (test),p,best_params
0.05843097712745527,0.5718939266337771,162,"OrderedDict([('colsample_bytree', 0.5), ('gamma', 0.015796385244765978), ('learning_rate', 0.03), ('max_depth', 9), ('min_child_weight', 0.0), ('n_estimators', 1000), ('subsample', 0.7461966092019521)])"
0.03423027138022411,0.5513572709503376,164,"OrderedDict([('colsample_bytree', 0.5), ('gamma', 0.001), ('learning_rate', 0.03), ('max_depth', 11), ('min_child_weight', 0.0), ('n_estimators', 408), ('subsample', 0.6019451973748984)])"
0.1419830692465206,0.6181014987619594,161,"OrderedDict([('colsample_bytree', 0.5), ('gamma', 0.1), ('learning_rate', 0.0417459525188149), ('max_depth', 14), ('min_child_weight', 10.0), ('n_estimators', 1000), ('subsample', 0.775146654571641)])"
0.1472745857332157,0.5575853828729384,162,"OrderedDict([('colsample_bytree', 0.5), ('gamma', 0.1), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 0.0), ('n_estimators', 1000), ('subsample', 0.879800444086243)])"
0.12318421034982252,0.6501735906162945,161,"OrderedDict([('colsample_bytree', 0.5), ('gamma', 0.1), ('learning_rate', 0.04335431179337731), ('max_depth', 12), ('min_child_weight', 0.0), ('n_estimators', 1000), ('subsample', 0.6425155162554329)])"
0.12146142217769722,0.5460047996800815,162,"OrderedDict([('colsample_bytree', 0.5), ('gamma', 0.06832775871899095), ('learning_rate', 0.03), ('max_depth', 7), ('min_child_weight', 0.0), ('n_estimators', 1000), ('subsample', 0.7725182458997621)])"
0.12278095616623677,0.5678575514899022,162,"OrderedDict([('colsample_bytree', 0.5), ('gamma', 0.1), ('learning_rate', 0.03), ('max_depth', 17), ('min_child_weight', 0.0), ('n_estimators', 1000), ('subsample', 0.7481855698509058)])"
0.0680265787443355,0.5754471025312441,163,"OrderedDict([('colsample_bytree', 0.5), ('gamma', 0.001), ('learning_rate', 0.045078388646203005), ('max_depth', 13), ('min_child_weight', 0.0), ('n_estimators', 100), ('subsample', 0.8810766493411164)])"
0.18021218434183586,0.7834407921834956,162,"OrderedDict([('colsample_bytree', 0.5), ('gamma', 0.001), ('learning_rate', 0.06821632034960987), ('max_depth', 9), ('min_child_weight', 7.5088274410145495), ('n_estimators', 100), ('subsample', 1.0)])"
0.12443807860545245,0.5886082874999199,164,"OrderedDict([('colsample_bytree', 0.5), ('gamma', 0.1), ('learning_rate', 0.03), ('max_depth', 20), ('min_child_weight', 0.0), ('n_estimators', 529), ('subsample', 0.5)])"
