RMSE (train),RMSE (test),p,best_params
0.6645935690467187,0.6277959181862628,134,"OrderedDict([('alpha', 0.009298290306586092), ('l1_ratio', 0.0)])"
0.653405750815434,0.7136917725936027,135,"OrderedDict([('alpha', 0.00939372652950605), ('l1_ratio', 0.0)])"
0.6633686631850053,0.6439979123298479,137,"OrderedDict([('alpha', 0.00206288322594806), ('l1_ratio', 1.0)])"
0.6581264826518437,0.6384800948484282,136,"OrderedDict([('alpha', 0.0011151313659516552), ('l1_ratio', 1.0)])"
0.6576947810013359,0.6524060798725799,136,"OrderedDict([('alpha', 0.0076617832624374825), ('l1_ratio', 0.0)])"
0.6489862500408062,0.7459572028221474,136,"OrderedDict([('alpha', 0.001300577503533903), ('l1_ratio', 1.0)])"
0.6617791052480707,0.6258020644139786,136,"OrderedDict([('alpha', 0.008353580295892473), ('l1_ratio', 0.0)])"
0.6267173548394221,0.8833834082270579,136,"OrderedDict([('alpha', 0.00671257204995092), ('l1_ratio', 0.0)])"
0.6607648455790455,0.6414617644244178,136,"OrderedDict([('alpha', 0.009979721784301005), ('l1_ratio', 0.0)])"
0.661029442121093,0.6760337487423531,136,"OrderedDict([('alpha', 0.0019969355509035424), ('l1_ratio', 1.0)])"
