RMSE (train),RMSE (test),p,best_params
0.3321902038296904,0.6417137204611192,512,"OrderedDict([('C', 1.759222911210619), ('epsilon', 0.11061593322700813), ('gamma', 0.04369815678264666)])"
0.3304122475017138,0.681308827138464,512,"OrderedDict([('C', 1.748834860103816), ('epsilon', 0.15171391876042295), ('gamma', 0.04813276812018084)])"
0.3463493297535462,0.6332289151846584,512,"OrderedDict([('C', 1.7195602103107457), ('epsilon', 0.14241840280131007), ('gamma', 0.04161314071934541)])"
0.3540689120184571,0.5899583348174531,512,"OrderedDict([('C', 1.790776954033667), ('epsilon', 0.19226176817365626), ('gamma', 0.04443274172197323)])"
0.340148273419444,0.6321438344462995,512,"OrderedDict([('C', 1.6183856369550487), ('epsilon', 0.12012210330720048), ('gamma', 0.04775095889610283)])"
0.32349217620497833,0.7193117670085538,512,"OrderedDict([('C', 1.885982796701364), ('epsilon', 0.12270449406795035), ('gamma', 0.04137394248264388)])"
0.3606125014497417,0.604341976541075,512,"OrderedDict([('C', 1.8467876218853505), ('epsilon', 0.22543443307925884), ('gamma', 0.044405265039817204)])"
0.28698228970701944,0.846284963269683,512,"OrderedDict([('C', 1.8142048329156855), ('epsilon', 0.11976212089214217), ('gamma', 0.04342674626816646)])"
0.3145095421586193,0.6120820301896285,512,"OrderedDict([('C', 2.0209239519708997), ('epsilon', 0.0943224895930014), ('gamma', 0.04413584575061295)])"
0.3085171956750539,0.6212681255146633,512,"OrderedDict([('C', 1.947793853289069), ('epsilon', 0.11274282151737426), ('gamma', 0.046355833032806874)])"
