RMSE (train),RMSE (test),p,best_params
0.20886013958609193,0.6503442756855135,512,"OrderedDict([('colsample_bytree', 0.5), ('gamma', 0.1), ('learning_rate', 0.04480770733705572), ('max_depth', 20), ('min_child_weight', 0.0), ('n_estimators', 1000), ('subsample', 1.0)])"
0.19565984500271985,0.6649060812651225,512,"OrderedDict([('colsample_bytree', 0.5), ('gamma', 0.1), ('learning_rate', 0.03), ('max_depth', 20), ('min_child_weight', 0.0), ('n_estimators', 707), ('subsample', 0.6730321511126222)])"
0.2088095988240301,0.634466187926263,512,"OrderedDict([('colsample_bytree', 0.5), ('gamma', 0.1), ('learning_rate', 0.03921053525999525), ('max_depth', 20), ('min_child_weight', 0.0), ('n_estimators', 453), ('subsample', 1.0)])"
0.28308583186974806,0.5469591680666746,512,"OrderedDict([('colsample_bytree', 0.5), ('gamma', 0.1), ('learning_rate', 0.039482331109296824), ('max_depth', 20), ('min_child_weight', 0.0), ('n_estimators', 100), ('subsample', 0.6121800723863213)])"
0.23130178116619074,0.6503263443081914,512,"OrderedDict([('colsample_bytree', 0.5), ('gamma', 0.1), ('learning_rate', 0.04342871039526255), ('max_depth', 20), ('min_child_weight', 0.0), ('n_estimators', 100), ('subsample', 0.7917050743631704)])"
0.19644246672573548,0.7108001907587435,512,"OrderedDict([('colsample_bytree', 0.5), ('gamma', 0.1), ('learning_rate', 0.03), ('max_depth', 20), ('min_child_weight', 0.0), ('n_estimators', 1000), ('subsample', 0.7259374095131241)])"
0.29716321912227894,0.5585461036658907,512,"OrderedDict([('colsample_bytree', 0.5), ('gamma', 0.1), ('learning_rate', 0.03842873463804145), ('max_depth', 18), ('min_child_weight', 0.0), ('n_estimators', 100), ('subsample', 0.6234919186601197)])"
0.23248868671175862,0.8396237389651497,512,"OrderedDict([('colsample_bytree', 0.5), ('gamma', 0.1), ('learning_rate', 0.03), ('max_depth', 20), ('min_child_weight', 0.0), ('n_estimators', 167), ('subsample', 0.7098848878517783)])"
0.2065363848218753,0.6221822673975128,512,"OrderedDict([('colsample_bytree', 0.5), ('gamma', 0.1), ('learning_rate', 0.03), ('max_depth', 20), ('min_child_weight', 0.0), ('n_estimators', 348), ('subsample', 0.8891699944398612)])"
0.2127071305608809,0.60299563253889,512,"OrderedDict([('colsample_bytree', 0.5), ('gamma', 0.1), ('learning_rate', 0.03), ('max_depth', 14), ('min_child_weight', 0.0), ('n_estimators', 609), ('subsample', 0.7968687185299577)])"
