RMSE (train),RMSE (test),p,best_params
0.6499097437531731,0.6828366818007963,512,"OrderedDict([('alpha', 0.012306084275698074), ('l1_ratio', 0.400467760764592)])"
0.6387587657150182,0.7526273439784904,512,"OrderedDict([('alpha', 0.0116812833098129), ('l1_ratio', 0.38575073261281523)])"
0.6464017184510372,0.6365009199653205,512,"OrderedDict([('alpha', 0.02020368575939182), ('l1_ratio', 0.17821232988328323)])"
0.640738711499673,0.6515664891313798,512,"OrderedDict([('alpha', 0.02010988828886698), ('l1_ratio', 0.1506966716882929)])"
0.6454362343788199,0.6880445311408464,512,"OrderedDict([('alpha', 0.013338046738139415), ('l1_ratio', 0.3330662609677225)])"
0.6422595188319741,0.7001058373273324,512,"OrderedDict([('alpha', 0.012442436159309485), ('l1_ratio', 0.34558011667373956)])"
0.6224737547144837,0.8085678124229037,512,"OrderedDict([('alpha', 0.020983651395577608), ('l1_ratio', 0.14572694479378306)])"
0.6431722115039229,0.6648089898095872,512,"OrderedDict([('alpha', 0.018598185986389914), ('l1_ratio', 0.19380802859399537)])"
0.6461452125800387,0.6929832483096129,512,"OrderedDict([('alpha', 0.011945625757893617), ('l1_ratio', 0.38160301303631994)])"
0.6498603406290684,0.64474781640156,512,"OrderedDict([('alpha', 0.01234779564363373), ('l1_ratio', 0.36497109813257583)])"
