ID,y,yhat,fold,p,MW,y_mg,yhat_mg
53,-3.4426288730606527,-3.3311832,0,512,107.15599999999996,1.5873876205060657,1.6988332979809184
58,-3.2867083060740074,-3.576025,0,512,108.13999999999996,1.7472780591655983,1.4579613548981805
180,-3.1795089241089807,-4.1356597,0,512,288.46000000000004,2.280576675068488,1.324425899631895
201,-6.207475002879442,-4.7701397,0,512,141.132,-1.0578495068588705,0.3794858187065122
231,-3.4522436049319083,-3.8238082,0,512,162.188,1.7577751134600346,1.3862105136521032
238,-3.184075913846765,-3.6672163,0,512,178.231,2.0669073299508334,1.583766937132757
282,-3.2901032263018277,-3.409078,0,512,502.8050000000006,2.411296361450384,2.2923217012371557
296,-3.6912639215680976,-3.8941252,0,512,134.22199999999998,1.436559784246496,1.2336984883668325
323,-2.9316815372110763,-3.5789213,0,512,144.21400000000003,2.2273258856384515,1.5800861078344826
335,-2.879532738548713,-3.4290636,0,512,116.16,2.1855238648073056,1.6359930394404443
341,-4.095569877159103,-3.8543417,0,512,174.29199999999994,1.1457075762986213,1.3869357295434197
4413,-3.891076031945222,-3.9442644,0,512,302.41400000000004,1.5895258606445535,1.536337482785596
392,-3.5541965146219074,-5.0925336,0,512,147.00400000000002,1.6131326375024113,0.07479555592979091
407,-2.518180585456154,-2.9331756,0,512,130.18699999999998,2.5963870338747803,2.181392039036046
414,-3.9606040134365466,-3.7379491,0,512,286.412,1.4963871965142355,1.7190420936576924
449,-4.847356191402296,-4.215685,0,512,398.24,0.7527886878622219,1.3844599937613167
525,-3.9775786302548246,-4.072813,0,512,99.177,1.0188323369473835,0.9235979173453549
540,-3.0737648537932647,-3.1843996,0,512,254.4139999999999,2.331776152379078,2.2211413874952166
599,-4.805682037062512,-4.2896533,0,512,618.974,0.9859903698030352,1.5020191088572539
621,-3.039244554351168,-3.4275393,0,512,126.199,2.061811359224122,1.673516562070768
628,-3.614635910862609,-3.6861687,0,512,106.15299999999998,1.4112963614503842,1.3397635907254992
650,-2.686461502841784,-2.7676177,0,512,102.177,2.3228916444516874,2.2417354352172976
674,-4.011144601418858,-3.6550865,0,512,99.177,0.9852663657833505,1.3413244598756002
686,-3.153181580846113,-3.148225,0,512,118.176,1.9193477051247718,1.924304230607331
688,-3.2119729431108084,-3.561164,0,512,108.184,1.822190091915481,1.472999141770337
689,-3.196295481365622,-3.0167809,0,512,146.23,1.9687409986289433,2.1482556136334248
727,-3.123979407363276,-2.914688,0,512,176.212,2.122056073082371,2.33134735345445
730,-3.07361609265374,-3.3460584,0,512,146.23,2.0914203873408255,1.8189781020846305
735,-3.0325563938803373,-3.0446768,0,512,156.269,2.1613164391341746,2.149196054173986
746,-2.7119452813278526,-2.7676177,0,512,172.31199999999998,2.5243702419258063,2.4686978111774853
773,-2.8817390827855487,-2.7676177,0,512,270.50099999999986,2.5504297921789583,2.6645511628883334
781,-4.562923566159206,-4.5776944,0,512,215.362,0.7702455095613604,0.7554746626402863
782,-3.813962427717093,-4.5170436,0,512,275.392,1.6259888923493497,0.9229077201387413
829,-3.812137557584547,-3.7658815,0,512,344.4510000000001,1.724989892336401,1.7712459081283316
864,-2.7229540789441504,-3.5399373,0,512,136.22299999999998,2.411296361450385,1.5943132043072685
872,-5.991141633462726,-3.8469925,0,512,284.784,-0.5366260477496847,1.607523094815438
896,-4.137682786842866,-3.4716768,0,512,324.33600000000007,1.373312369457696,2.0393183394806207
903,-4.550578565284531,-3.515517,0,512,182.222,0.7100222436961021,1.7450838138313989
965,-3.3375973343361767,-3.5408542,0,512,358.39000000000004,2.2167585488932855,2.0135016678995172
989,-3.461819165704594,-3.2462149,0,512,86.09400000000001,1.4731537202706764,1.6887580059283747
995,-4.879557693969188,-4.4264345,0,512,234.383,0.4903684147679326,0.9434915875840115
999,-4.57333267677629,-4.294071,0,512,328.4520000000001,0.9431392339283834,1.2224007236407042
1029,-3.552115851037397,-3.9009016,0,512,233.676,1.816498258861014,1.4677125573709753
1061,-3.3357609847537373,-4.7602396,0,512,448.60700000000026,2.3161050612155814,0.8916264553147458
1094,-3.0271931330649235,-3.780584,0,512,164.204,2.188190599235969,1.434799624555564
1101,-3.528877285245951,-3.560741,0,512,120.15099999999995,1.5508501044813554,1.5189864433539955
1112,-3.1867249824970902,-3.0304081,0,512,420.4030000000001,2.4369408239999255,2.5932576594610457
1114,-3.374729123503448,-3.6438665,0,512,508.7510000000004,2.3317761523790774,2.0626387454074564
1124,-3.800881198420649,-3.7062447,0,512,136.14999999999998,1.333136447255334,1.4277729391365466
1161,-3.623445359627104,-3.1874292,0,512,342.56400000000014,1.9112963614576166,2.347312545932134
1199,-3.756320630633512,-3.514721,0,512,89.13799999999999,1.1937422549085677,1.4353419499456113
1208,-5.078251932966321,-4.763672,0,512,333.86300000000006,0.44531635854625173,0.7598964047277557
1219,-3.608369874222985,-3.84524,0,512,183.048,1.6541951138773352,1.4173248696817777
1237,-3.440358335311347,-3.547246,0,512,120.173,1.639448567728226,1.5325609132396492
1244,-2.994014133366648,-3.0084913,0,512,254.279,2.4112963614503844,2.396819198732398
1294,-3.5526228314612425,-4.1107144,0,512,206.32899999999995,1.7619374418577085,1.2038458337321596
1301,-4.486730430835412,-3.8395238,0,512,418.4960000000002,1.1349608805112392,1.782167516860732
1375,-4.069694018975974,-3.5934281,0,512,230.348,1.2926904268606754,1.76895633404433
1490,-3.7575673850117615,-4.7410583,0,512,210.348,1.5653710020657934,0.581880036832647
1497,-3.198526634357918,-4.0743856,0,512,126.155,1.902377833570405,1.0265188265726675
1542,-2.8200202814591164,-3.6151853,0,512,170.33999999999995,2.4112963614503844,1.616131390328561
1562,-3.7623277717421497,-4.4688196,0,512,373.2360000000001,1.8096557546702456,1.103163923045912
1593,-3.679851578597309,-4.242997,0,512,327.572,1.835455193718204,1.2723096157450033
1742,-5.187263515266313,-5.017886,0,512,359.32500000000005,0.36822391898353257,0.5376012758918057
1764,-1.9573703711911048,-3.3013074,0,512,88.106,2.987635113590561,1.6436980570452229
1866,-4.2121626763021816,-4.128771,0,512,380.41,1.368089248597622,1.4514810785189656
1911,-4.654619437930463,-4.895914,0,512,411.3250000000003,0.9595656684473973,0.7182710226520874
1941,-3.2923319885373323,-3.6387093,0,512,124.13899999999995,1.8015762540729356,1.4551989492083122
1959,-3.754972347416517,-4.135071,0,512,693.1320000000001,2.08584360207639,1.7057451546909634
1992,-3.2433742475677354,-3.3467333,0,512,116.20800000000004,1.8218617792495848,1.7185026835626185
2016,-5.980212215286734,-4.780883,0,512,221.25599999999997,-0.6353171585990874,0.5640122352380836
2051,-3.470816899227303,-3.4129105,0,512,651.558,2.3431361823083057,2.4010426353665664
2078,-2.9422876170617616,-3.8613918,0,512,166.13199999999998,2.278165676346217,1.359061531023963
2093,-4.505199455240084,-4.4398265,0,512,225.296,0.8475540259051901,0.9129270049708761
2130,-4.458160180645512,-4.1942034,0,512,251.332,0.942087606548982,1.2060444026854578
2144,-4.754141052860974,-3.7688627,0,512,835.895,1.1680106745965426,2.153288998530809
2176,-3.322918030801725,-3.905725,0,512,263.322,2.09756911421191,1.5147621290584792
2209,-3.763666958194081,-3.6806765,0,512,221.647,1.581994899289849,1.6649854064910985
2273,-3.1411295295963906,-3.3800845,0,512,234.27999999999997,2.2286056857595318,1.9896507057954516
2313,-4.232262316597434,-4.1582403,0,512,176.215,1.0137805576259071,1.0878025501518678
2334,-4.799391272197515,-3.759675,0,512,370.6420000000001,0.7695633584754068,1.8092796146008037
2337,-4.459137791377047,-4.111534,0,512,785.675,1.436105142835959,1.7837088060096307
2377,-3.0862777724661314,-4.108107,0,512,129.16199999999998,2.024856988733738,1.003027675589907
2388,-4.49676938196019,-4.0725884,0,512,265.914,0.9279718209700563,1.3521527450269129
2497,-6.587580286506187,-4.75257,0,512,564.0850000000002,-0.8362357352719162,0.9987744062137665
2536,-3.754014278158597,-3.8260674,0,512,404.48800000000034,1.8528913637078956,1.7808381932463309
2579,-2.487091335471292,-3.173775,0,512,90.122,2.4677394856111916,1.781055864040312
2618,-3.470473933034659,-4.1770225,0,512,164.20399999999998,1.7449097992662335,1.0383612824933783
2669,-4.447262055269822,-4.402614,0,512,301.4630000000001,1.031971961432231,1.0766199196430752
2679,-5.046458418521798,-4.088399,0,512,350.48,0.49820482164832103,1.4562643003808666
2700,-5.06582809646426,-3.713674,0,512,342.4020000000001,0.4687081963002802,1.8208622357229975
2754,-3.8685985283989455,-3.8339489,0,512,181.323,1.389854367475613,1.424504032925778
2772,-3.687375900649685,-3.8329003,0,512,170.20799999999997,1.5436040679908012,1.3980796631633154
2802,-3.223958531718564,-3.6622741,0,512,118.17899999999996,1.8485817790535373,1.4102661954637667
2803,-3.68224410901677,-3.5723,0,512,180.247,1.5736239361123492,1.6835680690155859
2848,-2.909404579594032,-2.9395452,0,512,140.27,2.2375602173957154,2.2074196342718797
2902,-4.387196543707982,-4.004172,0,512,351.4940000000002,1.1587213723075154,1.5417460649242964
