RMSE (train),RMSE (test),p,best_params
0.6318071791295172,0.6877663687675075,512,"OrderedDict([('alpha', 0.00920935914168506), ('l1_ratio', 0.18801059648604074)])"
0.632947926158651,0.678391768664455,512,"OrderedDict([('alpha', 0.00920935914168506), ('l1_ratio', 0.18801059648604074)])"
0.635441278265681,0.6363312875872825,512,"OrderedDict([('alpha', 0.00920935914168506), ('l1_ratio', 0.18801059648604074)])"
0.6286887872737462,0.6712184243254945,512,"OrderedDict([('alpha', 0.028258428670369977), ('l1_ratio', 0.0)])"
0.6428441603385471,0.698728483338279,512,"OrderedDict([('alpha', 0.040762298359500064), ('l1_ratio', 0.0)])"
0.6250532432739521,0.7716117785547283,512,"OrderedDict([('alpha', 0.00920935914168506), ('l1_ratio', 0.18801059648604074)])"
0.6419849895501393,0.8699249370867882,512,"OrderedDict([('alpha', 0.006643606315150164), ('l1_ratio', 0.4910017732032165)])"
0.6488562191353622,0.705216957345674,512,"OrderedDict([('alpha', 0.006831093954881111), ('l1_ratio', 0.399800782743651)])"
0.6302817779466519,0.7227506696171503,512,"OrderedDict([('alpha', 0.00920935914168506), ('l1_ratio', 0.18801059648604074)])"
0.6369358267980968,0.6277574131380298,512,"OrderedDict([('alpha', 0.00920935914168506), ('l1_ratio', 0.18801059648604074)])"
