RMSE (train),RMSE (test),p,best_params
0.34936077989603315,0.6351114932496416,163,"OrderedDict([('C', 2.5930185101495926), ('epsilon', 0.17821956826608248), ('gamma', 0.008948380240521863)])"
0.37887487276516363,0.5935153314492572,162,"OrderedDict([('C', 2.5058869919219102), ('epsilon', 0.18931959099596535), ('gamma', 0.00804082804541007)])"
0.384857013443034,0.5591428340886463,162,"OrderedDict([('C', 2.0287429997317776), ('epsilon', 0.14535777007966677), ('gamma', 0.008159553029902435)])"
0.3644676614487151,0.5919595624208185,162,"OrderedDict([('C', 2.375769322193269), ('epsilon', 0.15833202378600741), ('gamma', 0.008563148954982294)])"
0.3625696529230291,0.6226194870384224,163,"OrderedDict([('C', 2.4324909249401068), ('epsilon', 0.15890463567669155), ('gamma', 0.008294120869501372)])"
0.3411619760034542,0.6583020472827722,163,"OrderedDict([('C', 2.316479062809191), ('epsilon', 0.10776825189527048), ('gamma', 0.009173065725582795)])"
0.35644079328711736,0.8202672454969773,161,"OrderedDict([('C', 2.436659876856517), ('epsilon', 0.24237811577996518), ('gamma', 0.007399198869199702)])"
0.35106178700809726,0.6210132586361913,162,"OrderedDict([('C', 2.5352620686738065), ('epsilon', 0.1796875108424728), ('gamma', 0.009236700242352425)])"
0.363810702531116,0.6295173321411329,163,"OrderedDict([('C', 2.679208037799825), ('epsilon', 0.19326151194548813), ('gamma', 0.007972374134874984)])"
0.39579537996167996,0.5724200478666267,163,"OrderedDict([('C', 1.863341107289063), ('epsilon', 0.14793574325288403), ('gamma', 0.008256303144018994)])"
