RMSE (train),RMSE (test),p,best_params
0.6726484274643635,0.6473976845622909,163,"OrderedDict([('alpha', 0.010251078743730352), ('l1_ratio', 0.6966248582348226)])"
0.6733990507140845,0.6768324899634873,163,"OrderedDict([('alpha', 0.0096173401598951), ('l1_ratio', 1.0)])"
0.6747187029530155,0.667714409886988,162,"OrderedDict([('alpha', 0.00977188921208349), ('l1_ratio', 1.0)])"
0.6655134818175944,0.702545400117254,163,"OrderedDict([('alpha', 0.010251078743730352), ('l1_ratio', 0.6966248582348226)])"
0.6696328305291885,0.6879538791210918,163,"OrderedDict([('alpha', 0.008152805628174923), ('l1_ratio', 1.0)])"
0.6802940950219761,0.849338443707432,162,"OrderedDict([('alpha', 0.01101837526361697), ('l1_ratio', 1.0)])"
0.665364520342439,0.7716342088706661,163,"OrderedDict([('alpha', 0.010626188055428403), ('l1_ratio', 1.0)])"
0.6639876918360685,0.7213559108626297,162,"OrderedDict([('alpha', 0.010251078743730352), ('l1_ratio', 0.6966248582348226)])"
0.6760239723185547,0.6449580858509496,161,"OrderedDict([('alpha', 0.01722251054526314), ('l1_ratio', 0.49758483815989235)])"
0.6346184440158598,0.8836384905418166,162,"OrderedDict([('alpha', 0.006776429766139177), ('l1_ratio', 0.3898089638515966)])"
