RMSE (train),RMSE (test),p,best_params
0.10559653033593794,0.5769949287679269,512,"OrderedDict([('colsample_bytree', 0.5), ('gamma', 0.018612576810158554), ('learning_rate', 0.03), ('max_depth', 9), ('min_child_weight', 9.058156545809775), ('n_estimators', 478), ('subsample', 0.7250402716570947)])"
0.08416769747128142,0.5933791039621891,512,"OrderedDict([('colsample_bytree', 0.706582736037268), ('gamma', 0.001), ('learning_rate', 0.03), ('max_depth', 18), ('min_child_weight', 10.0), ('n_estimators', 709), ('subsample', 0.5707941162367351)])"
0.11824425600035825,0.6369275019342578,512,"OrderedDict([('colsample_bytree', 1.0), ('gamma', 0.001), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 10.0), ('n_estimators', 632), ('subsample', 0.7133816422434075)])"
0.10248479396849591,0.6155262916684592,512,"OrderedDict([('colsample_bytree', 0.5), ('gamma', 0.1), ('learning_rate', 0.03), ('max_depth', 5), ('min_child_weight', 0.0), ('n_estimators', 1000), ('subsample', 0.7617400942409742)])"
0.057340703842162444,0.668516420767991,512,"OrderedDict([('colsample_bytree', 0.571292708973982), ('gamma', 0.008039184935559409), ('learning_rate', 0.030920957981811006), ('max_depth', 13), ('min_child_weight', 9.894474515722951), ('n_estimators', 845), ('subsample', 0.7453807173880165)])"
0.03353518931253442,0.5554864003348692,512,"OrderedDict([('colsample_bytree', 0.5), ('gamma', 0.001), ('learning_rate', 0.03), ('max_depth', 16), ('min_child_weight', 10.0), ('n_estimators', 1000), ('subsample', 0.8079590886490984)])"
0.06174015035202756,0.7164928014669645,512,"OrderedDict([('colsample_bytree', 0.5), ('gamma', 0.001), ('learning_rate', 0.03), ('max_depth', 12), ('min_child_weight', 10.0), ('n_estimators', 687), ('subsample', 0.8307404092328665)])"
0.011583471071241785,0.652354055381701,512,"OrderedDict([('colsample_bytree', 0.5), ('gamma', 0.001), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 0.0), ('n_estimators', 1000), ('subsample', 0.7378777858681711)])"
0.08527303883638242,0.607721349209611,512,"OrderedDict([('colsample_bytree', 0.6615286254401627), ('gamma', 0.03357682295620689), ('learning_rate', 0.030253147506826766), ('max_depth', 6), ('min_child_weight', 9.092278347037793), ('n_estimators', 994), ('subsample', 0.5008219276017226)])"
0.06704497657835003,0.8127382737782983,512,"OrderedDict([('colsample_bytree', 0.5), ('gamma', 0.001), ('learning_rate', 0.03), ('max_depth', 5), ('min_child_weight', 10.0), ('n_estimators', 1000), ('subsample', 0.5)])"
