RMSE (train),RMSE (test),p,best_params
0.09598542033561021,0.729041997861075,512,"OrderedDict([('C', 4.384300590729263), ('epsilon', 0.05476542043626023), ('gamma', 0.017144629579562757)])"
0.11044848342805007,0.5859006492863464,512,"OrderedDict([('C', 6.617490453384808), ('epsilon', 0.0821350876931335), ('gamma', 0.01677467138016113)])"
0.14317654168196325,0.629946568334347,512,"OrderedDict([('C', 4.379175436879981), ('epsilon', 0.04238470286170618), ('gamma', 0.016341137940734426)])"
0.14769918267187188,0.624414024634262,512,"OrderedDict([('C', 5.385030638735237), ('epsilon', 0.1029240092136453), ('gamma', 0.017008458894930453)])"
0.18529227919493074,0.5960889242605983,512,"OrderedDict([('C', 4.283544289155257), ('epsilon', 0.12620676454661878), ('gamma', 0.01718995864367096)])"
0.13982736626751865,0.5355628941189785,512,"OrderedDict([('C', 4.899382554921808), ('epsilon', 0.07605729848013738), ('gamma', 0.016695876197619627)])"
0.1427142057726406,0.5455815730785303,512,"OrderedDict([('C', 5.391021113466266), ('epsilon', 0.08753319206957343), ('gamma', 0.015648797921307935)])"
0.10874063565675277,0.6044369597684442,512,"OrderedDict([('C', 5.926195651367639), ('epsilon', 0.05274142963770069), ('gamma', 0.017052631730473975)])"
0.12930608520683587,0.564429976592331,512,"OrderedDict([('C', 5.77229057850979), ('epsilon', 0.07546334854932582), ('gamma', 0.01585316294965261)])"
0.17862084182183371,0.5873819603989399,512,"OrderedDict([('C', 3.8880360327179617), ('epsilon', 0.09191870124965372), ('gamma', 0.015291815334733823)])"
