ID,y,yhat,uhat_std,uhat,yhat_lo,yhat_up,dJ,MW,fold,p,y_mg,yhat_mg,yhat_lo_mg,yhat_up_mg,res,yhat_in,uhat_std_in,uhat_in,yhat_in_mg,dJ_in,casrn,name,canonical order SMILES,Kingdom,Superclass,Class,Subclass
37,-3.575950040372425,-3.393418,0.8700588,3.3570672124624252,-5.100610196590424,-1.7435429841279984,0.4965700483091788,117.192,0,512,1.4929479256233043,1.6754798826303392,-0.031712230594694094,3.325354981867731,-0.18253196671825034,-3.2917764,0.78091663,2.8967935860156997,1.7771215266237188,0.37434782608695655,100-37-8,"N,N-Diethylethanolamine",CCN(CC)CCO,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines
77,-2.7098003823869625,-3.1962192,0.9021589,3.503007873892784,-5.093503141403199,-1.5904952675104145,0.7128205128205127,132.159,0,512,2.4112963614503844,1.9248775280434456,0.02759360243414818,3.5306014763269324,0.4864188234693607,-3.3936195,0.7818897,3.194591596722603,1.7274771922397074,0.5528205128205128,100-79-8,Solketal,CC1(C)OCC(CO)O1,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Ethers
106,-3.650021735919272,-4.063045,0.934812,3.7198469996452324,-5.926985347270965,-2.2071383476257327,0.6204630958074286,213.664,0,512,1.6797096186341167,1.266686324437846,-0.5972539927175764,3.122593006927656,0.41302328895255425,-3.972631,0.83686733,3.3564605236053464,1.3571003799079668,0.49157420691853976,101-21-3,Chlorpropham,CC(C)OC(=O)Nc1cccc(Cl)c1,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenylcarbamic acid esters
275,-3.219937654744798,-3.61453,0.89434993,3.5022106081247326,-5.399997365474701,-1.8977867573499683,0.5405014766570831,151.165,0,512,1.959513593652976,1.5649211733925703,-0.2205461170769269,3.2816644910478057,0.3945924317725358,-3.6514306,0.80131733,3.14438989162445,1.5280206324591805,0.3996204278812975,103-90-2,Acetaminophen,CC(=O)Nc1ccc(O)cc1,Organic compounds,Benzenoids,Benzene and substituted derivatives,Anilides
282,-3.2901032263018277,-4.1527715,0.954017,3.686911898851393,-5.977052497863769,-2.290140599012376,0.5094485121848858,502.8050000000006,0,512,2.411296361450384,1.5486280969083024,-0.27565291011155774,3.4112589887398355,0.8626682466290805,-4.125037,0.9523271,3.762854999303817,1.5763623978722703,0.3966279993643731,1041263-42-6,unnamed [1041263-42-6],CCCCCC(CCC)COP(OCC(CCC)CCCCC)OCC(CCC)CCCCC,Organic compounds,Organophosphorus compounds,Trialkylphosphites,
293,-4.295327882686247,-3.6467783,0.8664038,3.212218344211578,-5.267489087581635,-2.0552707433700568,0.26900492610837434,220.356,0,512,1.0477969975802275,1.6963465290023165,0.07563579268483996,3.287854136896418,-0.6485495375782149,-3.8128364,0.8689351,3.2732077777385706,1.5302884906763512,0.15278514588859418,104-40-5,4-Nonylphenol,CCCCCCCCCc1ccc(O)cc1,Organic compounds,Benzenoids,Phenols,1-hydroxy-2-unsubstituted benzenoids
298,-3.884130093252883,-3.7629874,0.828661,3.309606069326399,-5.448979246616363,-2.1393731772899645,0.5801282126832824,134.178,0,512,1.243551220927024,1.3646939223408554,-0.32129793243645605,2.988308136889943,-0.12114271799348364,-3.7274873,0.81234735,2.950835257768631,1.4001939872682838,0.4525366742758047,104-54-1,3-Phenyl-2-propen-1-ol,OCC=Cc1ccccc1,Organic compounds,Phenylpropanoids and polyketides,Cinnamyl alcohols,
4509,-3.001125442530113,-3.4015577,0.907606,3.567435067892074,-5.1428984045982356,-1.575463336706162,0.6514543251385356,136.23799999999997,0,512,2.1331728169448416,1.732740570931308,-0.00860014512328073,3.558834922768793,0.4004322414145891,-3.402203,0.79274625,2.993253323435783,1.7320951763465404,0.5033061769903875,5989-27-5,D-Limonene,C=C(C)C1CC=C(C)CC1,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids
320,-3.431532929340512,-3.7567701,0.8644164,3.2882783949375125,-5.447955226898193,-2.1596768319606805,0.5743692810457517,134.22199999999998,0,512,1.6962907764740818,1.3710535662796968,-0.3201315210835993,2.968146873853913,0.32523720463165606,-3.7399302,0.8485985,3.3005539953708642,1.3878935393320437,0.3976073762838469,105-05-5,"1,4-Diethylbenzene",CCc1ccc(CC)cc1,Organic compounds,Benzenoids,Benzene and substituted derivatives,
367,-3.1246961196944385,-3.1950855,0.84741867,3.377308440208434,-4.98364976644516,-1.6063413262367257,0.3977448376429701,343.552,0,512,2.4112963614503844,2.340906954856368,0.5523427146996633,3.9296511549080972,0.07038940581825681,-3.3114345,0.7750313,3.2028976380825034,2.2245579628276966,0.3068357467338792,106-15-0,"Octadecanamide, 12-hydroxy-N-(2-hydroxyethyl)-",CCCCCCC(O)CCCCCCCCCCC(=O)NCCO,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines
