ID,y,yhat,uhat_std,uhat,yhat_lo,yhat_up,dJ,MW,fold,p,y_mg,yhat_mg,yhat_lo_mg,yhat_up_mg,res,yhat_in,uhat_std_in,uhat_in,yhat_in_mg,dJ_in,casrn,name,canonical order SMILES,Kingdom,Superclass,Class,Subclass
37,-3.575950040372425,-3.5317228,0.5944649,2.423241990804672,-4.7827903747558596,-2.3595483839511875,0.4965700483091788,117.192,0,136,1.4929479256233043,1.5371751674298226,0.28610759123986995,2.709349582044542,-0.044227256330066744,-3.7512617,0.6721067,2.7044767081737513,1.3176362420700025,0.37434782608695655,100-37-8,"N,N-Diethylethanolamine",CCN(CC)CCO,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines
77,-2.7098003823869625,-3.184687,0.5271787,2.130538916587829,-4.266644394397735,-2.1361054778099064,0.7128205128205127,132.159,0,136,2.4112963614503844,1.936409851028743,0.8544523494396116,2.9849912660274405,0.47488651679821814,-3.2057378,0.5291319,2.0642817139625547,1.91535890223358,0.5528205128205128,100-79-8,Solketal,CC1(C)OCC(CO)O1,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Ethers
106,-3.650021735919272,-4.589664,0.96618605,3.8075818955898275,-6.698785948753357,-2.8912040531635292,0.6204630958074286,213.664,0,136,1.6797096186341167,0.7400673815901989,-1.3690545941999681,2.4385273013898594,0.9396422464720855,-4.0877852,0.7287567,2.859104102849959,1.2419461204679756,0.49157420691853976,101-21-3,Chlorpropham,CC(C)OC(=O)Nc1cccc(Cl)c1,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenylcarbamic acid esters
275,-3.219937654744798,-3.6045892,0.6457336,2.6080896079540254,-4.975890839099884,-2.367801231145859,0.5405014766570831,151.165,0,136,1.959513593652976,1.5748620169631138,0.2035604092978897,2.811650017251915,0.38465156911689613,-3.5462773,0.51094186,2.0596017539501186,1.6331739708945492,0.3996204278812975,103-90-2,Acetaminophen,CC(=O)Nc1ccc(O)cc1,Organic compounds,Benzenoids,Benzene and substituted derivatives,Anilides
282,-3.2901032263018277,-3.943329,0.749196,2.9283956229686723,-5.4010951757431025,-2.47269955277443,0.5094485121848858,502.8050000000006,0,136,2.411296361450384,1.7580704958752345,0.3003044120091091,3.2287000349777815,0.6532258695386264,-3.8768013,0.7428256,2.8744184970855713,1.8245983523222404,0.3966279993643731,1041263-42-6,unnamed [1041263-42-6],CCCCCC(CCC)COP(OCC(CCC)CCCCC)OCC(CCC)CCCCC,Organic compounds,Organophosphorus compounds,Trialkylphosphites,
293,-4.295327882686247,-3.7578945,0.56073767,2.2311621725559228,-4.871110653877258,-2.639948481321335,0.26900492610837434,220.356,0,136,1.0477969975802275,1.5852303719978926,0.47201422638921675,2.7031763989451396,-0.5374333666950362,-3.8262846,0.5152946,1.9975554943084708,1.5168402472999218,0.15278514588859418,104-40-5,4-Nonylphenol,CCCCCCCCCc1ccc(O)cc1,Organic compounds,Benzenoids,Phenols,1-hydroxy-2-unsubstituted benzenoids
298,-3.884130093252883,-3.8617826,0.5037561,1.9602235198020934,-4.847487056255341,-2.8872635364532475,0.5801282126832824,134.178,0,136,1.243551220927024,1.2658987415526264,0.2801942579245663,2.24041777772666,-0.022347542441115475,-3.588194,0.45427743,1.847778433561325,1.5394874147761404,0.4525366742758047,104-54-1,3-Phenyl-2-propen-1-ol,OCC=Cc1ccccc1,Organic compounds,Phenylpropanoids and polyketides,Cinnamyl alcohols,
4509,-3.001125442530113,-3.2284214,0.69650006,2.5848569065332407,-4.5459884881973265,-1.961131581664086,0.6514543251385356,136.23799999999997,0,136,2.1331728169448416,1.9058768139142563,0.5883097712776283,3.173166677810869,0.22729600713114184,-3.23033,0.52695507,1.9986705720424642,1.903968258636292,0.5033061769903875,5989-27-5,D-Limonene,C=C(C)C1CC=C(C)CC1,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids
320,-3.431532929340512,-3.8007205,0.62324303,2.2856369376182553,-4.9695921540260315,-2.6839552164077762,0.5743692810457517,134.22199999999998,0,136,1.6962907764740818,1.3271032354459409,0.15823155178856213,2.4438684894068174,0.3691875239218172,-3.7524927,0.5497584,2.234746050834656,1.3753310417513174,0.3976073762838469,105-05-5,"1,4-Diethylbenzene",CCc1ccc(CC)cc1,Organic compounds,Benzenoids,Benzene and substituted derivatives,
367,-3.1246961196944385,-3.2265172,0.57234734,2.251413291692734,-4.3756920337677006,-2.1242787420749667,0.3977448376429701,343.552,0,136,2.4112963614503844,2.309475286015534,1.1603004473771223,3.411713739069856,0.1018210807755322,-3.203796,0.52893776,2.0104987204074862,2.3321965895787518,0.3068357467338792,106-15-0,"Octadecanamide, 12-hydroxy-N-(2-hydroxyethyl)-",CCCCCCC(O)CCCCCCCCCCC(=O)NCCO,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines
