ID,y,yhat,uhat_std,uhat,yhat_lo,yhat_up,dJ,MW,fold,p,y_mg,yhat_mg,yhat_lo_mg,yhat_up_mg,res,yhat_in,uhat_std_in,uhat_in,yhat_in_mg,dJ_in,casrn,name,canonical order SMILES,Kingdom,Superclass,Class,Subclass
73,-4.411329355425512,-4.5841,1.4593672,5.860758143663406,-7.61448050737381,-1.7537223637104036,0.7016053405934605,105.14,0,512,0.610438617256894,0.43766821476679163,-2.5927125346914037,3.268045608972003,0.17277041416677275,-3.8896015,1.1224735,4.411847972869872,1.132166503254634,0.5411064425770308,100-69-6,2-Vinylpyridine,C=Cc1ccccn1,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,
106,-3.806527293964555,-3.8378584,1.1410352,4.360922628641126,-6.030136704444885,-1.6692140758037592,0.5583731173628872,213.664,0,512,1.5232040605888335,1.491872904846363,-0.7004053498914967,3.660517278749629,0.031331144527266375,-4.1361427,1.0010256,3.863060158491134,1.1935886199829757,0.4328829212844559,101-21-3,Chlorpropham,CC(C)OC(=O)Nc1cccc(Cl)c1,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenylcarbamic acid esters
161,-4.851214934334742,-3.773357,1.1046811,4.46210654079914,-6.065647864341735,-1.6035413235425953,0.5689236450526773,177.203,0,512,0.3972561357694331,1.4751141493259419,-0.8171767942375605,3.6449297465615795,-1.077858019814478,-3.9233437,0.9854046,3.88637813925743,1.3251274017777481,0.44892364505267734,102-01-2,Acetoacetanilide,CC(=O)CC(=O)Nc1ccccc1,Organic compounds,Benzenoids,Benzene and substituted derivatives,Anilides
193,-7.280910192421934,-5.060955,1.4426844,5.925678622722623,-8.265119624137878,-2.339441001415254,0.5870833333333334,389.32000000000016,0,512,-1.690603477718593,0.5293516694467382,-2.6748129094345368,3.250865713288087,-2.219955144814512,-5.447383,1.4234092,5.555893862247467,0.14292378274593168,0.44958333333333333,1024-57-3,Heptachlor epoxide B,ClC1=C(Cl)C2(Cl)C3C4OC4C(Cl)C3C1(Cl)C2(Cl)Cl,Organic compounds,Organoheterocyclic compounds,Oxanes,
195,-4.936738070766014,-4.1207337,1.1544614,4.621437749266623,-6.427103543281555,-1.8056657940149317,0.760892420628729,249.26999999999995,0,512,0.4599319429224969,1.2759362619797736,-1.0304335295930442,3.5910042196735787,-0.8160043328204569,-3.975497,1.0446846,3.8735325157642366,1.4211729955077497,0.6067366692593553,1025-15-6,Triallyl isocyanurate,C=CCn1c(=O)n(CC=C)c(=O)n(CC=C)c1=O,Organic compounds,Organoheterocyclic compounds,Triazines,Triazinones
277,-5.721151247921911,-3.7415605,1.2389973,4.914513155817984,-6.2882947564125065,-1.373781600594523,0.3916799928926794,407.3300000000001,0,512,-0.1112048507142436,1.8683859549740676,-0.6783483592048387,4.236164796613145,-1.9795907887849484,-4.39063,1.1633482,4.338966751098632,1.2193166119893768,0.28542999289267945,104040-78-0,Flazasulfuron,COc1cc(OC)nc(NC(=O)NS(=O)(=O)c2ncccc2C(F)(F)F)n1,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Sulfonylureas
289,-4.162200643568276,-4.0358357,1.1294798,4.388971576094625,-6.286001110076904,-1.8970295339822787,0.48201748669490607,277.30500000000006,0,512,1.2807570567085858,1.4071219527089054,-0.8430434098000416,3.5459281662945834,-0.1263649006178369,-4.0204496,1.0736825,3.9497634440660474,1.4225080569997715,0.3683811230585424,104-23-4,C.I. Food Yellow 6,Nc1ccc(N=Nc2ccc(S(=O)(=O)O)cc2)cc1,Organic compounds,Organoheterocyclic compounds,Azobenzenes,
293,-4.15126988879494,-3.788756,1.1160903,4.21180408000946,-6.031266474723816,-1.8194623947143558,0.49285131627734524,220.356,0,512,1.1918549914715348,1.5543690050416172,-0.6881415944573416,3.523662485552119,-0.3625139950876646,-3.9259717,0.95215166,3.709937787055967,1.4171531380393054,0.3698883533143822,104-40-5,4-Nonylphenol,CCCCCCCCCc1ccc(O)cc1,Organic compounds,Benzenoids,Phenols,1-hydroxy-2-unsubstituted benzenoids
4509,-3.49651613388317,-4.3765993,1.1823101,4.757262814044951,-6.789010429382324,-2.031747615337372,0.7244031830238726,136.23799999999997,0,512,1.6377821255917848,0.7576989323083686,-1.6547121699073688,3.1025506441375827,0.8800831779454432,-5.072205,1.2774036,4.747330784797666,0.06209317369361389,0.5654288240495137,5989-27-5,D-Limonene,C=C(C)C1CC=C(C)CC1,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids
296,-3.2706740007129134,-3.9629066,1.1114476,4.318354055285454,-6.15795007944107,-1.8395960241556168,0.5698274672187715,134.22199999999998,0,512,1.8571497051016803,1.1649170991614815,-1.0301263736264765,3.288227681658977,0.6922325983318864,-4.053456,0.98810744,3.851687651872635,1.0743678812977973,0.42543752543752544,104-51-8,Butylbenzene,CCCCc1ccccc1,Organic compounds,Benzenoids,Benzene and substituted derivatives,
297,-4.105543942367255,-4.5508356,1.174509,4.680990731716156,-6.6807547330856325,-1.9997640013694764,0.5952790737654723,338.44700000000006,0,512,1.4239467264893635,0.9786550639492342,-1.1512640642290137,3.5297266674871426,0.4452916670687799,-4.4487314,1.0369854,4.14859892129898,1.0807592676500786,0.4117679383028108,10453-86-8,Resmethrin,CC(C)=CC1C(C(=O)OCc2coc(Cc3ccccc3)c2)C1(C)C,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids
354,-3.0300126578749333,-3.6581218,1.1943145,4.629089671373364,-5.963398706912995,-1.334309035539631,0.4904642385176311,196.29,0,512,2.2628855171430917,1.6347763531101522,-0.6705005318949695,3.958589139478394,0.628109166389593,-3.7429698,0.9832034,3.962311726808547,1.5499284225448746,0.36900829982031313,105-87-3,Geranyl acetate,CC(=O)OCC=C(C)CCC=C(C)C,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohol esters
