ID,y,yhat,uhat_std,uhat,yhat_lo,yhat_up,dJ,MW,fold,p,y_mg,yhat_mg,yhat_lo_mg,yhat_up_mg,res,yhat_in,uhat_std_in,uhat_in,yhat_in_mg,dJ_in,casrn,name,canonical order SMILES,Kingdom,Superclass,Class,Subclass
37,-3.575950040372425,-3.626933,0.92725253,3.492734307050705,-5.294296395778656,-1.8015620887279513,0.4965700483091788,117.192,0,161,1.4929479256233043,1.4419648703082695,-0.2253984297829267,3.267335877267778,0.050983057466930326,-3.5578,0.75366765,2.915765619277953,1.51109790621725,0.37434782608695655,100-37-8,"N,N-Diethylethanolamine",CCN(CC)CCO,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines
77,-2.7098003823869625,-3.2013383,0.56856763,2.272600942850113,-4.2998095631599424,-2.0272086203098296,0.7128205128205127,132.159,0,161,2.4112963614503844,1.9197584526692644,0.8212871806774044,3.0938881235275173,0.49153790878125037,-3.143617,0.5625736,2.1496787309646606,1.9774798160320217,0.5528205128205128,100-79-8,Solketal,CC1(C)OCC(CO)O1,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Ethers
106,-3.650021735919272,-4.3208327,0.8604769,3.4719968914985637,-6.102690351009369,-2.6306934595108054,0.6204630958074286,213.664,0,161,1.6797096186341167,1.0088986143449,-0.7729589964559805,2.6990378950425833,0.6708109934203277,-4.088591,0.7866111,3.084084755182266,1.241140259997629,0.49157420691853976,101-21-3,Chlorpropham,CC(C)OC(=O)Nc1cccc(Cl)c1,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenylcarbamic acid esters
275,-3.219937654744798,-3.5585246,0.7580908,2.9666160821914667,-5.02553780078888,-2.058921718597413,0.5405014766570831,151.165,0,161,1.959513593652976,1.6209266475806001,0.15391344760889453,3.1205295298003612,0.33858695386726234,-3.4551084,0.6095405,2.2631739616394038,1.7243428527657088,0.3996204278812975,103-90-2,Acetaminophen,CC(=O)Nc1ccc(O)cc1,Organic compounds,Benzenoids,Benzene and substituted derivatives,Anilides
282,-3.2901032263018277,-4.006585,0.6687684,2.5551876664161677,-5.314062333106994,-2.7588746666908266,0.5094485121848858,502.8050000000006,0,161,2.411296361450384,1.6948144549163529,0.3873372546452174,2.942524921061385,0.7164818948529574,-4.032902,0.7898875,3.12479482293129,1.6684978314452492,0.3966279993643731,1041263-42-6,unnamed [1041263-42-6],CCCCCC(CCC)COP(OCC(CCC)CCCCC)OCC(CCC)CCCCC,Organic compounds,Organophosphorus compounds,Trialkylphosphites,
293,-4.295327882686247,-3.6815166,0.74005026,2.7978096008300777,-5.251912760734558,-2.4541031599044802,0.26900492610837434,220.356,0,161,1.0477969975802275,1.6616082445654137,0.09121211953191671,2.8890217203619946,-0.6138112353473799,-3.758911,0.69414485,2.630752593278884,1.5842139936282111,0.15278514588859418,104-40-5,4-Nonylphenol,CCCCCCCCCc1ccc(O)cc1,Organic compounds,Benzenoids,Phenols,1-hydroxy-2-unsubstituted benzenoids
298,-3.884130093252883,-3.4941895,0.83243996,3.287334552407264,-5.209475958347321,-1.922141405940057,0.5801282126832824,134.178,0,161,1.243551220927024,1.6334918317552785,-0.08179464416741362,3.2055399082398504,-0.38994059244416723,-3.3608232,0.5978464,2.3148924231529224,1.7668581691128198,0.4525366742758047,104-54-1,3-Phenyl-2-propen-1-ol,OCC=Cc1ccccc1,Organic compounds,Phenylpropanoids and polyketides,Cinnamyl alcohols,
4509,-3.001125442530113,-3.6772046,0.7535304,2.9145778834819795,-5.155304574966431,-2.2407266914844515,0.6514543251385356,136.23799999999997,0,161,2.1331728169448416,1.4570936561267005,-0.021006315491476208,2.893571567990503,0.6760791663871233,-3.5468223,0.71623933,2.908116400241852,1.5874759520872253,0.5033061769903875,5989-27-5,D-Limonene,C=C(C)C1CC=C(C)CC1,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids
320,-3.431532929340512,-3.5687792,0.62555665,2.466915237903595,-4.908638834953308,-2.4417235970497133,0.5743692810457517,134.22199999999998,0,161,1.6962907764740818,1.5590444613147265,0.2191848708612856,2.6861001087648804,0.13724630077728595,-3.581143,0.6164433,2.3379138469696046,1.5466808115817887,0.3976073762838469,105-05-5,"1,4-Diethylbenzene",CCc1ccc(CC)cc1,Organic compounds,Benzenoids,Benzene and substituted derivatives,
367,-3.1246961196944385,-3.4469357,0.5490704,2.082269018888473,-4.49986652135849,-2.4175975024700165,0.3977448376429701,343.552,0,161,2.4112963614503844,2.089056820472563,1.0361259597863333,3.1183949786748064,0.32223953399208494,-3.4648795,0.5535103,2.3209671974182124,2.071112955398577,0.3068357467338792,106-15-0,"Octadecanamide, 12-hydroxy-N-(2-hydroxyethyl)-",CCCCCCC(O)CCCCCCCCCCC(=O)NCCO,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines
