ID,y,yhat,uhat,yhat_lo,yhat_up,dJ,MW,fold,p,y_mg,yhat_mg,yhat_lo_mg,yhat_up_mg,res,uhat_std,yhat_in,uhat_in,yhat_in_mg,dJ_in,casrn,name,canonical order SMILES,Kingdom,Superclass,Class,Subclass
37,-3.575950040372425,-3.1723042,2.0516178344169114,-4.234750860415603,-2.1831330259986914,0.4965700483091788,117.192,0,512,1.4929479256233043,1.8965938247178604,0.8341471055801267,2.885764939997038,-0.40364588693004233,0.5227761370452814,-3.3822637,1.6504579130738115,1.686634302479767,0.37434782608695655,100-37-8,"N,N-Diethylethanolamine",CCN(CC)CCO,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines
77,-2.7098003823869625,-3.2597716,1.9521853115785914,-4.648020958280322,-2.69583564670173,0.7128205128205127,132.159,0,512,2.4112963614503844,1.861325154338391,0.47307578555702523,2.4252610971356168,0.549971203077515,0.5327904483033782,-3.0741642,1.7561202145167107,2.0469326032018147,0.5528205128205128,100-79-8,Solketal,CC1(C)OCC(CO)O1,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Ethers
106,-3.650021735919272,-3.9816275,2.3958780115092617,-5.479752594508293,-3.083874582999031,0.6204630958074286,213.664,0,512,1.6797096186341167,1.3481038815922977,-0.15002123995490424,2.2458567715543576,0.33160572837516167,0.6192538178031409,-3.6663778,2.180150382760057,1.663353576869097,0.49157420691853976,101-21-3,Chlorpropham,CC(C)OC(=O)Nc1cccc(Cl)c1,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenylcarbamic acid esters
275,-3.219937654744798,-3.5080612,2.2321438221120236,-4.989766129000402,-2.7576223068883783,0.5405014766570831,151.165,0,512,1.959513593652976,1.6713900718176244,0.18968511939737234,2.421828941509396,0.2881235158332047,0.5879728665920698,-3.3134582,1.9902287486285704,1.865993052220004,0.3996204278812975,103-90-2,Acetaminophen,CC(=O)Nc1ccc(O)cc1,Organic compounds,Benzenoids,Benzene and substituted derivatives,Anilides
282,-3.2901032263018277,-3.7987723,3.1266278744600635,-6.185120885989336,-3.058493011529272,0.5094485121848858,502.8050000000006,0,512,2.411296361450384,1.9026272442944838,-0.4837212982371241,2.6429065762229396,0.5086691087506625,0.8650269401113637,-3.5098383,2.748238774802091,2.191561229127477,0.3966279993643731,1041263-42-6,unnamed [1041263-42-6],CCCCCC(CCC)COP(OCC(CCC)CCCCC)OCC(CCC)CCCCC,Organic compounds,Organophosphorus compounds,Trialkylphosphites,
293,-4.295327882686247,-3.6687746,2.2782510494962405,-5.130417262298742,-2.852166212802502,0.26900492610837434,220.356,0,512,1.0477969975802275,1.674350285834416,0.21270761796773244,2.490958667463973,-0.6265532778888838,0.5929655416952081,-4.0427947,2.421495814220737,1.3003301789788686,0.15278514588859418,104-40-5,4-Nonylphenol,CCCCCCCCCc1ccc(O)cc1,Organic compounds,Benzenoids,Phenols,1-hydroxy-2-unsubstituted benzenoids
298,-3.884130093252883,-3.6959426,2.1006140815183163,-5.101930867529209,-3.0013167860108925,0.5801282126832824,134.178,0,512,1.243551220927024,1.4317386586840029,0.025750446650698533,2.126364528169015,-0.18818745294831762,0.555250220712425,-3.6699169,1.9318930209586664,1.4577644405623573,0.4525366742758047,104-54-1,3-Phenyl-2-propen-1-ol,OCC=Cc1ccccc1,Organic compounds,Phenylpropanoids and polyketides,Cinnamyl alcohols,
4509,-3.001125442530113,-3.558091,2.147735115548755,-5.006838495785808,-2.859103380237053,0.6514543251385356,136.23799999999997,0,512,2.1331728169448416,1.5762073403666503,0.12745976368914672,2.2751948792379015,0.5569654826865618,0.5696867515421615,-3.3645186,1.721250242372081,1.769779607825815,0.5033061769903875,5989-27-5,D-Limonene,C=C(C)C1CC=C(C)CC1,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids
320,-3.431532929340512,-3.7288072,2.1511854361115224,-5.162251443753028,-3.0110660076415052,0.5743692810457517,134.22199999999998,0,512,1.6962907764740818,1.3990164840458426,-0.03442773793843393,2.1167576981730885,0.2972742815817293,0.5675411148025595,-3.54345,1.9425101880147828,1.584373585769593,0.3976073762838469,105-05-5,"1,4-Diethylbenzene",CCc1ccc(CC)cc1,Organic compounds,Benzenoids,Benzene and substituted derivatives,
367,-3.1246961196944385,-3.212652,2.5860695959194038,-5.24830883474039,-2.6622392388209866,0.3977448376429701,343.552,0,512,2.4112963614503844,2.323340532515254,0.2876836464044325,2.8737532423238363,0.08795584830788084,0.7199164641211213,-3.2207355,2.006405103827292,2.315256929211775,0.3068357467338792,106-15-0,"Octadecanamide, 12-hydroxy-N-(2-hydroxyethyl)-",CCCCCCC(O)CCCCCCCCCCC(=O)NCCO,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines
6502,-4.9893372925378126,-4.712167,4.379513656363194,-7.773923288595565,-3.394409632232371,0.6342513340868147,326.22700000000003,0,512,0.5241826098002642,0.8013531166226855,-2.2604033862574884,2.119110270105706,-0.2771705063439649,1.1842085759189755,-4.9023347,2.4359027227794705,0.6111852236403192,0.4329740066488387,83657-24-3,Diniconazole,CC(C)(C)C(O)C(=Cc1ccc(Cl)cc1Cl)n1cncn1,Organic compounds,Phenylpropanoids and polyketides,Cinnamyl alcohols,
431,-3.771660393553929,-3.517574,2.5426875011829564,-4.940754986446588,-2.3980674852636312,0.6588744588744588,55.07999999999999,0,512,0.9693335380309572,1.2234198471990037,-0.19976105486170165,2.342926446321255,-0.2540863216697735,0.6476330791134569,-3.5990312,2.075629574036659,1.1419627011758309,0.5113997113997113,107-12-0,Propionitrile,CCC#N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Organic cyanides
493,-2.5664240280690245,-3.2155366,2.1032808479993585,-4.61975313402967,-2.5164722860303117,0.7039748710688645,102.08899999999998,0,512,2.4425549216901348,1.7934423672225042,0.38922581572948906,2.4925066637288475,0.6491125663218447,0.5553517398234121,-2.921,1.8326365013603207,2.087978926273232,0.55225073313783,108-32-7,Propylene carbonate,CC1COC(=O)O1,Organic compounds,Organic acids and derivatives,Organic carbonic acids and derivatives,Carbonic acid diesters
496,-3.5566367475965923,-3.716874,1.6286897704004675,-4.568725885838835,-2.9400361154383674,0.47194351542177626,108.13999999999996,0,512,1.4773496176430134,1.3171124953451345,0.46526047940077075,2.0939502498012383,0.1602371366044575,0.414873518627022,-3.6998053,1.819734911793664,1.3341811102856052,0.3642512077294686,108-39-4,m-Cresol,Cc1cccc(O)c1,Organic compounds,Benzenoids,Phenols,Cresols
503,-2.779362648397407,-3.180248,1.7243139498460556,-4.249064867981445,-2.524750918135389,0.4508876357560568,132.115,0,512,2.3415894807038677,1.9407041220866268,0.8718872611198304,2.596201210965886,0.40088537368206056,0.44477863088326824,-2.9372673,1.5398916813234957,2.183684823663292,0.346125730994152,108-59-8,Dimethyl malonate,COC(=O)CC(=O)OC,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives
514,-4.414097261420779,-3.9923713,2.7377040085152324,-5.8393885157520256,-3.101684507236793,0.6219047619047618,184.413,0,512,0.8516942715075781,1.27342020940799,-0.5735969828236681,2.1641070256915644,-0.4217259406962919,0.7262320807013197,-4.1650524,2.9836098693389834,1.1007391301044205,0.48857142857142855,108-77-0,"2,4,6-Trichloro-s-triazine",Clc1nc(Cl)nc(Cl)n1,Organic compounds,Organoheterocyclic compounds,Triazines,"1,3,5-triazines"
535,-3.1106743919451216,-3.395523,1.829539770740328,-4.588547328663728,-2.7590075579234004,0.5580645161290322,160.21299999999997,0,512,2.094023360746928,1.8091746764293846,0.6161504240283212,2.445690194768649,0.28484867934394087,0.47870642987933926,-3.2912145,1.8555765470540013,1.9134832853060166,0.40521091811414395,109-13-7,"Propaneperoxoic acid, 2-methyl-, 1,1-dimethylethyl ester",CC(C)C(=O)OOC(C)(C)C,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Peroxycarboxylic acids and derivatives
540,-3.0737648537932647,-3.370278,2.240797315524427,-5.004253743659883,-2.763456428135456,0.3189093791597493,254.4139999999999,0,512,2.331776152379078,2.0352631147045983,0.40128726251245905,2.642084578036886,0.29651302782904976,0.6144708960427478,-3.1885648,1.5936789896358214,2.2169762423690638,0.14171639670360897,109-29-5,Oxacycloheptadecan-2-one,O=C1CCCCCCCCCCCCCCCO1,Organic compounds,Phenylpropanoids and polyketides,Macrolides and analogues,
583,-5.140380335371564,-3.690961,2.380240202481983,-5.350118954443516,-2.9698787519615335,0.5255829228243021,154.16899999999998,0,512,0.047616720039755284,1.4970361579280356,-0.1621218990321974,2.2181183034497853,-1.4494194512773255,0.642452384050002,-4.7109833,2.628810047127463,0.4770137796140651,0.4041543513957307,110-26-9,"N,N'-Methylenebisacrylamide",C=CC(=O)NCNC(=O)C=C,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Acrylic acids and derivatives
587,-3.2655425246103214,-3.3229184,1.6846999649519407,-4.411871046727103,-2.727171081775162,0.02608695652173913,314.46600000000007,0,512,2.2320311718781047,2.1746552699630994,1.0857026497613231,2.770402614713264,0.05737589045925873,0.43950825639021673,-3.2658906,1.6435140003013426,2.2316830832326833,0.0,110-33-8,Dihexyl hexanedioate,CCCCCCOC(=O)CCCCC(=O)OCCCCCC,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters
608,-3.4116708938836573,-3.649221,2.6164888845989567,-5.619448408240477,-3.0029595236415205,0.6845240943267259,166.176,0,512,1.808897407031305,1.571347344636657,-0.39888010732551493,2.217608777273442,0.23755004956727044,0.7219672922791717,-3.5121758,1.9417180070987854,1.7083925169067593,0.5390695488721804,11070-44-3,Isomethyltetrahydrophthalic anhydride,CC1=CCc2c(O)oc(O)c2C1,Organic compounds,Organoheterocyclic compounds,Heteroaromatic compounds,
617,-3.4890533938591246,-3.1835167,2.2785855916334032,-4.644508395557142,-2.3659228039237385,0.6567460317460317,90.078,0,512,1.465565341123653,1.7711019802409005,0.3101103394256358,2.588695931059039,-0.3055366530601744,0.5929464248991204,-3.1531928,2.2924658959645785,1.801425989732562,0.4996031746031746,110-88-3,"1,3,5-Trioxane",C1OCOCO1,Organic compounds,Organoheterocyclic compounds,Trioxanes,
629,-2.9477207355791157,-3.5327408,2.521085667073023,-5.433906242977342,-2.912820575904319,0.4894736842105263,422.8260000000003,0,512,2.6784409490859673,2.093420856057788,0.1922554416877413,2.713341108760764,0.5850200957960063,0.6958422318767435,-3.3166528,2.288576349203871,2.3095089049985016,0.3894736842105263,111-01-3,Squalane,CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Triterpenoids
700,-4.036350154579478,-3.5591023,2.436759696866592,-5.047817654085488,-2.6110579572188963,0.38461538461538464,146.299,0,512,1.1288912030156475,1.6061390460006488,0.11742370350963698,2.5541834003762287,-0.47724785775025413,0.6266796722473458,-3.8600683,2.179510351727062,1.3051730239960309,0.3076923076923077,111-88-6,1-Octanethiol,CCCCCCCCS,Organic compounds,Organosulfur compounds,Thiols,Alkylthiols
