ID,y,yhat,uhat,yhat_lo,yhat_up,dJ,MW,fold,p,y_mg,yhat_mg,yhat_lo_mg,yhat_up_mg,res,uhat_std,yhat_in,uhat_in,yhat_in_mg,dJ_in,casrn,name,canonical order SMILES,Kingdom,Superclass,Class,Subclass
73,-4.411329355425512,-4.1977525,2.8702001357586355,-5.680493144096952,-2.810293008338317,0.7016053405934605,105.14,0,512,0.610438617256894,0.8240155136118326,-0.658725171414546,2.2114749643440894,-0.21357687968698702,0.731422913766982,-4.2062154,2.6285593836906043,0.8155525706405119,0.5411064425770308,100-69-6,2-Vinylpyridine,C=Cc1ccccn1,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,
106,-3.806527293964555,-4.3042083,2.553891051436446,-5.653222172889869,-3.099331121453423,0.5583731173628872,213.664,0,512,1.5232040605888335,1.0255230760293699,-0.3234908183364805,2.2304002330999655,0.49768098469145094,0.6503690220040381,-4.1491175,2.414194586594209,1.18061388118033,0.4328829212844559,101-21-3,Chlorpropham,CC(C)OC(=O)Nc1cccc(Cl)c1,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenylcarbamic acid esters
161,-4.851214934334742,-3.9515984,2.695935410940101,-5.470850020866919,-2.7749146099268183,0.5689236450526773,177.203,0,512,0.3972561357694331,1.2968726522604124,-0.22237895076274447,2.4735564601773565,-0.899616528496729,0.6868679774898305,-4.1647453,2.752416944733073,1.083725756330844,0.44892364505267734,102-01-2,Acetoacetanilide,CC(=O)CC(=O)Nc1ccccc1,Organic compounds,Benzenoids,Benzene and substituted derivatives,Anilides
193,-7.280910192421934,-6.0898814,4.683353095708906,-8.192423425626389,-3.5090703299174835,0.5870833333333334,389.32000000000016,0,512,-1.690603477718593,-0.49957469102108193,-2.602116710923048,2.0812363847858575,-1.1910287722864359,1.1923564962703888,-7.02532,3.2433219055938505,-1.435013331977692,0.44958333333333333,1024-57-3,Heptachlor epoxide B,ClC1=C(Cl)C2(Cl)C3C4OC4C(Cl)C3C1(Cl)C2(Cl)Cl,Organic compounds,Organoheterocyclic compounds,Oxanes,
195,-4.936738070766014,-4.1895294,2.839662575636562,-5.73859485479442,-2.898932279157858,0.760892420628729,249.26999999999995,0,512,0.4599319429224969,1.2071406142037717,-0.34192484110590976,2.4977377345306526,-0.7472086518207011,0.7228820198549244,-4.143266,2.7731478686389393,1.2534037931278807,0.6067366692593553,1025-15-6,Triallyl isocyanurate,C=CCn1c(=O)n(CC=C)c(=O)n(CC=C)c1=O,Organic compounds,Organoheterocyclic compounds,Triazines,Triazinones
277,-5.721151247921911,-4.3149858,2.4168584221113165,-5.648807566792426,-3.2319491446811095,0.3916799928926794,407.3300000000001,0,512,-0.1112048507142436,1.294960634336251,-0.03886116958475825,2.377997252526558,-1.4061654958161984,0.615335865347825,-4.9679427,2.488867663834014,0.6420036642961969,0.28542999289267945,104040-78-0,Flazasulfuron,COc1cc(OC)nc(NC(=O)NS(=O)(=O)c2ncccc2C(F)(F)F)n1,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Sulfonylureas
289,-4.162200643568276,-3.814863,2.8633519614338296,-5.629061500520828,-2.765709539086999,0.48201748669490607,277.30500000000006,0,512,1.2807570567085858,1.6280947204316518,-0.18610380024396622,2.6772481611898633,-0.34733767703080076,0.7425811097313259,-3.8966415,2.613793411272162,1.5463161911509755,0.3683811230585424,104-23-4,C.I. Food Yellow 6,Nc1ccc(N=Nc2ccc(S(=O)(=O)O)cc2)cc1,Organic compounds,Organoheterocyclic compounds,Azobenzenes,
293,-4.15126988879494,-3.8917944,2.4755629159470947,-5.305478752443017,-2.8299158364959225,0.49285131627734524,220.356,0,512,1.1918549914715348,1.4513304602942467,0.03764612782345746,2.5132090437705523,-0.2594754456644468,0.6312097775097038,-4.0053024,2.3946315455112615,1.3378224412879969,0.3698883533143822,104-40-5,4-Nonylphenol,CCCCCCCCCc1ccc(O)cc1,Organic compounds,Benzenoids,Phenols,1-hydroxy-2-unsubstituted benzenoids
4509,-3.49651613388317,-4.5671406,3.6129551466527396,-6.732335179230957,-3.1193800325782175,0.7244031830238726,136.23799999999997,0,512,1.6377821255917848,0.5671576813578607,-1.5980369197560023,2.014918226896737,1.0706244453404627,0.9261029518739783,-4.6491632,3.578554259642438,0.4851350028904044,0.5654288240495137,5989-27-5,D-Limonene,C=C(C)C1CC=C(C)CC1,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids
296,-3.2706740007129134,-4.0886593,2.6730730333669595,-5.563255971695108,-2.8901829383281488,0.5698274672187715,134.22199999999998,0,512,1.8571497051016803,1.03916440686777,-0.43543226588051454,2.237640767486445,0.8179852857861101,0.6805630414932904,-4.1509795,2.641590991029787,0.9768441707356335,0.42543752543752544,104-51-8,Butylbenzene,CCCCc1ccccc1,Organic compounds,Benzenoids,Benzene and substituted derivatives,
